ID,keyid,BaseLevelRegion,ServerLevelRegion,Weight,AcceptLimitProfession,Target,TargetDes,SpecialMes,TaskTrigger,LocalizationArea
10265,6,90=0,30=0,600,,1|1227=7,骑士团的团员们在休息时间经常会聊天，听听他们在聊什么吧,17023=Main_10018_exec,,11
10266,6,90=0,30=0,600,,1|1234=7,胖妹有发现新的美食，想要分享给你,17023=Main_10021_exec,,11
10267,6,90=0,30=0,600,,1|1203=7,广播员一直在说着一些消息，要去听听吗？,17023=Main_10025_exec,,11
10268,6,90=0,30=0,600,,1|1258=7,鲜花商人正在发愁，去给他开解一下吧,17023=Main_10028_exec,,11
10269,6,35=40,30=0,500,,1|1953=26,一个有心事的小女孩。她有什么心事呢？,17023=Main_10004_exec,,
10270,6,35=40,30=0,500,,1|1957=26,街边的妇女超爱说八卦了！快去听听她们在聊什么？,17023=Main_10017_exec,,
10271,6,35=40,30=0,500,,1|1937=26,有个打扮华贵的中年大叔，一看就不是普通人,17023=Main_10019_exec,,
10272,6,35=40,30=0,500,,1|4923=51,梦罗克有个小酒吧，要去点杯酒，看看能知道什么新消息吗？,17023=Main_10016_exec,,
10273,6,65=70,30=0,450,,1|2572=47,农家姑娘也有一些农家的智慧，想听听吗？,17023=Main_10005_exec,,
10274,6,65=70,30=0,450,,1|2582=47,斐扬正殿门口有位侍女，她每天坚持在这里打扫已经很久了。,17023=Main_10010_exec,,
10275,6,65=70,30=0,450,,1|2557=47,为什么斐扬的桥头总站着一个少年望着远方,17023=Main_10020_exec,,
10276,6,65=70,30=0,450,,1|2578=47,有个非常勤劳的小哥，他说他在干活的时候总会涌出许多灵感,17023=Main_10023_exec,,
10277,6,65=70,30=0,450,,1|2561=47,水水很喜欢小动物，所以听过很多关于小动物的故事,17023=Main_10024_exec,,
10278,6,85=0,30=0,500,,1|3023=50,艾尔贝塔的海边料理很受欢迎，要去看看吗？,17023=Main_10006_exec,,11
10279,6,85=0,30=0,500,,1|3087=50,跟智慧的考古学者聊一聊你会知道很多事,17023=Main_10011_exec,,11
10280,6,85=0,30=0,500,,1|3044=50,宏达是个很奇怪的孩子，一直都没有朋友,17023=Main_10022_exec,,11
10281,6,85=0,30=0,500,,1|3036=50,听说这个世界很大。听听艾尔贝塔那里的船长讲讲环游世界的趣事,17023=Main_10027_exec,,11
10282,6,40=45,30=0,450,,1|1658=16,吉芬有一个博学的学者，多跟他聊聊可能会知道一些事情吧！,17023=Main_10003_exec,,
10283,6,40=45,30=0,450,,1|1683=16,吉芬有个少女很苦恼，是什么原因呢？,17023=Main_10007_exec,,
10284,6,40=45,30=0,450,,1|1699=16,爱丽芙有新的宣传单在发放了,17023=Main_10014_exec,,
10285,6,40=45,30=0,450,,1|4350=49,吉芬塔中有一个图书馆，这次图书管理员会推荐你看什么书呢？,17023=Main_10013_exec,,
10286,6,40=45,30=0,450,,1|1679=16,有个很喜欢唱歌的小姐姐，要去听她唱歌吗？,17023=Main_10026_exec,,
10287,6,80=85,30=0,350,,1|1658=16,吉芬有一个博学的学者，多跟他聊聊可能会知道一些事情吧！,17023=Main_10003_exec,,11
10288,6,80=85,30=0,350,,1|1683=16,吉芬有个少女很苦恼，是什么原因呢？,17023=Main_10007_exec,,11
10289,6,80=85,30=0,350,,1|1699=16,爱丽芙有新的宣传单在发放了,17023=Main_10014_exec,,11
10290,6,80=85,30=0,350,,1|4350=49,吉芬塔中有一个图书馆，这次图书管理员会推荐你看什么书呢？,17023=Main_10013_exec,,11
10291,6,80=85,30=0,350,,1|1679=16,有个很喜欢唱歌的小姐姐，要去听她唱歌吗？,17023=Main_10026_exec,,11
10292,6,70=80,30=0,400,,1|1371=21,吟游诗人木吉有许多的故事,17023=Main_10002_exec,,
10293,6,70=80,30=0,400,,1|1354=21,伊斯鲁得的铁匠很喜欢跟大家讲自己的工艺,17023=Main_10008_exec,,
10294,6,70=80,30=0,400,,1|1377=21,伊斯鲁得每天都有比武大赛，去凑凑热闹吧,17023=Main_10012_exec,,
10295,6,70=80,30=0,400,,1|9990=21,伊斯鲁得的老商人是个在贸易上很有经验的人。去跟他聊聊吧。,17023=Main_10015_exec,,
10296,6,90=0,30=0,300,,41|3087=50,请收集一些死人遗骨交给考古学者,1290010=3=17023=Main_10054_exec,,11
10297,6,90=0,30=0,300,,41|3035=50,请收集一些玛哪树枝交给喜欢收藏的怪老头,1290003=3=17023=Main_10055_exec,,11
10298,6,90=0,30=0,300,,41|3511=41,请收集一些慧眼交给班波,1280011=3=17023=Main_10050_exec,,11
10299,6,90=0,30=0,300,,41|2577=47,请收集一些空瓶交给斐扬的智恩,1290004=3=17023=Main_10056_exec,,11
10300,6,90=0,30=0,300,,41|3486=24,请收集一些刹勒空结晶交给精炼房的精炼大师们,1290012=3=17023=Main_10049_exec,,11
10301,6,50=55,30=0,1000,,7|2147=1|7=94.41=10.82=43.62,击杀在普隆德拉城中游荡捣乱的魔物,,1=0=20=7=30,
10302,6,65=70,30=0,1000,,7|2148=1|47=158.12=16.08=97.39,击杀在斐扬村落中游荡捣乱的魔物,,1=0=20=47=12,
10303,6,35=40,30=0,1000,,7|2149=1|26=114.89=9.91=55.29,击杀在梦罗克城中游荡捣乱的魔物,,1=0=20=26=6,
10304,6,90=0,30=0,1000,,7|2147=1|7=94.41=10.82=43.62,击杀在普隆德拉城中游荡捣乱的魔物,,1=0=20=7=30,11
10305,6,90=0,30=0,1000,,7|2148=1|47=158.12=16.08=97.39,击杀在斐扬村落中游荡捣乱的魔物,,1=0=20=47=12,11
10306,6,90=0,30=0,1000,,7|2149=1|26=114.89=9.91=55.29,击杀在梦罗克城中游荡捣乱的魔物,,1=0=20=26=6,11
10307,6,35=40,30=0,1000,,7|2147=1|7=94.41=10.82=43.62,击杀在普隆德拉城中游荡捣乱的魔物,,1=0=20=7=30,
10308,6,35=40,30=0,1000,,7|2148=1|47=158.12=16.08=97.39,击杀在斐扬村落中游荡捣乱的魔物,,1=0=20=47=12,
10309,6,40=45,30=0,1000,,7|2147=1|7=94.41=10.82=43.62,击杀在普隆德拉城中游荡捣乱的魔物,,1=0=20=7=30,
10310,6,40=45,30=0,1000,,7|2148=1|47=158.12=16.08=97.39,击杀在斐扬村落中游荡捣乱的魔物,,1=0=20=47=12,
