Id,Desc,Type,AffixNum,RandomProb
8005,奶油狂欢节buffdoodad-海底,3,1,1001=200|1002=200|1003=200|1004=100|1006=100|1016=40
8100,记忆碎片09-buffdoodad,3,1,1100=200|1101=200|1102=200
8501,火1-49,0,,0=14601=100|0=14602=100|0=14603=100|0=14604=100|0=14605=100
8502,地1-49,0,,0=14606=100|0=14607=100|0=14608=100|0=14609=100|0=14610=100|0=14611=100|0=14612=100|0=14613=100|0=14614=100|0=14615=100|0=14616=100|0=14617=100|0=14618=100|0=14619=100|0=14620=100|0=14621=100|0=14622=100
8503,风1-49,0,,0=14623=100|0=14624=100|0=14625=100|0=14626=100
8504,水1-49,0,,0=14627=100|0=14628=100|0=14629=100|0=14630=100|0=14631=100|0=14632=100|0=14633=100|0=14634=100
8505,暗不死1-49,0,,0=14635=100|0=14636=100|0=14637=100|0=14638=100|0=14639=100|0=14640=100|0=14641=100|0=14642=100|0=14643=100|0=14644=100
8506,火50-59,0,,0=14645=100|0=14646=100|0=14647=100|0=14648=100
8507,地50-59,0,,0=14649=100|0=14650=100|0=14651=100|0=14652=100|0=14653=100|0=14654=100
8508,风50-59,0,,0=14655=100|0=14656=100|0=14657=100|0=14652=100
8509,水50-59,0,,0=14658=100|0=14659=100|0=14660=100|0=14661=100|0=14662=100|0=14663=100
8510,暗不死50-59,0,,0=14664=100|0=14665=100|0=14666=100|0=14667=100
8511,火60-69,0,,0=14668=100|0=14669=100|0=14670=100|0=14671=100|0=14672=100
8512,地60-69,0,,0=14673=100|0=14674=100|0=14675=100|0=14676=100|0=14677=100
8513,风60-69,0,,0=14678=100|0=14679=100|0=14680=100|0=14652=100
8514,水60-69,0,,0=14681=100|0=14660=50|0=14661=50|0=14662=50|0=14663=50
8515,暗不死60-69,0,,0=14682=100|0=14683=100|0=14684=100|0=14685=100|0=14686=100|0=14687=100|0=14688=100|0=14689=100|0=14690=100
8516,火70-79,0,,0=14691=100|0=14692=100|0=14693=100|0=14671=50|0=14672=50
8517,地70-79,0,,0=14694=100|0=14695=100|0=14696=100|0=14677=100
8518,风70-79,0,,0=14697=100|0=14698=100|0=14679=50|0=14680=50
8519,水70-79,0,,0=14699=100|0=14700=100|0=14701=100|0=14702=100
8520,暗不死70-79,0,,0=14703=100|0=14704=100|0=14705=100|0=14706=100
8521,火80-89,0,,0=14707=100|0=14708=100|0=14709=100|0=14693=50
8522,地80-89,0,,0=14710=100|0=14694=50|0=14695=50|0=14696=50
8523,风80-89,0,,0=14711=100|0=14712=100|0=14713=100|0=14697=50
8524,水80-89,0,,0=14714=100|0=14699=50|0=14700=50|0=14701=50|0=14702=50
8525,暗不死80-89,0,,0=14715=100|0=14703=50|0=14704=50|0=14705=50|0=14706=50
8526,火90-99,0,,0=14716=100|0=14717=100|0=14718=100
8527,地90-99,0,,0=14719=100|0=14720=100|0=14721=100|0=14710=50
8528,风90-99,0,,0=14722=100|0=14711=50|0=14712=50|0=14713=50
8529,水90-99,0,,0=14723=100|0=14724=100|0=14725=100|0=14726=100
8530,暗不死90-99,0,,0=14727=100|0=14728=100|0=14729=100|0=14730=100
8531,火100-109,0,,0=14731=100|0=14716=50|0=14717=50|0=14718=50
8532,地100-109,0,,0=14732=100|0=14733=100|0=14734=100|0=14719=100
8533,风100-109,0,,0=14735=100|0=14736=100|0=14737=100
8534,水100-109,0,,0=14738=100|0=14739=100|0=14740=100|0=14741=100|0=14742=100
8535,暗不死100-109,0,,0=14743=100|0=14744=100|0=14745=100|0=14746=100|0=14747=100|0=14748=100|0=14749=100
8536,火110-119,0,,0=14750=100|0=14731=100
8537,地110-119,0,,0=14751=100|0=14752=100|0=14753=100|0=14754=100
8538,风110-119,0,,0=14755=100|0=14756=100|0=14757=100|0=14758=100
8539,水110-119,0,,0=14759=100|0=14760=100|0=14740=100|0=14742=100
8540,暗不死110-119,0,,0=14761=100|0=14743=100|0=14744=100|0=14747=100|0=14748=100
8541,火120-129,0,,0=14762=100|0=14763=100|0=14764=100|0=14765=100|0=14766=100|0=14767=100
8542,地120-129,0,,0=14768=100|0=14769=100|0=14753=50|0=14754=50
8543,风120-129,0,,0=14770=100|0=14755=100|0=14757=50|0=14758=100
8544,水120-129,0,,0=14759=100|0=14760=100|0=14740=100|0=14742=100
8545,暗不死120-129,0,,0=14761=100|0=14743=100|0=14744=100|0=14747=100|0=14748=100
8701,火1-49MINI,0,,0=14401=100
8702,地1-49MINI,0,,0=14402=100|0=14403=100
8703,风1-49MINI,0,,0=14404=100
8704,水1-49MINI,0,,0=14405=100|0=14406=100
8705,暗不死1-49MINI,0,,0=14407=100
8706,火50-59MINI,0,,0=14408=100
8707,地50-59MINI,0,,0=14409=100
8708,风50-59MINI,0,,0=14410=100
8709,水50-59MINI,0,,0=14411=100|0=14412=100|0=14413=100
8710,暗不死50-59MINI,0,,0=14414=100
8711,火60-69MINI,0,,0=14415=100
8712,地60-69MINI,0,,0=14416=100|0=14417=100
8713,风60-69MINI,0,,0=14418=100
8714,水60-69MINI,0,,0=14419=100|0=14420=100
8715,暗不死60-69MINI,0,,0=14421=100
8716,火70-79MINI,0,,0=14422=100|0=14423=100
8717,地70-79MINI,0,,0=14424=100|0=14425=100
8718,风70-79MINI,0,,0=14426=100
8719,水70-79MINI,0,,0=14427=100|0=14428=100
8720,暗不死70-79MINI,0,,0=14429=100
8721,火80-89MINI,0,,0=14430=100|0=14431=100
8722,地80-89MINI,0,,0=14432=100
8723,风80-89MINI,0,,0=14433=100|0=14434=100
8724,水80-89MINI,0,,0=14435=100|0=14436=100
8725,暗不死80-89MINI,0,,0=14437=100
8726,火90-99MINI,0,,0=14438=100|0=14439=100
8727,地90-99MINI,0,,0=14440=100
8728,风90-99MINI,0,,0=14441=100|0=14442=100
8729,水90-99MINI,0,,0=14443=100|0=14444=100
8730,暗不死90-99MINI,0,,0=14445=100|0=14446=100
8731,火100-109MINI,0,,0=14447=100|0=14448=100
8732,地100-109MINI,0,,0=14449=100
8733,风100-109MINI,0,,0=14450=100|0=14451=100
8734,水100-109MINI,0,,0=14452=100
8735,暗不死100-109MINI,0,,0=14453=100|0=14454=100
8736,火110-119MINI,0,,0=14455=100|0=14456=100
8737,地110-119MINI,0,,0=14457=100
8738,风110-119MINI,0,,0=14458=100|0=14459=100
8739,水110-119MINI,0,,0=14460=100
8740,暗不死110-119MINI,0,,0=14461=100|0=14462=100|0=14463=100|0=14464=100
8741,火120-129MINI,0,,0=14465=100|0=14466=100
8742,地120-129MINI,0,,0=14467=100|0=14468=100
8743,风120-129MINI,0,,0=14469=100
8744,水120-129MINI,0,,0=14470=100
8745,暗不死120-129MINI,0,,0=14471=100|0=14472=100|0=14473=100|0=14474=100
