ID,Level,NormalAttribute,EliteAttribute,BossAttribute,MVPAttribute,Function
448,48,12933=86|22895=105|38318=188,36214=144|61054=210|114954=377,452681=180|915820=526|1532730=808,452681=180|915820=526|1532730=808,5
449,49,13202=88|23409=108|39186=194,36967=148|62424=217|117559=389,462094=185|936364=543|1567455=833,462094=185|936364=543|1567455=833,5
450,50,15761=93|25471=116|44820=222,44131=155|67924=233|134461=445,551640=193|1018873=583|1792816=955,551640=193|1018873=583|1792816=955,5
451,51,16195=95|26335=120|46280=229,45347=158|70227=240|138842=459,566847=198|1053414=601|1851236=984,566847=198|1053414=601|1851236=984,5
452,52,16275=97|26466=123|46645=236,45570=162|70578=247|139935=473,569627=203|1058674=619|1865810=1014,569627=203|1058674=619|1865810=1014,5
453,53,16341=99|26577=127|46827=243,45757=166|70873=255|140482=487,571968=208|1063109=638|1873102=1044,571968=208|1063109=638|1873102=1044,5
454,54,16548=102|26923=131|47362=251,46334=171|71794=262|142087=502,579182=214|1076923=657|1894494=1076,579182=214|1076923=657|1894494=1076,5
455,55,17644=113|29256=176|67087=393,49405=188|78017=352|201261=786,617568=236|1170261=881|2683485=1685,617568=236|1170261=881|2683485=1685,5
456,56,17778=116|29589=180|67513=404,49779=194|78904=361|202541=809,622237=242|1183571=903|2700551=1734,622237=242|1183571=903|2700551=1734,5
457,57,18043=119|38382=185|68097=432,50523=199|102354=370|204293=865,631539=249|1535312=925|2723912=1855,631539=249|1535312=925|2723912=1855,5
458,58,18230=123|38735=194|68663=459,51046=205|103295=389|205990=918,638075=256|1549432=973|2746542=1967,638075=256|1549432=973|2746542=1967,5
459,59,18319=125|38901=204|68936=468,51295=209|103737=408|206810=937,641194=262|1556059=1022|2757475=2009,641194=262|1556059=1022|2757475=2009,5
460,60,26449=133|41120=209|75538=484,74059=222|109654=418|226614=968,925745=278|1644814=1046|3021533=2074,925745=278|1644814=1046|3021533=2074,5
461,61,26063=135|41397=213|76151=496,72979=225|110394=427|228454=993,912239=281|1655918=1069|3046060=2127,912239=281|1655918=1069|3046060=2127,5
462,62,26251=142|41698=218|76640=509,73503=238|111196=437|229922=1018,918798=297|1667945=1094|3065629=2182,918798=297|1667945=1094|3065629=2182,5
463,63,26445=150|42126=226|77152=530,74046=250|112336=453|231458=1060,925580=313|1685048=1133|3086119=2271,925580=313|1685048=1133|3086119=2271,5
464,64,26620=154|42406=230|77775=540,74537=257|113084=461|233325=1081,931716=321|1696268=1153|3111010=2317,931716=321|1696268=1153|3111010=2317,5
465,65,28059=163|45628=243|81560=574,78565=272|121675=486|244682=1149,982065=340|1825126=1215|3262436=2462,982065=340|1825126=1215|3262436=2462,5
466,66,28344=167|46143=247|82443=587,79363=279|123049=495|247330=1174,992047=349|1845736=1239|3297736=2516,992047=349|1845736=1239|3297736=2516,5
467,67,28831=173|46929=255|90271=608,80726=288|125144=511|270813=1217,1009085=360|1877172=1279|3610852=2609,1009085=360|1877172=1279|3610852=2609,5
468,68,29094=177|48142=260|91166=621,81464=295|128381=521|273498=1243,1018306=369|1925715=1304|3646649=2665,1018306=369|1925715=1304|3646649=2665,5
469,69,29728=181|48560=266|92128=639,83240=303|129494=533|276384=1278,1040501=379|1942414=1334|3685129=2740,1040501=379|1942414=1334|3685129=2740,5
470,70,31639=236|69103=383|129100=873,88589=394|184277=767|387300=1746,1107368=493|2764155=1918|5164009=3742,1107368=493|2764155=1918|5164009=3742,5
471,71,32213=241|70554=391|134447=891,90198=403|188145=782|403343=1783,1127486=503|2822177=1955|5377913=3820,1127486=503|2822177=1955|5377913=3820,5
472,72,33771=247|74471=399|159136=911,94559=411|198591=798|477408=1822,1181993=514|2978867=1995|6365443=3905,1181993=514|2978867=1995|6365443=3905,5
473,73,35042=253|87452=417|165747=988,98120=422|233206=835|497241=1976,1226503=528|3498090=2087|6629884=4236,1226503=528|3498090=2087|6629884=4236,5
474,74,40237=259|89511=436|169500=1008,112664=433|238698=872|508501=2017,1408309=541|3580473=2180|6780021=4323,1408309=541|3580473=2180|6780021=4323,5
475,75,43730=288|95862=447|177617=1035,122444=481|255633=895|532851=2070,1530562=601|3834503=2237|7104690=4436,1530562=601|3834503=2237|7104690=4436,5
476,76,45497=302|100084=459|185300=1065,127392=503|266892=918|555901=2130,1592409=629|4003388=2297|7412017=4565,1592409=629|4003388=2297|7412017=4565,5
477,77,48760=308|101408=467|188284=1086,136529=514|270422=935|564853=2173,1706623=643|4056340=2338|7531376=4657,1706623=643|4056340=2338|7531376=4657,5
478,78,49186=314|102507=478|190280=1113,137720=524|273352=956|570842=2227,1721511=655|4100290=2390|7611228=4773,1721511=655|4100290=2390|7611228=4773,5
479,79,49842=320|103356=488|192624=1141,139557=533|275616=977|577872=2282,1744473=667|4134248=2442|7704967=4891,1744473=667|4134248=2442|7704967=4891,5
480,80,62732=338|120474=512|218474=1222,175651=563|321265=1024|655423=2445,2195639=704|4818980=2561|8738977=5239,2195639=704|4818980=2561|8738977=5239,5
481,81,63158=343|121454=527|220433=1262,176843=573|323878=1054|661300=2525,2210548=716|4858184=2636|8817341=5410,2210548=716|4858184=2636|8817341=5410,5
482,82,64828=349|128817=541|234067=1326,181520=583|343514=1082|702201=2652,2269009=729|5152719=2705|9362683=5683,2269009=729|5152719=2705|9362683=5683,5
483,83,65375=357|129813=568|235912=1398,183051=595|346170=1137|707738=2796,2288139=744|5192555=2842|9436509=5992,2288139=744|5192555=2842|9436509=5992,5
484,84,70358=370|132710=588|241045=1436,197004=617|353894=1176|723137=2872,2462558=772|5308416=2940|9641835=6155,2462558=772|5308416=2940|9641835=6155,5
485,85,71637=386|135151=605|264031=1488,200586=643|360403=1211|792094=2976,2507328=804|5406059=3028|10561260=6378,2507328=804|5406059=3028|10561260=6378,5
486,86,72145=397|136314=620|266746=1527,202006=662|363504=1240|800240=3055,2525087=827|5452568=3102|10669875=6547,2525087=827|5452568=3102|10669875=6547,5
487,87,72949=405|138323=635|271362=1569,204257=676|368863=1271|814087=3138,2553223=845|5532950=3179|10854503=6725,2553223=845|5532950=3179|10854503=6725,5
488,88,74898=418|141698=651|277997=1610,209716=697|377862=1302|833991=3220,2621450=871|5667933=3255|11119892=6900,2621450=871|5667933=3255|11119892=6900,5
489,89,75722=425|153683=666|281857=1653,212023=709|409823=1333|845571=3306,2650296=886|6147356=3334|11274281=7084,2650296=886|6147356=3334|11274281=7084,5
490,90,81405=434|164859=688|304017=1713,227934=724|439625=1377|912052=3427,2849187=905|6594386=3443|12160697=7345,2849187=905|6594386=3443|12160697=7345,5
491,91,82143=441|166625=705|308005=1758,230001=736|444335=1410|924016=3516,2875018=920|6665027=3525|12320215=7534,2875018=920|6665027=3525|12320215=7534,5
492,92,82993=450|175936=720|325542=1818,232380=751|469163=1441|976627=3637,2904761=939|7037459=3603|13021694=7795,2904761=939|7037459=3603|13021694=7795,5
493,93,88240=463|178610=751|330267=1884,247073=771|476295=1502|990802=3768,3088414=964|7144430=3755|13210694=8076,3088414=964|7144430=3755|13210694=8076,5
494,94,89014=475|180578=768|334781=1932,249240=793|481541=1537|1004343=3864,3115500=991|7223126=3843|13391248=8282,3115500=991|7223126=3843|13391248=8282,5
495,95,108388=557|201024=898|343240=2264,303488=928|536066=1796|1029720=4529,3793606=1160|8040999=4492|13729602=9706,3793606=1160|8040999=4492|13729602=9706,5
496,96,109195=594|203135=962|346819=2428,305746=990|541694=1924|1040459=4856,3821829=1238|8125414=4810|13872792=10407,3821829=1238|8125414=4810|13872792=10407,5
497,97,110552=628|205865=1031|351584=2609,309545=1047|548975=2062|1054752=5219,3869320=1309|8234634=5155|14063367=11185,3869320=1309|8234634=5155|14063367=11185,5
498,98,111236=666|207781=1100|378221=2787,311462=1110|554083=2200|1134663=5575,3893282=1388|8311257=5501|15128846=11946,3893282=1388|8311257=5501|15128846=11946,5
499,99,120636=690|210316=1148|383719=2913,337782=1151|560844=2296|1151157=5827,4222278=1439|8412668=5741|15348765=12488,4222278=1439|8412668=5741|15348765=12488,5
500,100,132219=724|226588=1195|407625=3024,370215=1207|604235=2391|1222875=6049,4627696=1509|9063533=5978|16305004=12962,4627696=1509|9063533=5978|16305004=12962,5
501,101,134005=741|229649=1224|413131=3098,375216=1236|612397=2449|1239395=6197,4690213=1545|9185976=6124|16525275=13279,4690213=1545|9185976=6124|16525275=13279,5
502,102,135931=747|232949=1233|419069=3121,380608=1246|621199=2468|1257207=6244,4757619=1557|9317994=6171|16762771=13380,4757619=1557|9317994=6171|16762771=13380,5
503,103,137748=752|236064=1242|424672=3143,385697=1254|629504=2485|1274016=6288,4821229=1568|9442576=6214|16986891=13474,4821229=1568|9442576=6214|16986891=13474,5
504,104,139695=758|239400=1252|430673=3169,391148=1264|638400=2505|1292021=6339,4889364=1581|9576021=6264|17226953=13583,4889364=1581|9576021=6264|17226953=13583,5
505,105,145746=766|249770=1264|449328=3199,408091=1277|666054=2529|1347986=6400,5101153=1596|9990819=6325|17973163=13714,5101153=1596|9990819=6325|17973163=13714,5
506,106,147493=769|252764=1270|454716=3213,412984=1282|674040=2541|1364149=6428,5162319=1603|10110614=6353|18188669=13775,5162319=1603|10110614=6353|18188669=13775,5
507,107,149251=772|255777=1274|460136=3226,417907=1287|682074=2550|1380409=6453,5223848=1609|10231121=6377|18405458=13828,5223848=1609|10231121=6377|18405458=13828,5
508,108,151030=773|258826=1276|465620=3231,422887=1289|690203=2554|1396860=6463,5286105=1612|10353055=6387|18624813=13850,5286105=1612|10353055=6387|18624813=13850,5
509,109,152819=775|261892=1279|471136=3238,427897=1292|698379=2560|1413408=6477,5348727=1615|10475702=6401|18845450=13879,5348727=1615|10475702=6401|18845450=13879,5
510,110,155723=815|266868=1346|480088=3406,436027=1359|711649=2693|1440264=6813,5450357=1699|10674748=6733|19203528=14601,5450357=1699|10674748=6733|19203528=14601,5
511,111,157543=817|269987=1348|485700=3412,441124=1362|719968=2698|1457100=6826,5514070=1702|10799534=6746|19428014=14627,5514070=1702|10799534=6746|19428014=14627,5
512,112,159364=818|273107=1350|491312=3418,446221=1364|728287=2702|1473937=6837,5577784=1705|10924320=6757|19652500=14652,5577784=1705|10924320=6757|19652500=14652,5
513,113,161205=819|276262=1353|496988=3424,451377=1366|736701=2707|1490966=6849,5642226=1708|11050532=6769|19879551=14678,5642226=1708|11050532=6769|19879551=14678,5
514,114,163067=821|279453=1356|502729=3432,456590=1369|745210=2713|1508187=6865,5707396=1712|11178170=6784|20109168=14711,5707396=1712|11178170=6784|20109168=14711,5
515,115,168644=823|289011=1359|519922=3441,472206=1373|770697=2720|1559768=6883,5902594=1717|11560473=6802|20796920=14750,5902594=1717|11560473=6802|20796920=14750,5
516,116,170423=824|292059=1360|525406=3441,477187=1373|778826=2721|1576220=6884,5964851=1717|11682407=6803|21016275=14752,5964851=1717|11682407=6803|21016275=14752,5
517,117,172212=824|295125=1360|530922=3442,482196=1374|787002=2721|1592768=6885,6027473=1717|11805054=6805|21236912=14755,6027473=1717|11805054=6805|21236912=14755,5
518,118,174011=824|298209=1360|536470=3442,487235=1374|795226=2722|1609412=6886,6090458=1718|11928414=6806|21458832=14757,6090458=1718|11928414=6806|21458832=14757,5
519,119,175832=824|301329=1360|542082=3443,492332=1374|803545=2722|1626248=6888,6154172=1718|12053200=6807|21683318=14760,6154172=1718|12053200=6807|21683318=14760,5
520,120,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
521,121,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
522,122,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
523,123,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
524,124,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
525,125,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
526,126,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
527,127,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
528,128,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
529,129,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
530,130,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
531,131,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
532,132,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
533,133,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
534,134,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
535,135,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
536,136,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
537,137,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
538,138,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
539,139,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
540,140,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
541,141,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
542,142,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
543,143,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
544,144,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
545,145,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
546,146,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
547,147,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
548,148,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
549,149,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
550,150,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
551,151,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
552,152,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
553,153,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
554,154,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
555,155,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
556,156,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
557,157,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
558,158,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
559,159,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
560,160,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
561,161,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
562,162,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
563,163,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
564,164,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
565,165,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
566,166,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
567,167,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
568,168,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
569,169,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
570,170,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
571,171,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
572,172,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
573,173,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
574,174,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
575,175,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
576,176,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
577,177,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
578,178,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
579,179,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
580,180,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
581,181,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
582,182,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
583,183,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
584,184,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
585,185,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
586,186,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
587,187,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
588,188,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
589,189,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
590,190,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
591,191,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
592,192,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
593,193,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
594,194,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
595,195,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
596,196,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
597,197,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
598,198,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
599,199,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
600,200,178406=828|305740=1366|550017=3459,499539=1380|815308=2735|1650053=6919,6244255=1726|12229632=6838|22000714=14827,6244255=1726|12229632=6838|22000714=14827,5
601,1,95=1,190=2,1030=4,1030=4,6
602,2,167=1,334=3,1811=6,1811=6,6
603,3,296=2,593=3,3216=7,3216=7,6
604,4,322=2,645=4,3498=8,3498=8,6
605,5,452=2,905=4,4903=9,4903=9,6
606,6,582=3,1164=5,6309=10,6309=10,6
607,7,654=3,1308=5,7090=11,7090=11,6
608,8,784=3,1568=6,8495=12,8495=12,6
609,9,856=4,1712=6,9276=13,9276=13,6
610,10,1241=5,2483=9,13450=18,13450=18,6
611,11,2243=5,4486=9,24302=19,24302=19,6
612,12,2411=6,4823=10,26124=20,26124=20,6
613,13,2556=6,5112=10,27691=21,27691=21,6
614,14,2665=6,5330=11,28872=22,28872=22,6
615,15,3251=7,6502=12,35224=24,35224=24,6
616,16,3445=7,6890=12,37321=25,37321=25,6
617,17,3568=8,7137=13,38659=26,38659=26,6
618,18,3730=8,7461=14,40418=28,40418=28,6
619,19,3853=8,7706=14,41744=29,41744=29,6
620,20,4038=9,8076=15,43749=30,43749=30,6
621,21,4210=9,8420=16,45609=32,45609=32,6
622,22,4353=10,8707=16,47167=33,47167=33,6
623,23,4456=10,8912=17,48278=35,48278=35,6
624,24,4598=10,9196=18,49814=36,49814=36,6
625,25,4896=11,9793=19,53049=38,53049=38,6
626,26,5078=11,10157=19,55017=39,55017=39,6
627,27,5204=12,10408=20,56378=41,56378=41,6
628,28,5332=12,10665=21,57771=42,57771=42,6
629,29,5403=13,10807=22,58538=44,58538=44,6
630,30,6527=18,13054=30,70710=61,70710=61,6
631,31,6676=18,13353=31,72329=62,72329=62,6
632,32,6775=19,13551=32,73401=64,73401=64,6
633,33,6959=19,13919=33,75395=66,75395=66,6
634,34,7060=20,14120=33,76484=67,76484=67,6
635,35,7570=20,15140=34,82012=69,82012=69,6
636,36,7672=21,15344=35,83114=71,83114=71,6
637,37,7871=21,15742=36,85273=73,85273=73,6
638,38,7974=22,15948=37,86385=74,86385=74,6
639,39,8077=22,16154=38,87501=76,87501=76,6
640,40,12080=35,24160=59,130867=118,130867=118,6
641,41,12356=36,24712=60,133860=120,133860=120,6
642,42,12757=37,25514=61,138205=123,138205=123,6
643,43,13061=37,26123=63,141502=126,141502=126,6
644,44,13359=38,26719=64,144732=129,144732=129,6
645,45,14193=40,28386=67,153762=134,153762=134,6
646,46,14579=41,29159=69,157945=139,157945=139,6
647,47,14929=42,29858=71,161732=143,161732=143,6
648,48,15520=43,31041=73,168138=146,168138=146,6
649,49,15843=44,31686=74,171635=149,171635=149,6
650,50,18913=47,37826=79,204894=158,204894=158,6
651,51,19434=48,38869=80,210543=161,210543=161,6
652,52,19530=49,39060=82,211575=165,211575=165,6
653,53,19610=50,39220=84,212445=169,212445=169,6
654,54,19857=51,39715=86,215124=172,215124=172,6
655,55,21173=58,42347=97,229382=194,229382=194,6
656,56,21333=59,42667=99,231116=198,231116=198,6
657,57,21652=60,43305=101,234571=202,234571=202,6
