ID,ResolveAmount,ExpendZeny
16356205,2034008=70=70,101=50000
16356207,2034010=91=91,101=50000
16356208,2034011=126=126,101=50000
16356209,2034012=189=189,101=50000
16356210,2034013=280=280,101=50000
16356307,2034010=91=91,101=50000
16356308,2034011=126=126,101=50000
16356309,2034012=189=189,101=50000
16356310,2034013=280=280,101=50000
15356408,2034011=126=126,101=50000
15356409,2034012=189=189,101=50000
15356410,2034013=280=280,101=50000
15356505,2034008=70=70,101=50000
15356507,2034010=91=91,101=50000
15356508,2034011=126=126,101=50000
15356509,2034012=189=189,101=50000
15356510,2034013=280=280,101=50000
15356607,2034010=91=91,101=50000
15356608,2034011=126=126,101=50000
15356609,2034012=189=189,101=50000
15356610,2034013=280=280,101=50000
15356705,2034008=70=70,101=50000
15356707,2034010=91=91,101=50000
15356708,2034011=126=126,101=50000
15356709,2034012=189=189,101=50000
15356710,2034013=280=280,101=50000
15356807,2034010=91=91,101=50000
15356808,2034011=126=126,101=50000
15356809,2034012=189=189,101=50000
15356810,2034013=280=280,101=50000
12238810,2034005=140=140,101=50000
12238910,2034005=140=140,101=50000
13239010,2034005=140=140,101=50000
13239110,2034005=140=140,101=50000
4239210,2034005=140=140,101=50000
4239310,2034005=140=140,101=50000
4239410,2034005=140=140,101=50000
9239510,2034005=140=140,101=50000
2239610,2034005=140=140,101=50000
1239710,2034005=140=140,101=50000
6239810,2034005=140=140,101=50000
6239910,2034005=140=140,101=50000
5240010,2034005=140=140,101=50000
5240110,2034005=140=140,101=50000
7234810,2034005=140=140,101=50000
7234910,2034005=140=140,101=50000
7235010,2034005=140=140,101=50000
8235110,2034005=140=140,101=50000
8235210,2034005=140=140,101=50000
8235310,2034005=140=140,101=50000
11235410,2034005=140=140,101=50000
11235510,2034005=140=140,101=50000
11235610,2034005=140=140,101=50000
3235710,2034005=140=140,101=50000
3235810,2034005=140=140,101=50000
3235910,2034005=140=140,101=50000
14251310,2034005=140=140,101=50000
15256904,2034005=6=7,101=15000
15256905,2034005=18=20,101=50000
15256906,2034005=30=32,101=50000
15256907,2034005=50=52,101=50000
15256908,2034005=120=122,101=50000
15256909,2034005=130=130,101=50000
15256910,2034005=140=140,101=50000
15257004,2034005=6=7,101=15000
15257005,2034005=18=20,101=50000
15257006,2034005=30=32,101=50000
15257007,2034005=50=52,101=50000
15257008,2034005=120=122,101=50000
15257009,2034005=130=130,101=50000
15257010,2034005=140=140,101=50000
16257104,2034005=6=7,101=15000
16257105,2034005=18=20,101=50000
16257106,2034005=30=32,101=50000
16257107,2034005=50=52,101=50000
16257108,2034005=120=122,101=50000
16257109,2034005=130=130,101=50000
16257110,2034005=140=140,101=50000
16257204,2034005=6=7,101=15000
16257205,2034005=18=20,101=50000
16257206,2034005=30=32,101=50000
16257207,2034005=50=52,101=50000
16257208,2034005=120=122,101=50000
16257209,2034005=130=130,101=50000
16257210,2034005=140=140,101=50000
10344710,2034006=88=92,101=50000
10354710,2034006=108=112,101=50000
10344801,2034006=88=92,101=50000
10344802,2034006=108=112,101=50000
10344810,2034006=88=92,101=50000
10354810,2034006=108=112,101=50000
10334910,2034006=68=72,101=50000
10344910,2034006=88=92,101=50000
10354910,2034006=108=112,101=50000
10335010,2034006=68=72,101=50000
10345010,2034006=88=92,101=50000
10355010,2034006=108=112,101=50000
10345101,2034006=88=92,101=50000
10345102,2034006=108=112,101=50000
10345110,2034006=88=92,101=50000
10355110,2034006=108=112,101=50000
10345201,2034006=88=92,101=50000
10355202,2034006=108=112,101=50000
10345210,2034006=88=92,101=50000
10355210,2034006=108=112,101=50000
10335310,2034006=68=72,101=50000
10345310,2034006=88=92,101=50000
10355310,2034006=108=112,101=50000
10345410,2034006=88=92,101=50000
10355410,2034006=108=112,101=50000
10345510,2034006=88=92,101=50000
10355510,2034006=108=112,101=50000
10345610,2034006=88=92,101=50000
10355610,2034006=108=112,101=50000
10345710,2034006=88=92,101=50000
10355710,2034006=108=112,101=50000
10335810,2034006=68=72,101=50000
10345810,2034006=88=92,101=50000
10355810,2034006=108=112,101=50000
12357311,2034014=220=220,101=50000
12357411,2034014=220=220,101=50000
12357511,2034014=220=220,101=50000
12357611,2034014=330=330,101=50000
12357711,2034014=330=330,101=50000
13357811,2034014=330=330,101=50000
4357911,2034014=220=220,101=50000
4358011,2034014=220=220,101=50000
4358111,2034014=220=220,101=50000
4358211,2034014=220=220,101=50000
4358311,2034014=220=220,101=50000
4358411,2034014=330=330,101=50000
9358511,2034014=330=330,101=50000
9358611,2034014=330=330,101=50000
9358711,2034014=330=330,101=50000
2358811,2034014=220=220,101=50000
2358911,2034014=220=220,101=50000
2359011,2034014=220=220,101=50000
2359111,2034014=220=220,101=50000
1359211,2034014=220=220,101=50000
1359311,2034014=220=220,101=50000
1359411,2034014=220=220,101=50000
1359511,2034014=220=220,101=50000
6359611,2034014=330=330,101=50000
6359711,2034014=330=330,101=50000
6359811,2034014=330=330,101=50000
5359911,2034014=330=330,101=50000
5360011,2034014=330=330,101=50000
5360111,2034014=220=220,101=50000
4361611,2034014=330=330,101=50000
4361711,2034014=330=330,101=50000
5361811,2034014=330=330,101=50000
6361911,2034014=330=330,101=50000
12362011,2034014=330=330,101=50000
13362111,2034014=330=330,101=50000
4362211,2034014=330=330,101=50000
4362311,2034014=220=220,101=50000
14362411,2034014=330=330,101=50000
14362511,2034014=330=330,101=50000
14362611,2034014=330=330,101=50000
14362711,2034014=330=330,101=50000
5362811,2034014=220=220,101=50000
9362911,2034014=330=330,101=50000
6363011,2034014=330=330,101=50000
13363211,2034014=220=220,101=50000
13363311,2034014=330=330,101=50000
13363411,2034014=220=220,101=50000
13363511,2034014=220=220,101=50000
13363611,2034014=330=330,101=50000
13363711,2034014=220=220,101=50000
13363811,2034014=330=330,101=50000
1363911,2034014=220=220,101=50000
4364011,2034014=330=330,101=50000
6364111,2034014=330=330,101=50000
5364211,2034014=330=330,101=50000
2364311,2034014=220=220,101=50000
14364411,2034014=330=330,101=50000
1364511,2034014=220=220,101=50000
1364611,2034014=220=220,101=50000
1364711,2034014=220=220,101=50000
1364811,2034014=220=220,101=50000
1364911,2034014=220=220,101=50000
1365011,2034014=220=220,101=50000
16365111,2034014=330=330,101=50000
16365211,2034014=330=330,101=50000
16365311,2034014=330=330,101=50000
16365411,2034014=330=330,101=50000
15365511,2034014=330=330,101=50000
15365611,2034014=330=330,101=50000
15365711,2034014=330=330,101=50000
15365811,2034014=330=330,101=50000
7356311,2034014=160=160,101=50000
8356411,2034014=160=160,101=50000
11356511,2034014=160=160,101=50000
7356611,2034014=160=160,101=50000
8356711,2034014=160=160,101=50000
11356811,2034014=160=160,101=50000
7356911,2034014=160=160,101=50000
11357011,2034014=160=160,101=50000
8357111,2034014=160=160,101=50000
7357211,2034014=160=160,101=50000
8357311,2034014=160=160,101=50000
11357411,2034014=160=160,101=50000
7357511,2034014=160=160,101=50000
8357611,2034014=160=160,101=50000
11357711,2034014=160=160,101=50000
3357811,2034014=110=110,101=50000
3357911,2034014=110=110,101=50000
3358011,2034014=110=110,101=50000
3358111,2034014=110=110,101=50000
3358211,2034014=110=110,101=50000
3358311,2034014=110=110,101=50000
3358411,2034014=110=110,101=50000
3358511,2034014=110=110,101=50000
3358611,2034014=110=110,101=50000
7359911,2034014=160=160,101=50000
8360011,2034014=160=160,101=50000
11360111,2034014=160=160,101=50000
3360211,2034014=110=110,101=50000
3360311,2034014=110=110,101=50000
3360411,2034014=110=110,101=50000
3360511,2034014=110=110,101=50000
12370611,2034014=220=220,101=50000
12370711,2034014=330=330,101=50000
13370811,2034014=220=220,101=50000
13370911,2034014=330=330,101=50000
4371011,2034014=330=330,101=50000
4371111,2034014=220=220,101=50000
1371211,2034014=220=220,101=50000
2371311,2034014=220=220,101=50000
9371411,2034014=330=330,101=50000
6371511,2034014=330=330,101=50000
5371611,2034014=330=330,101=50000
5371711,2034014=220=220,101=50000
14371811,2034014=330=330,101=50000
16371911,2034014=330=330,101=50000
15372011,2034014=330=330,101=50000
8362111,2034014=160=160,101=50000
7362211,2034014=160=160,101=50000
11362311,2034014=160=160,101=50000
3362411,2034014=110=110,101=50000
12260211,2034005=120=120,101=50000
12260311,2034005=120=120,101=50000
13260411,2034005=120=120,101=50000
13260511,2034005=120=120,101=50000
4260611,2034005=120=120,101=50000
4260711,2034005=120=120,101=50000
4260811,2034005=120=120,101=50000
9260911,2034005=120=120,101=50000
2261011,2034005=120=120,101=50000
1261111,2034005=120=120,101=50000
6261211,2034005=120=120,101=50000
6261311,2034005=120=120,101=50000
5261411,2034005=120=120,101=50000
5261511,2034005=120=120,101=50000
14263111,2034005=120=120,101=50000
15265911,2034005=120=120,101=50000
15266011,2034005=120=120,101=50000
16266111,2034005=120=120,101=50000
16266211,2034005=120=120,101=50000
7258711,2034005=120=120,101=50000
7258811,2034005=120=120,101=50000
7258911,2034005=120=120,101=50000
8259011,2034005=120=120,101=50000
8259111,2034005=120=120,101=50000
8259211,2034005=120=120,101=50000
11259311,2034005=120=120,101=50000
11259411,2034005=120=120,101=50000
11259511,2034005=120=120,101=50000
3259611,2034005=120=120,101=50000
3259711,2034005=120=120,101=50000
3259811,2034005=120=120,101=50000
15372605,2034008=49=49,101=50000
15372607,2034010=63=63,101=50000
15372608,2034011=84=84,101=50000
15372609,2034012=126=126,101=50000
15372610,2034013=189=189,101=50000
15372611,2034014=220=220,101=50000
15372705,2034008=49=49,101=50000
15372707,2034010=63=63,101=50000
15372708,2034011=84=84,101=50000
15372709,2034012=126=126,101=50000
15372710,2034013=189=189,101=50000
15372711,2034014=220=220,101=50000
15373007,2034010=63=63,101=50000
15373008,2034011=84=84,101=50000
15373009,2034012=126=126,101=50000
15373010,2034013=189=189,101=50000
15373011,2034014=220=220,101=50000
15373107,2034010=63=63,101=50000
15373108,2034011=84=84,101=50000
15373109,2034012=126=126,101=50000
15373110,2034013=189=189,101=50000
15373111,2034014=220=220,101=50000
15373207,2034010=63=63,101=50000
15373208,2034011=84=84,101=50000
15373209,2034012=126=126,101=50000
15373210,2034013=189=189,101=50000
15373211,2034014=220=220,101=50000
15373307,2034010=63=63,101=50000
15373308,2034011=84=84,101=50000
15373309,2034012=126=126,101=50000
15373310,2034013=189=189,101=50000
15373311,2034014=220=220,101=50000
15373408,2034011=84=84,101=50000
15373409,2034012=126=126,101=50000
15373410,2034013=189=189,101=50000
15373411,2034014=220=220,101=50000
15373505,2034008=49=49,101=50000
15373507,2034010=63=63,101=50000
15373508,2034011=84=84,101=50000
15373509,2034012=126=126,101=50000
15373510,2034013=189=189,101=50000
15373511,2034014=220=220,101=50000
15272803,2034005=2=3,101=15000
15272804,2034005=6=7,101=15000
15272805,2034005=18=20,101=50000
15272806,2034005=30=32,101=50000
15272807,2034005=50=52,101=50000
15272808,2034005=120=122,101=50000
15272809,2034005=130=130,101=50000
15272810,2034005=140=140,101=50000
15272811,2034005=150=150,101=50000
15272903,2034005=2=3,101=15000
15272904,2034005=6=7,101=15000
15272905,2034005=18=20,101=50000
15272906,2034005=30=32,101=50000
15272907,2034005=50=52,101=50000
15272908,2034005=120=122,101=50000
15272909,2034005=130=130,101=50000
15272910,2034005=140=140,101=50000
15272911,2034005=150=150,101=50000
10353611,2034006=88=92,101=50000
10363611,2034006=108=112,101=50000
10373611,2034006=128=132,101=50000
10363711,2034006=108=112,101=50000
10373711,2034006=128=132,101=50000
10353811,2034006=88=92,101=50000
10363811,2034006=108=112,101=50000
10373811,2034006=128=132,101=50000
10363911,2034006=108=112,101=50000
10373911,2034006=128=132,101=50000
10354011,2034006=88=92,101=50000
10364011,2034006=108=112,101=50000
10374011,2034006=128=132,101=50000
10364111,2034006=108=112,101=50000
10374111,2034006=128=132,101=50000
10354211,2034006=88=92,101=50000
10364211,2034006=108=112,101=50000
10374211,2034006=128=132,101=50000
10364311,2034006=108=112,101=50000
10374311,2034006=128=132,101=50000
10354411,2034006=88=92,101=50000
10364411,2034006=108=112,101=50000
10374411,2034006=128=132,101=50000
10364511,2034006=108=112,101=50000
10374511,2034006=128=132,101=50000
10354611,2034006=88=92,101=50000
10364611,2034006=108=112,101=50000
10374611,2034006=128=132,101=50000
10354711,2034006=88=92,101=50000
10364711,2034006=108=112,101=50000
10374711,2034006=128=132,101=50000
10354811,2034006=88=92,101=50000
10364811,2034006=108=112,101=50000
10374811,2034006=128=132,101=50000
10354911,2034006=88=92,101=50000
10364911,2034006=108=112,101=50000
10374911,2034006=128=132,101=50000
