ID,Comment,DungeonID,WaveID,Type,RandomProb
223,森林友方NPC10,7211,41,9,29655=100|29656=100|29658=100|29659=100|29660=100
224,怪物增殖小怪,7211,42,1,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
225,怪物增殖精英怪,7211,43,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
226,高塔协议召怪,7211,44,4,29626=100|29627=100|29628=100|29629=100|29630=100
227,陷阱塔随机小怪,7211,45,5,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
228,陷阱塔随机精英怪,7211,46,6,29626=100|29627=100|29628=100|29629=100|29630=100
229,沙漠小怪1,7212,12,1,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
230,沙漠小怪2,7212,13,1,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
231,沙漠小怪3,7212,14,1,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
232,沙漠小怪4,7212,15,1,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
233,沙漠精英1,7212,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
234,沙漠精英2,7212,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
235,沙漠BOSS,7212,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
236,沙漠结束NPC,7212,46,10,
237,采集物神龛,7212,0,11,
238,沙漠神龛1,7212,19,7,29319=100|29320=100|29321=100|29322=100|29323=100|29324=100|29325=100|29326=100
239,沙漠友方NPC1,7212,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
240,沙漠友方NPC2,7212,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
241,沙漠友方NPC3,7212,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
242,沙漠友方NPC4,7212,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
243,沙漠友方NPC5,7212,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
244,沙漠友方NPC6,7212,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
245,沙漠友方NPC7,7212,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
246,沙漠友方NPC8,7212,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
247,沙漠友方NPC9,7212,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
248,沙漠友方NPC10,7212,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
249,怪物增殖小怪,7212,41,1,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
250,怪物增殖精英怪,7212,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
251,高塔协议召怪,7212,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
252,陷阱塔随机小怪,7212,44,5,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
253,陷阱塔随机精英怪,7212,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
254,古城小怪1,7213,12,1,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
255,古城小怪2,7213,13,1,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
256,古城小怪3,7213,14,1,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
257,古城小怪4,7213,15,1,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
258,古城精英1,7213,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
259,古城精英2,7213,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
260,古城BOSS,7213,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
261,古城结束NPC,7213,46,10,
262,采集物神龛,7213,0,11,
263,古城神龛1,7213,19,7,29327=100|29328=100|29329=100|29330=100|29331=100|29332=100|29333=100|29334=100
264,古城友方NPC1,7213,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
265,古城友方NPC2,7213,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
266,古城友方NPC3,7213,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
267,古城友方NPC4,7213,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
268,古城友方NPC5,7213,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
269,古城友方NPC6,7213,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
270,古城友方NPC7,7213,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
271,古城友方NPC8,7213,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
272,古城友方NPC9,7213,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
273,古城友方NPC10,7213,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
274,怪物增殖小怪,7213,41,1,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
275,怪物增殖精英怪,7213,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
276,高塔协议召怪,7213,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
277,陷阱塔随机小怪,7213,44,5,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
278,陷阱塔随机精英怪,7213,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
279,海底小怪1,7214,12,1,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
280,海底小怪2,7214,13,1,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
281,海底小怪3,7214,14,1,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
282,海底小怪4,7214,15,1,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
283,海底精英1,7214,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
284,海底精英2,7214,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
285,海底BOSS,7214,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
286,海底结束NPC,7214,46,10,
287,采集物神龛,7214,0,11,
288,海底神龛1,7214,19,7,29335=100|29336=100|29337=100|29338=100|29339=100|29340=100|29341=100|29342=100
289,海底友方NPC1,7214,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
290,海底友方NPC2,7214,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
291,海底友方NPC3,7214,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
292,海底友方NPC4,7214,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
293,海底友方NPC5,7214,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
294,海底友方NPC6,7214,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
295,海底友方NPC7,7214,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
296,海底友方NPC8,7214,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
297,海底友方NPC9,7214,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
298,海底友方NPC10,7214,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
299,怪物增殖小怪,7214,41,1,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
300,怪物增殖精英怪,7214,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
301,高塔协议召怪,7214,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
302,陷阱塔随机小怪,7214,44,5,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
303,陷阱塔随机精英怪,7214,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
304,鬼城小怪1,7215,12,1,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
305,鬼城小怪2,7215,13,1,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
306,鬼城小怪3,7215,14,1,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
307,鬼城小怪4,7215,15,1,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
308,鬼城精英1,7215,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
309,鬼城精英2,7215,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
310,鬼城BOSS,7215,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
311,鬼城结束NPC,7215,46,10,
312,采集物神龛,7215,0,11,
313,鬼城神龛1,7215,19,7,29343=100|29344=100|29345=100|29346=100|29347=100|29348=100|29349=100|29350=100
314,鬼城友方NPC1,7215,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
315,鬼城友方NPC2,7215,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
316,鬼城友方NPC3,7215,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
317,鬼城友方NPC4,7215,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
318,鬼城友方NPC5,7215,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
319,鬼城友方NPC6,7215,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
320,鬼城友方NPC7,7215,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
321,鬼城友方NPC8,7215,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
322,鬼城友方NPC9,7215,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
323,鬼城友方NPC10,7215,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
324,怪物增殖小怪,7215,41,1,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
325,怪物增殖精英怪,7215,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
326,高塔协议召怪,7215,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
327,陷阱塔随机小怪,7215,44,5,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
328,陷阱塔随机精英怪,7215,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
329,花园小怪1,7216,12,1,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
330,花园小怪2,7216,13,1,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
331,花园小怪3,7216,14,1,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
332,花园小怪4,7216,15,1,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
333,花园精英1,7216,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
334,花园精英2,7216,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
335,花园BOSS,7216,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
336,花园结束NPC,7216,46,10,
337,采集物神龛,7216,0,11,
338,花园神龛1,7216,19,7,29351=100|29352=100|29353=100|29354=100|29355=100|29356=100|29357=100|29358=100
339,花园友方NPC1,7216,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
340,花园友方NPC2,7216,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
341,花园友方NPC3,7216,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
342,花园友方NPC4,7216,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
343,花园友方NPC5,7216,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
344,花园友方NPC6,7216,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
345,花园友方NPC7,7216,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
346,花园友方NPC8,7216,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
347,花园友方NPC9,7216,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
348,花园友方NPC10,7216,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
349,怪物增殖小怪,7216,41,1,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
350,怪物增殖精英怪,7216,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
351,高塔协议召怪,7216,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
352,陷阱塔随机小怪,7216,44,5,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
353,陷阱塔随机精英怪,7216,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
354,钟塔小怪1,7217,12,1,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
355,钟塔小怪2,7217,13,1,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
356,钟塔小怪3,7217,14,1,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
357,钟塔小怪4,7217,15,1,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
358,钟塔精英1,7217,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
359,钟塔精英2,7217,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
360,钟塔BOSS,7217,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
361,钟塔结束NPC,7217,46,10,
362,采集物神龛,7217,0,11,
363,钟塔神龛1,7217,19,7,29359=100|29360=100|29361=100|29362=100|29363=100|29364=100|29365=100|29366=100
364,钟塔友方NPC1,7217,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
365,钟塔友方NPC2,7217,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
366,钟塔友方NPC3,7217,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
367,钟塔友方NPC4,7217,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
368,钟塔友方NPC5,7217,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
369,钟塔友方NPC6,7217,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
370,钟塔友方NPC7,7217,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
371,钟塔友方NPC8,7217,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
372,钟塔友方NPC9,7217,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
373,钟塔友方NPC10,7217,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
374,怪物增殖小怪,7217,41,1,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
375,怪物增殖精英怪,7217,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
376,高塔协议召怪,7217,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
377,陷阱塔随机小怪,7217,44,5,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
378,陷阱塔随机精英怪,7217,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
379,波利小怪1,7218,12,1,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
380,波利小怪2,7218,13,1,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
381,波利小怪3,7218,14,1,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
382,波利小怪4,7218,15,1,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
383,波利精英1,7218,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
384,波利精英2,7218,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
385,波利BOSS,7218,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
386,波利结束NPC,7218,46,10,
387,采集物神龛,7218,0,11,
388,波利神龛1,7218,19,7,29367=100|29368=100|29369=100|29370=100|29371=100|29372=100|29373=100|29374=100
389,波利友方NPC1,7218,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
390,波利友方NPC2,7218,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
391,波利友方NPC3,7218,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
392,波利友方NPC4,7218,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
393,波利友方NPC5,7218,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
394,波利友方NPC6,7218,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
395,波利友方NPC7,7218,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
396,波利友方NPC8,7218,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
397,波利友方NPC9,7218,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
398,波利友方NPC10,7218,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
399,怪物增殖小怪,7218,41,1,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
400,怪物增殖精英怪,7218,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
401,高塔协议召怪,7218,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
402,陷阱塔随机小怪,7218,44,5,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
403,陷阱塔随机精英怪,7218,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
404,BOSS层小怪1,7219,0,1,29597=100|29598=100|29600=100|29599=100
405,BOSS层BOSS,7219,1,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
406,BOSS层结束NPC,7219,2,10,
