Id,Level,SystemId,SystemName,Atlas,Icon,GuideName,Type,TargetLevel,Parameter,Describe,Score,HighScore,Function,FunctionParameter,DisplayInRecommend
90,110=120,9009,载具性格,Icon02,UI_Icon_Zaiju.png,推荐：载具性格,10,0,1=20|2=20|3=20|4=20|5=20,载具5个性格值培养至60,6000,9000,,,0
91,110=120,10804,装备插卡,Icon01,UI_Icon_Kapian.png,推荐：装备插卡,4,2,1=3500|2=4000|3=5000|4=6000,全身装备插8张蓝卡,32000,40000,,1|2|3|4|5|6,0
92,110=120,143,属性加点,Icon02,UI_Icon_Juesejiadian.png,推荐：属性加点,7,10,1=30=2500|30=40=2000|40=50=400|50=60=1500|60=70=300|70=80=50|80=90=50|90=100=50,素质点要及时分配哦,500,500,,,0
93,110=120,10821,贝鲁兹核心,Icon_ItemMaterial05,UI_icon_item_beiluzhexin.png,推荐：齿轮镶嵌,15,0,3024022=1=3000|3024022=2=3000|3024022=3=3000|3024022=4=3000|3024023=1=6000|3024023=2=6000|3024023=3=6000|3024023=4=6000|3024024=1=15000|3024024=2=15000|3024024=3=15000|3024024=4=15000|3024025=1=20000|3024025=2=20000|3024025=3=20000|3024025=4=20000,镶嵌1个紫色、1个橙色双技能齿轮,42000,64000,,,0
94,110=120,3095,防具锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：防具锻造,1,110,1=30=2000|30=40=4000|40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000|100=110=20000|110=120=24000,全身4个部位穿戴110级防具装备,96000,96000,,2|3|4|5,0
95,40=80,20007,宠物装备强化,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物装备强化,17,9,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,穿戴6件强化9级的宠物装备,60000,78000,,,0
96,80=100,20007,宠物装备强化,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物装备强化,17,12,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,穿戴6件强化12级的宠物装备,78000,90000,,,0
97,100=120,20007,宠物装备强化,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物装备强化,17,15,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,穿戴6件强化15级的宠物装备,90000,90000,,,0
98,40=80,20007,宠物装备品质,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物装备品质,18,2,1=200|2=3000|3=6000,穿戴6件紫色品质的宠物装备,18000,36000,,,0
99,80=100,20007,宠物装备品质,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物装备品质,18,3,1=200|2=3000|3=6000,穿戴6件橙色品质的宠物装备,36000,36000,,,0
100,40=80,20005,宠物技能品质,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物技能品质,19,2,1=200|2=3000|3=6000,宠物掌握4个RANK2技能,12000,36000,,,0
101,80=100,20005,宠物技能品质,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物技能品质,19,3,1=200|2=3000|3=6000,宠物掌握4个RANK3技能,24000,36000,,,0
102,100=120,20005,宠物技能品质,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物技能品质,19,3,1=200|2=3000|3=6000,宠物掌握6个RANK3技能,36000,36000,,,0
103,40=80,20004,宠物资质培养,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物资质培养,20,2500,1000=2000=1000|2000=3500=3000|3500=4500=4500|4500=8000=6000,有1只资质评分超过2500的宠物,3000,6000,,,0
104,80=100,20004,宠物资质培养,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物资质培养,20,3500,1000=2000=1000|2000=3500=3000|3500=4500=4500|4500=8000=6000,有2只资质评分超过3500的宠物,9000,12000,,,0
105,100=120,20004,宠物资质培养,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物资质培养,20,4500,1000=2000=1000|2000=3500=3000|3500=4500=4500|4500=8000=6000,有1只资质评分超过4500的宠物,12000,15000,,,0
106,40=80,20004,宠物特技培养,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物特技培养,21,1,1=3000,有1只宠物学会了特技,3000,12000,,,0
107,80=100,20004,宠物特技培养,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物特技培养,21,1,1=3000,有2只宠物学会了特技,6000,12000,,,0
108,100=120,20004,宠物特技培养,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物特技培养,21,1,1=3000,有4只宠物学会了特技,12000,12000,,,0
109,40=60,20003,宠物等级,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物等级,22,50,40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000|100=110=21000|110=120=24000,有1只50级的宠物,8000,8000,,,0
110,60=70,20003,宠物等级,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物等级,22,60,40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000|100=110=21000|110=120=24000,有1只60级的宠物,10000,10000,,,0
111,70=80,20003,宠物等级,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物等级,22,70,40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000|100=110=21000|110=120=24000,有1只70级的宠物,12000,12000,,,0
112,80=90,20003,宠物等级,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物等级,22,80,40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000|100=110=21000|110=120=24000,有1只80级的宠物,15000,15000,,,0
113,90=100,20003,宠物等级,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物等级,22,90,40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000|100=110=21000|110=120=24000,有1只90级的宠物,18000,18000,,,0
114,100=110,20003,宠物等级,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物等级,22,100,40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000|100=110=21000|110=120=24000,有1只100级的宠物,21000,21000,,,0
115,110=120,20003,宠物等级,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：宠物等级,22,110,40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000|100=110=21000|110=120=24000,有1只110级的宠物,24000,24000,,,0
