【此数据覆盖用户数TOP300机型，以benchmark分数进行排名，并进行分档分类】只关心档位和型号，档位1最高，4最低,,,,,,,,,,,,,,,,,,,,,,
综合分排名,综合评分,档位,用户占比排名,用户占比(%),手机名,型号,厂商,CPU名,CPU型号,核心数,CPU频率,内存(GB),启用Zram,GPU名,GPU频率,是否降频设备,OpenGL_es,Vulkan,安卓7.0以上用户比例,分辨率,异形屏,CPU位数
135,113.32,3,87,0.3,荣耀畅玩7X（4GB RAM/全网通）,BND-AL00,华为,海思 麒麟 659,Kirin659,8,1800,4,是,Mali-T830MP2,900,1,3.2,1,0.299666,2160x1080,否,64
136,113.32,3,26,0.71,荣耀畅玩7X（4GB RAM/全网通）,BND-AL10,华为,海思 麒麟 659,Kirin659,8,1800,4,是,Mali-T830MP2,900,1,3.2,1,0.709351,2160x1080,否,64
137,113.32,3,171,0.12,荣耀畅玩7X,BND-TL10,华为,海思 麒麟 659,Kirin659,8,1800,4,是,Mali-T830MP2,900,1,3.2,1,0.12,2160x1080,否,64
138,113.32,3,107,0.25,荣耀(honor) 畅玩6X(BLN-AL40) 尊享版,BLN-AL40,华为,海思 麒麟 655,Kirin655,8,1800,4,是,Mali-T830MP2,900,1,3.2,1,0.240351,1920x1080,否,64
139,113.32,3,111,0.23,华为麦芒6（全网通）,RNE-AL00,华为,海思 麒麟 659,Kirin659,8,1800,4,是,Mali-T830MP2,900,1,3.2,1,0.229782,2160x1080,否,64
140,113.32,3,172,0.12,荣耀畅玩6X（3GB RAM/移动4G）,BLN-TL10,华为,海思 麒麟 655,Kirin655,8,1800,4,是,Mali-T830MP2,900,1,3.2,1,0.114855,1920x1080,否,64
141,113.32,3,67,0.38,荣耀8青春版（PRA-AL00X/4GB RAM/全网通）,PRA-AL00X,华为,海思 麒麟 655,Kirin655,8,1800,4,是,Mali-T830MP2,900,0,3.2,1,0.379438,1920x1080,否,64
142,113.32,3,79,0.33,荣耀畅玩6X（BLN-AL10/4GB RAM/全网通）,BLN-AL10,华为,海思 麒麟 655,Kirin655,8,1800,4,是,Mali-T830MP2,900,1,3.2,1,0.290918,1920x1080,否,64
143,113.32,3,93,0.28,荣耀8青春版（PRA-AL00/3GB RAM/全网通）,PRA-AL00,华为,海思 麒麟 655,Kirin655,8,1800,3,是,Mali-T830MP2,900,0,3.2,1,0.279769,1920x1080,否,64
144,113.32,3,187,0.11,荣耀畅玩6X（BLN-AL10/4GB RAM/全网通）,BLN-AL20,华为,海思 麒麟 655,Kirin655,8,1800,4,是,Mali-T830MP2,900,1,3.2,1,0.100978,1920x1080,否,64
145,113.32,3,206,0.09,荣耀8青春版,PRA-TL10,华为,海思 麒麟 655,Kirin655,8,1800,3,是,Mali-T830MP2,900,0,3.2,1,0.09,1920x1080,否,64
146,113.32,3,257,0.06,华为P10青春版（全网通）,WAS-TL10,华为,海思 麒麟 655,Kirin655,8,2100,4,是,Mali-T830MP2,900,1,3.2,1,0.06,1920x1080,否,64
147,113.32,3,246,0.07,华为畅享7S（3GB RAM/全网通）,FIG-AL00,华为,海思 麒麟 659,Kirin659,8,1800,4,--,Mali-T830MP2,900,0,3.2,1,0.07,NULL,否,64
148,113.32,3,105,0.26,荣耀9青春版,LLD-AL00,华为,海思 麒麟 659,Kirin659,8,1800,3,是,Mali-T830MP2,900,0,3.2,1,0.259829,2160x1080,否,64
149,113.32,3,131,0.18,华为畅享7S（4GB RAM/全网通）,FIG-AL10,华为,海思 麒麟 659,Kirin659,8,1800,4,是,Mali-T830MP2,900,1,3.2,1,0.18,2160x1080,否,64
150,113.32,3,110,0.24,荣耀9青春版（4GB RAM/全网通）,LLD-AL10,华为,海思 麒麟 659,Kirin659,8,1800,4,是,Mali-T830MP2,900,0,3.2,1,0.239758,2160x1080,否,64
151,113.32,3,236,0.07,华为畅享7S（4GB RAM/全网通）,FIG-TL10,华为,海思 麒麟 659,Kirin659,8,1800,4,--,Mali-T830MP2,900,0,3.2,1,0.07,2160x1080,否,64
152,113.32,3,51,0.5,华为NOVA3E-ANE-AL00全网通,ANE-AL00,华为,海思 麒麟 659,Kirin659,8,1800,4,--,Mali-T830MP2,900,0,3.2,1,0.5,2280x1080,是,64
153,113.32,3,162,0.13,华为nova 3e,ANE-TL00,华为,海思 麒麟 659,Kirin659,8,1800,4,--,Mali-T830MP2,900,0,3.2,1,0.129784,2280x1080,是,64
154,111.76,3,136,0.16,荣耀畅玩5C（NEM-AL10/高配版/全网通）,NEM-AL10,华为,海思 麒麟 650,Kirin650,8,1800,3,是,Mali-T830MP2,900,1,3.2,1,0.00552,1920x1080,否,64
155,111,1,47,0.51,OPPO R9（移动4G）,OPPO R9TM,OPPO,联发科Helio P10,MT6755,8,2000,4,否,Mali-T860MP2,700,0,3.2,1,0,1920x1080,否,64
156,111,1,18,1.04,OPPO R9（全网通）,OPPO R9M,OPPO,联发科Helio P10,MT6755,8,2000,4,是,Mali-T860MP2,700,0,3.2,1,0,1920x1080,否,64
157,111,1,195,0.1,OPPO R9（全网通）,OPPO R9KM,OPPO,联发科Helio P10,MT6755,8,2000,4,否,Mali-T860MP2,700,0,3.2,1,0,1920x1080,否,64
158,111,1,80,0.31,魅族魅蓝Note 5（全网通）,M5 NOTE,魅族,联发科Helio P10,MT6755,8,1800,3,是,Mali-T860MP2,700,1,3.2,1,0.247588,1920x1080,否,64
159,109.7,2,280,0.05,美图T8（全网通）,MP1602,美图,联发科Helio X20,MT6797,10,1800,4,否,Mali-T880MP4,780,1,3.2,1,0.047882,1920x1080,否,64
160,109.7,2,242,0.07,魅族MX6（3GB RAM/全网通）,MX6,魅族,联发科Helio X20,MT6797,10,1800,3,是,Mali-T880MP4,780,1,3.2,1,0.060261,1920x1080,否,64
161,109.7,2,85,0.3,小米红米Note 4（3GB RAM/全网通）,REDMI NOTE 4,小米,联发科Helio X20,MT6797,10,1800,3,是,Mali-T880MP4,780,1,3.2,1,0.01193,1920x1080,否,64
162,109.7,2,289,0.05,小米红米Pro（标准版/全网通）,REDMI PRO,小米,联发科Helio X20,MT6797,10,2100,3,否,Mali-T880MP4,780,1,3.2,1,0,1920x1080,否,64
163,109.6,2,83,0.31,乐视乐2（全网通）,LE X620,乐视,联发科Helio X20 M,MT6797M,10,2300,3,否,Mali-T880MP4,780,1,3.2,1,0,1920x1080,否,64
164,105.02,0,197,0.1,小米Note（双4G）,MI NOTE LTE,小米,高通 骁龙800,MSM8974,4,2500,3,否,Adreno330,450,1,3,不适用,0,1920x1080,否,32
165,102.56,3,177,0.11,魅族魅蓝E2（3GB RAM/全网通）,M2 E,魅族,联发科Helio P20,MT6757,8,2300,3,是,Mali-T880MP2,900,0,3.2,1,0,1920x1080,否,64
166,101.81,0,154,0.13,小米4（2GB RAM/移动4G）,MI 4LTE,小米,高通 骁龙801,MSM8974AC,4,2000,3,是,Adreno330,578,1,3,不适用,0,1920x1080,否,32
167,101.78,3,95,0.28,华为nova青春版（WAS-AL00/全网通）,WAS-AL00,华为,海思 麒麟 658,Kirin658,8,1800,4,是,Mali-T830MP2,900,1,3.2,1,0.279749,1920x1080,否,64
168,101.7,1,219,0.09,OPPO A79（全网通）,OPPO A79T,OPPO,联发科MT6763T,MT6763T,8,2500,4,是,Mali-G71MP2,700,0,3.2,1,0.089659,2160x1080,否,64
169,101.7,1,248,0.07,OPPO A79（全网通）,OPPO A79KT,OPPO,联发科MT6763T,MT6763T,8,2500,4,是,Mali-G71MP2,700,0,3.2,1,0.069802,2160x1080,否,64
170,101.7,1,11,1.26,OPPO A83 (全网通),OPPO A83,OPPO,联发科MT6763T,MT6763T,8,2500,4,是,Mali-G71MP2,700,1,3.2,1,1.259453,1440x720,否,64
171,101.7,1,33,0.62,OPPO A83t 全网通,OPPO A83T,OPPO,联发科MT6763T,MT6763T,8,2500,4,是,Mali-G71MP2,700,1,3.2,1,0.619737,2160x1080,否,64
172,101.7,1,126,0.19,OPPO A79（全网通）,OPPO A79,OPPO,联发科MT6763T,MT6763T,8,2500,4,是,Mali-G71MP2,700,0,3.2,1,0.18973,2160x1080,否,64
173,101.7,1,147,0.14,OPPO A79,OPPO A79K,OPPO,联发科MT6763T,MT6763T,8,2500,4,是,Mali-G71MP2,700,0,3.2,1,0.14,2160x1080,否,64
174,101.7,1,54,0.47,OPPO A73（全网通）,OPPO A73,OPPO,联发科MT6763T,MT6763T,8,2500,4,是,Mali-G71MP2,700,0,3.2,1,0.469671,2160x1080,否,64
175,101.7,1,108,0.25,OPPO A73t（全网通）,OPPO A73T,OPPO,联发科MT6763T,MT6763T,8,2500,4,是,Mali-G71MP2,700,0,3.2,1,0.249712,2160x1080,否,64
176,101.62,1,96,0.27,vivo Y75（4GB RAM/全网通）,VIVO Y75A,VIVO,联发科MT6763,MT6763,8,2000,3,是,Mali-G71MP2,700,1,3.2,1,0.269685,1440x720,否,64
177,101.62,1,169,0.12,vivo Y75（4GB RAM/全网通）,VIVO Y75,VIVO,联发科MT6763,MT6763,8,2000,3,是,Mali-G71MP2,700,1,3.2,1,0.12,1440x720,否,64
178,101.33,2,1,2.17,OPPO A5（全网通版),PBAM00,oppo,高通 骁龙450,SDM450,8,1800,4,--,Adreno506,850,0,3.2,1,2.17,1520x720,是,64
179,101.33,2,59,0.44,vivo Y85,VIVO Y85,VIVO,高通 骁龙450,SDM450,8,1800,4,是,Adreno506,850,0,3.2,1,0.439636,2280x1080,是,64
180,101.33,2,13,1.15,vivo Y85（全网通）,VIVO Y85A,VIVO,高通 骁龙450,SDM450,8,1800,4,是,Adreno506,850,0,3.2,1,1.15,2280x1080,是,64
181,101.33,2,61,0.42,荣耀畅玩7C（3GB RAM/全网通）,LND-AL30,华为,高通 骁龙450,SDM450,8,1800,3,是,Adreno506,850,0,3.2,1,0.42,1440x720,否,64
182,101.33,2,238,0.07,荣耀畅玩7C（LND-AL40）,LND-AL40,华为,高通 骁龙450,SDM450,8,1800,4,--,Adreno506,850,0,3.2,1,0.07,1440x720,否,64
183,100.76,1,245,0.07,魅族MX5（移动4G）,MX5,魅族,联发科Helio X10,MT6795T,8,2000,3,是,PowerVRG6200,700,1,3.1,1,0,1920x1080,否,64
184,100.76,1,218,0.09,乐视乐1S（X501/太子妃版/双4G）,LETV X501,乐视,联发科Helio X10,MT6795,8,2000,3,是,PowerVRG6200,700,1,3.1,1,0,1920x1080,否,64
185,100.76,1,185,0.11,乐视乐1S（X500/双4G）,LETV X500,乐视,联发科Helio X10,MT6795T,8,2000,3,是,PowerVRG6200,700,1,3.1,1,0.000166,1920x1080,否,64
186,100.76,1,196,0.1,魅族魅蓝metal（双4G）,M1 METAL,魅族,联发科Helio X10,MT6795,8,2000,2,是,PowerVRG6200,700,1,3.1,1,0,1920x1080,否,64
187,100.76,1,161,0.13,小米红米Note 2（标准版/双4G）,REDMI NOTE 2,小米,联发科Helio X10,MT6795,8,1600,2,是,PowerVRG6200,700,1,3.1,1,0,1920x1080,否,64
188,100.76,1,294,0.05,红米Note2移动4G版本,2014813,小米,联发科Helio X10,MT6795,8,1300,2,--,PowerVRG6200,700,0,3.1,1,0,1920x1080,否,64
189,100.51,2,207,0.09,魅族m1E（全网通）,M1 E,魅族,联发科MT6755M,MT6755M,8,1800,3,是,Mali-T860MP2,800,1,3.2,1,0.063136,1920x1080,否,64
190,100.51,2,139,0.16,魅族魅蓝Note 3（全网通）,M3 NOTE,魅族,联发科MT6755M,MT6755M,8,1800,3,是,Mali-T860MP2,800,1,3.2,1,0.109284,1920x1080,否,64
191,100.51,2,265,0.06,金立M6（全网通）,GN8003,金立,联发科MT6755M,MT6755M,8,1800,4,是,Mali-T860MP2,800,0,3.2,1,0,1920x1080,否,64
192,99.97,3,296,0.05,魅族PRO 7（标准版/全网通）,PRO 7-S,魅族,联发科Helio P25,MT6757CD,8,2600,4,--,Mali-T880MP2,1000,0,3.2,1,0.05,2160x1080,否,64
193,99.97,3,259,0.06,金立S10（移动4G）,GIONEE S10L,金立,联发科Helio P25,MT6757CD,8,2500,6,否,Mali-T880MP2,1000,0,3.2,1,0.06,1920x1080,否,64
194,99.97,3,190,0.1,金立S10（全网通）,GIONEE S10,金立,联发科Helio P25,MT6757CD,8,2500,6,否,Mali-T880MP2,1000,0,3.2,1,0.099799,1920x1080,否,64
195,97.57,3,276,0.05,金立M7（全网通）,GIONEE M7,金立,联发科Helio P30,HelioP30,8,1700,6,--,Mali-G71MP2,950,0,3.2,1,0.05,2160x1080,否,64
196,97.45,0,103,0.26,小米红米Note 5A（3GB RAM/高配版/全网通）,REDMI NOTE 5A,小米,高通 骁龙435,MSM8940,8,1400,3,是,Adreno505,450,1,3.2,1,0.259586,1280x720,否,64
197,97.45,0,6,1.68,OPPO A57（全网通）,OPPO A57,OPPO,高通 骁龙435,MSM8940,8,1400,3,否,Adreno505,450,0,3.2,1,0,1280x720,否,64
198,97.45,0,31,0.65,OPPO A57t（定制机32G）,OPPO A57T,OPPO,高通 骁龙435,MSM8940,8,1400,3,否,Adreno505,450,0,3.2,1,0,1280x720,否,64
199,97.45,0,113,0.23,小米红米Note 4X（4GB RAM/骁龙版/全网通）,REDMI 4X,小米,高通 骁龙435,MSM8940,8,1400,3,是,Adreno505,450,1,3.2,1,0.220378,1280x720,否,64
200,97.45,0,268,0.06,华为平板 M3青春版10.1英寸（3GB/32GB/WiFi版）,BAH-W09,华为,高通 骁龙435,MSM8940,8,1400,3,--,Adreno505,450,0,3.2,1,0.06,1920×1200,否,64
201,97.45,0,231,0.08,华为畅享7 Plus,TRT-TL10,华为,高通 骁龙435,MSM8940,8,1400,3,是,Adreno505,450,1,3.2,1,0.08,1280x720,否,64
202,97.45,0,159,0.13,华为畅享7 Plus（TRT-AL00/3GB RAM/全网通）,TRT-AL00,华为,高通 骁龙435,MSM8940,8,1400,3,是,Adreno505,450,1,3.2,1,0.13,1280x720,否,64
203,97.45,0,174,0.12,华为畅享7 Plus（TRT-AL00A/4GB RAM/全网通）,TRT-TL10A,华为,高通 骁龙435,MSM8940,8,1400,4,是,Adreno505,450,1,3.2,1,0.119819,1280x720,否,64
204,97.45,0,92,0.29,华为畅享7 Plus（TRT-AL00A/4GB RAM/全网通）,TRT-AL00A,华为,高通 骁龙435,MSM8940,8,1400,4,是,Adreno505,450,1,3.2,1,0.29,1280x720,否,64
205,97.45,0,243,0.07,华为畅享6S（DIG-TL10/移动全网通）,DIG-TL10,华为,高通 骁龙435,MSM8940,8,1400,3,是,Adreno505,450,1,3.2,1,0,1280x720,否,64
206,97.45,0,128,0.18,华为畅享6S（DIG-AL00/全网通）,DIG-AL00,华为,高通 骁龙435,MSM8940,8,1400,3,是,Adreno505,450,1,3.2,1,0,1280x720,否,64
207,97.4,0,148,0.14,荣耀畅玩6A（DLI-AL10/高配版/全网通）,DLI-AL10,华为,高通 骁龙430,MSM8937,8,1400,3,是,Adreno505,450,0,3.2,1,0.130793,1280x720,否,64
208,97.4,0,271,0.05,荣耀畅玩6A（移动全网通）,DLI-TL20,华为,高通 骁龙430,MSM8937,8,1400,3,是,Adreno505,450,0,3.2,1,0.05,1280x720,否,64
209,97.4,0,12,1.16,vivo Y66（全网通）,VIVO Y66,VIVO,高通 骁龙430,MSM8937,8,1400,3,是,Adreno505,450,0,3.2,1,0,1280x720,否,64
210,97.4,0,153,0.13,vivo Y55（全网通）,VIVO Y55,VIVO,高通 骁龙430,MSM8937,8,1400,2,是,Adreno505,450,1,3.2,1,0,1280x720,否,64
211,97.4,0,52,0.5,vivo Y66 移动定制版,VIVO Y66L,VIVO,高通 骁龙430,MSM8937,8,1400,3,是,Adreno505,450,0,3.2,1,0,1280x720,否,64
212,97.4,0,198,0.1,vivo Y55（全网通）,VIVO Y55L,VIVO,高通 骁龙430,MSM8937,8,1400,2,是,Adreno505,450,1,3.2,1,0,1280x720,否,64
213,97.4,0,99,0.27,vivo Y55（全网通）,VIVO Y55A,VIVO,高通 骁龙430,MSM8937,8,1400,2,是,Adreno505,450,1,3.2,1,0,1280x720,否,64
214,97.4,0,145,0.15,小米红米3S（标准版/全网通）,REDMI 3S,小米,高通 骁龙430,MSM8937,8,1400,3,是,Adreno505,450,1,3.2,1,0,1280x720,否,64
215,97.4,0,298,0.04,小米红米3X（全网通）,REDMI 3X,小米,高通 骁龙430,MSM8937,8,1500,2,是,Adreno505,450,1,3.2,1,0,1280x720,否,64
216,97.4,0,81,0.31,华为畅享8（3GB RAM/移动4G）,LDN-AL00,华为,高通 骁龙430,MSM8937,8,1400,3,是,Adreno505,450,1,3.2,1,0.309748,1440x720,否,64
217,97.34,0,287,0.05,vivo Y53（全网通）,VIVO Y53L,VIVO,高通 骁龙425,MSM8917,4,1400,2,是,Adreno308,500,0,3,不适用,0,960x540,否,64
218,97.34,0,240,0.07,vivo Y53（全网通）,VIVO Y53,VIVO,高通 骁龙425,MSM8917,4,1400,2,是,Adreno308,500,0,3,不适用,0,960x540,否,64
219,97.34,0,132,0.17,小米红米5A（2GB RAM/全网通）,REDMI 5A,小米,高通 骁龙425,MSM8917,4,1400,2,是,Adreno308,500,0,3,不适用,0.16968,1280x720,否,64
220,97.34,0,97,0.27,vivo Y66i（全网通）,VIVO Y66I A,VIVO,高通 骁龙425,MSM8917,4,1400,3,否,Adreno308,500,0,3,不适用,0.27,1280x720,否,64
221,97.34,0,133,0.17,vivo Y66i（全网通）,VIVO Y66I,VIVO,高通 骁龙425,MSM8917,4,1400,3,否,Adreno308,500,0,3,不适用,0.17,1280x720,否,64
222,97.34,0,109,0.24,小米红米4A（全网通）,REDMI 4A,小米,高通 骁龙425,MSM8917,4,1400,2,是,Adreno308,500,1,3,不适用,0.001482,1280x720,否,64
223,97.34,0,214,0.09,华为畅享7,SLA-TL10,华为,高通 骁龙425,MSM8917,4,1400,2,是,Adreno308,500,1,3,不适用,0.09,1280x720,否,64
224,97.34,0,114,0.22,华为畅享7（SLA-AL00）,SLA-AL00,华为,高通 骁龙425,MSM8917,4,1400,2,是,Adreno308,500,1,3,不适用,0.210968,1280x720,否,64
225,97.07,0,221,0.09,小米4C（高配版/全网通）,MI-4C,小米,高通 骁龙808,MSM8992,6,2500,3,否,Adreno418,600,1,3.1,1,0.060003,1920x1080,否,64
226,96.51,0,173,0.12,荣耀畅玩6（2GB RAM/全网通）,MYA-AL10,华为,联发科MT6737T,MT6737T,4,1500,2,是,Mali-T720MP2,600,0,3.1 ,不适用,0,1280x720,否,64
227,91.99,0,270,0.05,vivo S9,S9,VIVO,联发科MT6577,MT6577,2,1300,1,--,PowerVRSGX531Ultra,522,0,2,不适用,0,960x540,否,32
228,89.44,1,220,0.09,魅族魅蓝Note 2（双4G）,M2 NOTE,魅族,联发科MT6753,MT6753,8,1300,2,是,Mali-T720MP3,700,1,3.1,不适用,0,1920x1080,否,64
229,89.44,1,212,0.09,魅族魅蓝5s（全网通）,M5S,魅族,联发科MT6753,MT6753,8,1300,3,是,Mali-T720MP3,700,1,3.1,不适用,0,1280x720,否,64
230,87.33,0,262,0.06,魅族魅蓝6（3GB RAM/全网通）,MEIZU M6,魅族,联发科MT6750,MT6750,8,1500,3,--,Mali-T860MP2,520,0,3.2,1,0.06,1280x720,否,64
231,87.33,0,228,0.08,OPPO A59st（移动定制）,OPPO A59ST,OPPO,联发科MT6750,MT6750,8,1500,4,否,Mali-T860MP2,520,0,3.2,1,0,1280x720,否,64
232,87.33,0,43,0.53,OPPO A59（全网通）,OPPO A59M,OPPO,联发科MT6750,MT6750,8,1500,3,否,Mali-T860MP2,520,0,3.2,1,0,1280x720,否,64
233,87.33,0,42,0.54,vivo Y67（电信版）,VIVO Y67A,VIVO,联发科MT6750,MT6750,8,1500,4,否,Mali-T860MP2,520,1,3.2,1,0,1280x720,否,64
234,87.33,0,14,1.14,OPPO A59s（全网通）,OPPO A59S,OPPO,联发科MT6750,MT6750,8,1500,4,否,Mali-T860MP2,520,0,3.2,1,0,1280x720,否,64
235,87.33,0,275,0.05,华为畅享6（移动全网通）,NCE-AL10,华为,联发科MT6750,MT6750,8,1500,3,是,Mali-T860MP2,520,0,3.2,1,0,1280x720,否,64
236,87.33,0,77,0.33,vivo Y67（移动版）,VIVO Y67L,VIVO,联发科MT6750,MT6750,8,1500,4,否,Mali-T860MP2,520,1,3.2,1,0,1280x720,否,64
237,87.33,0,260,0.06,魅蓝M3,M3,魅族,联发科MT6750,MT6750,8,1500,2,是,Mali-T860MP2,520,1,3.2,1,0.00046,1920x1080,否,64
238,87.33,0,49,0.5,vivo Y67（全网通）,VIVO Y67,VIVO,联发科MT6750,MT6750,8,1500,4,否,Mali-T860MP2,520,1,3.2,1,0,1280x720,否,64
239,87.33,0,152,0.13,荣耀V9 Play 全网通标配版,JMM-AL00,华为,联发科MT6750,MT6750,8,1500,3,是,Mali-T860MP2,520,0,3.2,1,0.129637,1280x720,否,64
240,87.33,0,199,0.1,荣耀V9 play,JMM-AL10,华为,联发科MT6750,MT6750,8,1500,4,是,Mali-T860MP2,520,0,3.2,1,0.1,1280x720,否,64
241,87.33,0,24,0.72,OPPO A37（全网通）,OPPO A37M,OPPO,联发科MT6750,MT6750,8,1500,2,否,Mali-T860MP2,520,0,3.2,1,0,1280x720,否,64
242,87.33,0,203,0.1,魅蓝M3S,M3S,魅族,联发科MT6750,MT6750,8,1500,2,是,Mali-T860MP2,520,1,3.2,1,0,1280x720,否,64
243,87.33,0,165,0.12,OPPO A37（全网通）,OPPO A37T,OPPO,联发科MT6750,MT6750,8,1500,2,否,Mali-T860MP2,520,0,3.2,1,0,1280x720,否,64
244,87.33,0,202,0.1,魅蓝5,M5,魅族,联发科MT6750,MT6750,8,1500,2,是,Mali-T860MP2,520,1,3.2,1,0,1280x720,否,64
245,87.09,0,273,0.05,魅蓝M2,M2,魅族,联发科MT6735,MT6735,4,1300,2,是,Mali-T720MP2,600,0,3.1 ,不适用,0,1280x720,否,64
246,87.09,0,256,0.06,金立F100,F100,金立,联发科MT6735,MT6735,4,1300,1,是,Mali-T720MP2,600,0,3.1 ,不适用,0,1280x720,否,64
247,87.09,0,291,0.05,华为畅享5（TIT-AL00/全网通）,HUAWEI TIT-AL00,华为,联发科MT6735,MT6735,4,1300,2,是,Mali-T720MP2,600,0,3.1 ,不适用,0,1280x720,否,64
248,87.09,0,286,0.05,金立F103,F103,金立,联发科MT6735,MT6735,4,1300,2,是,Mali-T720MP2,600,0,3.1 ,不适用,0,1280x720,否,64
249,87.09,0,295,0.05,华为畅享5（TIT-TL00/移动4G）,HUAWEI TIT-TL00,华为,联发科MT6735,MT6735,4,1300,2,是,Mali-T720MP2,600,0,3.1 ,不适用,0,1280x720,否,64
250,87.09,0,180,0.11,金立金钢（GN5001S/全网通）,GN5001S,金立,联发科MT6735,MT6735,4,1300,1,是,Mali-T720MP2,600,0,3.1 ,不适用,0,1280x720,否,64
251,87.09,0,186,0.11,vivo Y35 (全网通),VIVO Y35,VIVO,联发科MT6735,MT6735,4,1300,2,否,Mali-T720MP2,600,0,3.1 ,不适用,0,1280x720,否,64
252,86.5,0,208,0.09,荣耀畅玩5（CUN-AL00/全网通）,CUN-AL00,华为,联发科MT6735P,MT6735P,4,1300,2,是,Mali-T720MP2,400,0,3.1 ,不适用,0,1280x720,否,64
253,86.5,0,284,0.05,荣耀畅玩5（CUN-TL00/移动4G）,CUN-TL00,华为,联发科MT6735P,MT6735P,4,1300,2,是,Mali-T720MP2,400,0,3.1 ,不适用,0,1280x720,否,64
254,85.34,1,252,0.06,荣耀畅玩4C（CHM-TL00H/增强版/移动4G）,CHM-TL00H,华为,海思 麒麟 620,Kirin620,8,1200,2,是,Mali-450MP4,700,1,2,不适用,0,1280x720,否,64
255,82.46,0,297,0.05,LG F100L,F100L,LG,高通 骁龙 S3,MSM8660,2,1500,1,否,Adreno220,266,1,2,不适用,0,1024x768,否,32
256,78.36,0,283,0.05,三星GALAXY Note II（N7100/32GB）,GT-N7100,三星,Samsung Exynos 4412,Exynos4412,4,1600,2,否,Mali-400MP4,440,1,2,不适用,0.000187,1280x720,否,32
257,76.53,0,244,0.07,华为G9青春版（VNS-AL00/全网通）,HUAWEI VNS-AL00,华为,高通 骁龙617,MSM8952,8,1500,3,是,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
258,76.53,0,184,0.11,荣耀畅玩5A,CAM-TL00,华为,高通 骁龙617,MSM8952,8,1500,2,是,Adreno405,550,1,3.1,已计划支持,0,1280x720,否,64
259,76.53,0,288,0.05,荣耀畅玩5A,CAM-TL00H,华为,高通 骁龙617,MSM8952,8,1500,2,是,Adreno405,550,1,3.1,已计划支持,0,1280x720,否,64
260,76.53,0,170,0.12,荣耀畅玩5A（CAM-AL00/全网通）,CAM-AL00,华为,高通 骁龙617,MSM8952,8,1500,2,是,Adreno405,550,1,3.1,已计划支持,0,1280x720,否,64
261,76.53,0,232,0.08,三星GALAXY C5（C5000/全网通）,SM-C5000,三星,高通 骁龙617,MSM8952,8,1500,4,是,Adreno405,550,1,3.1,已计划支持,0.072978,1920x1080,否,64
262,76.4,0,255,0.06,荣耀6（H60-L01/移动4G）,H60-L01,华为,海思 麒麟 920,Kirin920,8,1500,3,否,Mali-T628MP4,600,1,3.1,不适用,0,1920x1080,否,32
263,76.01,0,205,0.09,OPPO R7 Plus（全网通）,R7PLUS,OPPO,高通 骁龙615,MSM8939,8,1500,3,否,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
264,76.01,0,251,0.06,vivo X6Plus（全网通）,VIVO X6PLUS A,VIVO,高通 骁龙615,MSM8939,8,1700,4,否,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
265,76.01,0,72,0.36,vivo V3Max（全网通）,VIVO V3MAX A,VIVO,高通 骁龙615,MSM8939,8,1500,3,否,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
266,76.01,0,127,0.18,vivo X6（全网通）,VIVO X6A,VIVO,高通 骁龙615,MSM8939,8,1700,4,否,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
267,76.01,0,117,0.21,vivo V3（全网通）,VIVO V3M A,VIVO,高通 骁龙615,MSM8939,8,1500,3,否,Adreno405,550,1,3.1,已计划支持,0,1280x720,否,64
268,76.01,0,188,0.1,vivo V3（全网通）,VIVO V3,VIVO,高通 骁龙615,MSM8939,8,1500,3,否,Adreno405,550,1,3.1,已计划支持,0,1280x720,否,64
269,76.01,0,192,0.1,OPPO A53（全网通）,OPPO A53M,OPPO,高通 骁龙615,MSM8939,8,1500,2,否,Adreno405,550,1,3.1,已计划支持,0,1280x720,否,64
270,76.01,0,121,0.2,OPPO R7s（4GB RAM/全网通）,OPPO R7SM,OPPO,高通 骁龙615,MSM8939,8,1500,4,否,Adreno405,550,0,3.1,已计划支持,0,1920x1080,否,64
271,76.01,0,150,0.14,OPPO R7 Plus（全网通）,R7PLUSM,OPPO,高通 骁龙615,MSM8939,8,1500,3,否,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
272,76.01,0,226,0.08,vivo X5M（移动4G）,VIVO X5M,VIVO,高通 骁龙615,MSM8939,8,1400,2,否,Adreno405,550,1,3.1,已计划支持,0,1280x720,否,64
273,76.01,0,204,0.09,小米红米3（标准版/全网通）,REDMI 3,小米,高通 骁龙615,MSM8939,8,1500,2,是,Adreno405,550,1,3.1,已计划支持,0,1280x720,否,64
274,76.01,0,250,0.06,OPPO R7 Plus高配版（全网通）,OPPO R7SPLUS,OPPO,高通 骁龙615,MSM8939,8,1500,3,否,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
275,76.01,0,264,0.06,vivo Y37A（全网通）,VIVO Y37,VIVO,高通 骁龙615,MSM8939,8,1400,2,否,Adreno405,550,1,3.1,已计划支持,0,1280x720,否,64
