ID,CardName,CardTexture,CardColor,CardAttributes,CanUsePosition,RecommendSchool,IsShowInHandBook,ResolveAmount,ExpendZeny,CardLevelType,SortId,CardCollectAttr,TakeoutConsume,SyntheticConsume,LocalizationArea,AwakeningCardID,AwakeningConsume,StarConsume,StarAddAttr
4030030,虎蜥人卡片,MonsterCard/UI_MonsterCard_Huxiren.jpg,2,1=510028040=0,3,,1,30000050=200=201,200000,6,80,0=27=5,,40400070=5,,403003001,30000050=50,,
4030031,狂暴米诺斯卡片,MonsterCard/UI_MonsterCard_Kuangbaominuosi.jpg,2,1=510028141=0,3,,1,30000050=400=401,400000,6,190,0=27=5,,40400080=5,,403003101,30000050=50,,
4030032,瑞比欧卡片,MonsterCard/UI_MonsterCard_Ruibiou.jpg,2,0=48=400|0=188=1000,3,,1,30000050=200=201,200000,6,60,0=27=5,,40400090=5,,403003201,30000050=50,,
4030033,巫婆卡片,MonsterCard/UI_MonsterCard_wupo.jpg,3,0=32=1|1=510029050=0,3,,1,30000051=400=401,2000000,6,520,0=27=12,,40400100=5,9,403003301,30000051=50,,
4030035,邪恶向日葵卡片,MonsterCard/UI_MonsterCard_xieexiangrikui.jpg,2,0=216=500|0=214=500,3,,1,30000050=200=201,200000,6,100,0=183=100,,40400110=5,9,403003501,30000050=50,,
4030036,古钟魔卡片,MonsterCard/UI_MonsterCard_guzhongmo.jpg,3,1=510029858=0,3,,1,30000051=400=401,2000000,6,550,0=185=200,,40400120=5,9,403003601,30000051=50,,
4030037,卡仑卡片,MonsterCard/UI_MonsterCard_kalun.jpg,4,0=48=500|1=510030262=0,3,,1,,,6,640,0=175=300,,40400130=5,9,403003701,,,
4040001,蓝疯兔卡片,MonsterCard/UI_MonsterCard_Lanfengtu.jpg,1,0=22=2|1=510021374=0,4,,1,30000050=400=401,400000,2,220,0=57=2,,40400140=5,,404000101,30000050=50,,
4040002,猎蝇卡片,MonsterCard/UI_MonsterCard_Lieying.jpg,2,0=182=1500,4,,1,30000050=200=201,200000,4,100,0=57=2,,40400150=5,,404000201,30000050=50,,
4040003,恶魔波利卡片,MonsterCard/UI_MonsterCard_Emoboli.jpg,3,0=186=3000|1=510017233=0,4,,1,,,3,440,0=186=300,,40400160=5,,404000301,,,
4040004,巨大白幽灵卡片,MonsterCard/UI_MonsterCard_Judabaiyouling.jpg,2,0=53=5|1=510014405=0,4,,0,,,,,,,40400170=5,,404000401,30000050=50,,
4040005,秃鹰卡片,MonsterCard/UI_MonsterCard_Tuying.jpg,1,0=53=5,4,,1,30000050=30=31,30000,1,130,0=36=2,,40400180=5,,404000501,30000050=10,,
4040006,巧克猴卡片,MonsterCard/UI_MonsterCard_Qiaokehou.jpg,1,0=53=5|0=48=300|1=510021576=0,4,,1,30000050=400=401,400000,3,260,0=191=100,,40400190=5,,404000601,30000050=50,,
4040007,白幽灵卡片,MonsterCard/UI_MonsterCard_Baiyouling.jpg,1,0=53=10|1=510019758=0,4,,1,30000050=200=201,200000,3,160,0=184=100,,40400200=5,,404000701,30000050=50,,
4040008,小巴风特卡片,MonsterCard/UI_MonsterCard_Xiaobafengte.jpg,2,0=55=1|0=18=3,4,,1,30000050=400=401,400000,5,200,0=27=5,,40400210=5,,404000801,30000050=50,,
4040009,龙蝇卡片,MonsterCard/UI_MonsterCard_Longying.jpg,1,0=18=2|0=48=300|1=510021677=0,4,,1,30000051=400=401,2000000,2,260,0=189=200,,40400220=5,,404000901,30000051=50,,
4040010,流浪之狼卡片,MonsterCard/UI_MonsterCard_Liulangzhilang.jpg,3,0=14=3|1=510025919=0,4,,1,30000051=400=401,2000000,3,410,0=36=12,,40400230=5,,404001001,30000051=50,,
4040011,蚯蚓卡片,MonsterCard/UI_MonsterCard_Qiuyin.jpg,2,0=183=1500,4,,1,30000050=200=201,200000,4,110,0=186=100,,40400240=5,,404001101,30000050=50,,
4040012,乌贼卡片,MonsterCard/UI_MonsterCard_Wuzei.jpg,2,0=185=1500,4,,1,30000050=200=201,200000,3,230,0=27=5,,40500010=5,,404001201,30000050=50,,
4040013,蛇女伊丝卡片,MonsterCard/UI_MonsterCard_Shenvyisi.jpg,2,0=188=1500,4,,1,30000050=200=201,200000,4,90,0=36=5,,40500020=5,,404001301,30000050=50,,
4040014,波利之王卡片,MonsterCard/UI_MonsterCard_Bolizhiwang.jpg,1,0=24=5|0=57=15,4,,1,30000051=400=401,2000000,2,270,0=27=12,,40500030=5,,404001401,30000051=50,,
4040015,蝗虫之王卡片,MonsterCard/UI_MonsterCard_Huangchongzhiwang.jpg,1,0=68=500|1=510022081=0,4,,1,30000051=400=401,2000000,1,170,0=36=12,,40500040=5,,404001501,30000051=50,,
4040016,蛙王卡片,MonsterCard/UI_MonsterCard_Wawang.jpg,1,0=53=5|0=20=3|1=510022182=0,4,,1,30000051=400=401,2000000,2,240,0=36=12,,40500050=5,,404001601,30000051=50,,
4040017,兽人婴儿卡片,MonsterCard/UI_MonsterCard_Shourenyinger.jpg,2,0=53=5|0=186=1500,4,,1,30000051=200=201,1000000,3,330,0=27=12,,40500060=5,,404001701,30000051=50,,
4040018,兽人腐尸卡片,MonsterCard/UI_MonsterCard_Shourenfushi.jpg,2,0=190=1500,4,,1,30000050=200=201,200000,4,220,0=36=5,,40500070=5,,404001801,30000050=50,,
4040019,麦斯特卡片,MonsterCard/UI_MonsterCard_Maisite.jpg,2,0=191=1500,4,,1,30000050=200=201,200000,4,120,0=191=100,,40500080=5,,404001901,30000050=50,,
4040020,南瓜先生卡片,MonsterCard/UI_MonsterCard_Nanguaxiansheng.jpg,2,0=184=1500,4,,1,30000050=200=201,200000,4,250,0=184=100,,40500090=5,,404002001,30000050=50,,
4040021,九尾狐卡片,MonsterCard/UI_MonsterCard_Jiuweihu.jpg,1,0=18=3|0=53=10,4,,1,30000051=200=201,1000000,4,360,0=47=150,,40500100=5,,404002101,30000051=50,,
4040022,傀儡娃娃卡片,MonsterCard/UI_MonsterCard_Kuileiwawa.jpg,2,0=189=1500,4,,1,30000050=200=201,200000,5,100,0=189=100,,40500110=5,,404002201,30000050=50,,
4040023,伞蜥卡片,MonsterCard/UI_MonsterCard_Sanxi.jpg,2,0=16=3|0=84=-300,4,,1,30000050=200=201,200000,4,170,0=27=5,,40500120=5,,404002301,30000050=50,,
4040024,幽灵剑士卡片,MonsterCard/UI_MonsterCard_Youlingjianshi.jpg,3,0=186=2000,4,,1,30000051=400=401,2000000,6,450,0=27=12,,40500130=5,,404002401,30000051=50,,
4040025,朽魔卡片,MonsterCard/UI_MonsterCard_xiumo.jpg,2,1=510029151=0,4,,1,30000050=400=401,400000,6,270,0=57=2,,40500140=5,9,404002501,30000050=50,,
4040026,长者魔导士卡片,MonsterCard/UI_MonsterCard_xielingzhanglao.jpg,3,0=186=1500|1=510029959=0,4,,1,30000051=400=401,2000000,6,580,0=36=12,,40500150=5,9,404002601,30000051=50,,
4050001,苍蝇卡片,MonsterCard/UI_MonsterCard_Cangying.jpg,1,0=18=1|0=53=2,5,,1,30000050=30=31,30000,1,120,0=27=2,,40600010=5,,405000101,30000050=10,,
4050002,木乃伊犬卡片,MonsterCard/UI_MonsterCard_Munaiyiquan.jpg,2,0=48=300|0=50=400,5,,1,30000050=100=101,100000,3,140,0=55=2,,40600020=5,,405000201,30000050=50,,
4050003,人鱼士兵卡片,MonsterCard/UI_MonsterCard_Renyushibing.jpg,1,0=78=500|0=48=200|0=76=500,5,,1,30000050=30=31,30000,4,40,0=47=20,,40600030=5,,405000301,30000050=10,,
4050004,黑狐卡片,MonsterCard/UI_MonsterCard_Heihu.jpg,1,0=48=300|0=18=1,5,,1,30000050=200=201,200000,3,250,0=27=5,,40600040=5,,405000401,30000050=50,,
4050005,腐尸卡片,MonsterCard/UI_MonsterCard_Fushi.jpg,1,0=76=1000|0=47=200,5,,1,30000050=20=21,20000,2,40,0=36=2,,40600050=5,,405000501,30000050=10,,
4050006,玛勒盗虫卡片,MonsterCard/UI_MonsterCard_Maledaochong.jpg,1,0=18=2,5,,1,30000050=20=21,20000,2,60,0=36=2,,40600060=5,,405000601,30000050=10,,
4050007,转转蛋卡片,MonsterCard/UI_MonsterCard_Zhuanzhuandan.jpg,1,0=78=800|0=48=200,5,,1,30000050=30=31,30000,3,40,0=36=2,,40600070=5,,405000701,30000050=10,,
4050008,鬼女卡片,MonsterCard/UI_MonsterCard_Guinv.jpg,2,0=78=800|0=48=400,5,,1,30000050=200=201,200000,4,200,0=47=50,,40600080=5,,405000801,30000050=50,,
4050009,虎王卡片,MonsterCard/UI_MonsterCard_Huwang.jpg,4,0=48=-500|1=510019152=0,5,,1,,,4,490,0=28=300,,40600090=5,,405000901,,,
4050010,狂暴月夜猫卡片,MonsterCard/UI_MonsterCard_Kuangbaoyueyemao.jpg,3,0=41=3|0=48=400|1=510019253=0,5,,1,30000051=400=401,2000000,4,450,0=48=100,,40600100=5,,405001001,30000051=50,,
4050011,月夜猫卡片,MonsterCard/UI_MonsterCard_Yueyemao.jpg,4,0=74=2000|0=48=500,5,,1,,,4,530,0=74=200,,40600110=5,,405001101,,,
4050012,狂暴野猫卡片,MonsterCard/UI_MonsterCard_Kuangbaoyemao.jpg,2,0=18=2|0=53=5,5,,1,30000050=200=201,200000,5,50,0=27=5,,40600120=5,,405001201,30000050=50,,
4050013,地狱梦魇卡片,MonsterCard/UI_MonsterCard_Diyumengyan.jpg,2,0=18=2|0=48=400|1=510025010=0,5,,1,30000051=400=401,2000000,5,290,0=27=12,,40600130=5,,405001301,30000051=50,,
4050014,黑暗之王卡片,MonsterCard/UI_MonsterCard_Heianzhiwang.jpg,4,1=510027232=0|0=48=500,5,,1,,,6,630,0=37=300,,40600140=5,,405001401,,,
4050015,腐尸战俘卡片,MonsterCard/UI_MonsterCard_Fushizhanfu.jpg,2,0=48=300|0=216=500,5,,1,30000050=200=201,200000,6,40,0=27=5,,40600150=5,,405001501,30000050=50,,
4050016,绿饼人卡片,MonsterCard/UI_MonsterCard_lvbingren.jpg,2,0=48=300|0=219=500,5,,1,30000050=200=201,200000,6,70,0=36=5,,40600160=5,9,405001601,30000050=50,,
4050017,钟怪卡片,MonsterCard/UI_MonsterCard_zhongguai.jpg,3,0=48=400|0=22=2|1=510029252=0,5,,1,30000051=400=401,2000000,6,500,0=36=12,,40600170=5,9,405001701,30000051=50,,
4050018,时间守护者卡片,MonsterCard/UI_MonsterCard_timeshouhuzhe.jpg,2,0=48=300|1=510029555=0,5,,1,30000050=400=401,400000,6,330,0=47=50,,40600180=5,9,405001801,30000050=50,,
4050019,受到诅咒的箱子卡片,MonsterCard/UI_MonsterCard_shoudaozuzhou.jpg,2,0=48=400|0=91=400,5,,1,30000050=400=401,400000,6,310,0=91=100,,40600190=5,9,405001901,30000050=50,,
4060001,克瑞米卡片,MonsterCard/UI_MonsterCard_Keruimi.jpg,1,4=10007=1,6,,1,30000050=100=101,100000,2,150,0=47=50,,40600200=5,,406000101,30000050=50,,
4060002,溜溜猴卡片,MonsterCard/UI_MonsterCard_Liuliuhou.jpg,1,0=53=2|0=18=1,6,,1,30000050=20=21,20000,2,50,0=47=20,,40600210=5,,406000201,30000050=10,,
4060003,白鼠卡片,MonsterCard/UI_MonsterCard_Baishu.jpg,1,0=27=5|0=36=5,6,,1,30000050=30=31,30000,2,80,0=47=20,,40600220=5,,406000301,30000050=10,,
4060004,魔菇卡片,MonsterCard/UI_MonsterCard_Mogu.jpg,1,0=22=2,6,,1,30000050=20=21,20000,1,90,0=27=2,,40600230=5,,406000401,30000050=10,,
4060005,冰波利卡片,MonsterCard/UI_MonsterCard_Bingboli.jpg,2,0=175=300,6,,1,30000050=400=401,400000,6,180,0=27=5,,40600240=5,,406000501,30000050=50,,
4060006,波波利卡片,MonsterCard/UI_MonsterCard_Boboli.jpg,1,4=10002=1,6,,1,30000050=30=31,30000,2,110,0=27=2,,40600250=5,,406000601,30000050=10,,
4060007,森灵卡片,MonsterCard/UI_MonsterCard_Senling.jpg,1,0=20=2,6,,1,30000050=20=21,20000,1,70,0=36=2,,40600260=5,,406000701,30000050=10,,
4060008,邪骸海盗卡片,MonsterCard/UI_MonsterCard_Xiehaihaidao.jpg,1,0=27=5|0=55=2,6,,1,30000050=200=201,200000,3,150,0=36=5,,40600270=5,,406000801,30000050=50,,
4060009,气泡虫卡片,MonsterCard/UI_MonsterCard_Qipaochong.jpg,2,4=10008=3,6,,1,30000050=200=201,200000,3,180,0=36=5,,40600280=5,,406000901,30000050=50,,
4060010,人鱼卡片,MonsterCard/UI_MonsterCard_Renyu.jpg,2,4=10005=1,6,,1,30000050=100=101,100000,3,130,0=91=100,,40600290=5,,406001001,30000050=50,,
4060011,狸猫卡片,MonsterCard/UI_MonsterCard_Limao.jpg,1,4=10009=1,6,,1,30000050=200=201,200000,2,190,0=27=5,,40600300=5,,406001101,30000050=50,,
4060012,毒魔菇卡片,MonsterCard/UI_MonsterCard_Dumogu.jpg,1,4=10004=3,6,,1,30000050=30=31,30000,2,140,0=27=2,,40600310=5,,406001201,30000050=10,,
4060013,摩卡卡片,MonsterCard/UI_MonsterCard_Moka.jpg,1,0=76=500|0=22=3,6,,1,30000050=30=31,30000,3,20,0=36=2,,40600320=5,,406001301,30000050=10,,
4060014,黑蚁卡片,MonsterCard/UI_MonsterCard_Heiyi.jpg,2,4=10006=1,6,,1,30000050=100=101,100000,2,180,0=27=5,,40600330=5,,406001401,30000050=50,,
4060015,螳螂卡片,MonsterCard/UI_MonsterCard_Tanglang.jpg,1,0=14=2|0=28=100,6,,1,30000050=200=201,200000,4,240,0=36=5,,40600340=5,,406001501,30000050=50,,
4060016,剑鱼卡片,MonsterCard/UI_MonsterCard_Jianyu.jpg,3,0=84=2500|1=510016425=0,6,,1,30000051=200=201,1000000,4,340,0=27=12,,40700010=5,,406001601,30000051=50,,
4060017,邪恶箱卡片,MonsterCard/UI_MonsterCard_Xieexiang.jpg,1,0=36=10|0=84=-200,6,,1,30000050=200=201,200000,4,160,0=27=5,,40700020=5,,406001701,30000050=50,,
4060018,杰洛米卡片,MonsterCard/UI_MonsterCard_Jieluomi.jpg,1,0=20=3|0=55=2,6,,1,30000050=200=201,200000,4,180,0=27=5,,40700030=5,,406001801,30000050=50,,
4060019,俄塞里斯卡片,MonsterCard/UI_MonsterCard_Esailisi.jpg,3,1=510024606=0,6,,1,,,4,510,0=66=300,,40700040=5,,406001901,,,
4060020,妖道卡片,MonsterCard/UI_MonsterCard_Yaodao.jpg,2,1=510019354=0,6,,1,30000050=200=201,200000,4,140,0=183=100,,40700050=5,,406002001,30000050=50,,
4060021,将军魔碑卡片,MonsterCard/UI_MonsterCard_Jiangjunmobei.jpg,1,0=27=10|0=36=10,6,,1,30000050=200=201,200000,4,150,0=90=100,,40700060=5,,406002101,30000050=50,,
4060022,鬼火卡片,MonsterCard/UI_MonsterCard_Guihuo.jpg,2,4=10003=1,6,,1,30000050=100=101,100000,4,60,0=36=5,,40700070=5,,406002201,30000050=50,,
4060023,兽人弓箭手卡片,MonsterCard/UI_MonsterCard_Shourengongjianshou.jpg,2,1=510025313=0,6,,1,30000050=200=201,200000,4,260,0=36=5,,40700080=5,,406002301,30000050=50,,
4060024,灰森灵卡片,MonsterCard/UI_MonsterCard_Huisenling.jpg,2,1=510023798=0,6,,1,30000050=200=201,200000,4,270,0=36=5,,40700090=5,,406002401,30000050=50,,
4060025,犬妖卡片,MonsterCard/UI_MonsterCard_Quanyao.jpg,3,0=55=4|0=14=2,6,,1,30000050=200=201,200000,5,60,0=36=5,,40700100=5,,406002501,30000050=50,,
4060026,恶灵卡片,MonsterCard/UI_MonsterCard_Eling.jpg,2,0=36=5|0=66=100,6,,1,30000050=200=201,200000,5,70,0=36=5,,40700110=5,,406002601,30000050=50,,
4060027,风魔巫师卡片,MonsterCard/UI_MonsterCard_Fengmowushi.jpg,3,1=510023192=0,6,,1,30000050=200=201,200000,5,80,0=67=100,,40700120=5,,406002701,30000050=50,,
4060028,恶魔之眼卡片,MonsterCard/UI_MonsterCard_Fengmowushi.jpg,3,,6,,0,,,,,,,40700130=5,,406002801,30000050=50,,
4060029,愤怒波波利卡片,MonsterCard/UI_MonsterCard_fennuboboli.jpg,2,4=10016=1,6,,1,30000050=400=401,400000,5,160,0=47=50,,40700140=5,,406002901,30000050=50,,
4060030,迅捷螳螂卡片,MonsterCard/UI_MonsterCard_xunjietanglang.jpg,2,0=18=1|0=65=100,6,,1,30000050=200=201,200000,5,130,0=27=5,,40700150=5,,406003001,30000050=50,,
4060031,鹗枭首领卡片,MonsterCard/UI_MonsterCard_Exiaoshouling.jpg,3,1=510028444=0,6,,1,30000051=400=401,2000000,6,430,0=48=100,,3020022=10|101=10000,,406003101,30000051=50,,
4060032,邪恶使者卡片,MonsterCard/UI_MonsterCard_Xieeshizhe.jpg,2,1=510027939=0,6,,1,30000050=200=201,200000,6,30,0=36=5,,40700180=5,,406003201,30000050=50,,
4060033,蝙蝠弓箭手卡片,MonsterCard/UI_MonsterCard_Bianfugongjianshou.jpg,2,4=10022=1,6,,1,30000050=200=201,200000,6,50,0=36=5,,40700190=5,,406003301,30000050=50,,
4060034,幽灵弓箭手卡片,MonsterCard/UI_MonsterCard_Youlinggongjianshou.jpg,2,0=198=400,6,,1,30000050=200=201,200000,6,10,0=36=5,,40700200=5,,406003401,30000050=50,,
4060036,甜饼人卡片,MonsterCard/UI_MonsterCard_tianbing.jpg,2,0=177=300,6,,1,30000050=200=201,200000,6,260,0=177=100,,,9,406003601,30000050=50,,
4060037,冰波利卡片,MonsterCard/UI_MonsterCard_Bingboli.jpg,2,0=175=300,6,,0,30000050=400=401,400000,6,180,,,,9,406003701,30000050=50,,
4060038,裘卡卡片,MonsterCard/UI_MonsterCard_qiuka.jpg,2,0=173=300,6,,1,30000050=400=401,400000,6,300,0=173=100,,,9,406003801,30000050=50,,
4070001,树精卡片,MonsterCard/UI_MonsterCard_Shujing.jpg,1,0=47=100,7,,1,30000050=20=21,20000,1,50,0=36=2,,,,407000101,30000050=10,,
4070002,小恶魔卡片,MonsterCard/UI_MonsterCard_Xiaoemo.jpg,3,0=14=5|1=510014203=0,7,,1,30000051=200=201,1000000,5,250,0=27=12,,,,407000201,30000051=50,,
4070003,土拨鼠卡片,MonsterCard/UI_MonsterCard_Tuboshu.jpg,1,0=47=150|0=261=2000,7,,1,30000050=30=31,30000,3,50,0=27=2,,,,407000301,30000050=10,,
4070004,松鼠卡片,MonsterCard/UI_MonsterCard_Songshu.jpg,2,0=47=150|0=265=2000,7,,1,30000050=30=31,30000,3,10,0=36=2,,,,407000401,30000050=10,,
4070005,基尔瑟卡片,MonsterCard/UI_MonsterCard_Jierse.jpg,2,0=183=1000|1=510015415=0,7,,1,30000051=200=201,1000000,3,320,0=183=200,,,,407000501,30000051=50,,
4070006,狂暴蚁后卡片,MonsterCard/UI_MonsterCard_Kuangbaoyihou.jpg,3,0=22=8|1=510015516=0,7,,1,30000051=400=401,2000000,5,280,0=48=100,,,,407000601,30000051=50,,
4070007,蜂后卡片,MonsterCard/UI_MonsterCard_Fenghou.jpg,4,0=66=800|1=510022586=0,7,,1,,,4,500,0=37=300,,,,407000701,,,
4070008,马尔杜克卡片,MonsterCard/UI_MonsterCard_Maerduke.jpg,3,0=16=3|1=510016930=0,7,,1,30000051=200=201,1000000,4,410,0=36=12,,,,407000801,30000051=50,,
4070009,法老王卡片,MonsterCard/UI_MonsterCard_Falaowang.jpg,4,0=88=-3000|0=66=800,7,,1,,,5,340,0=66=300,,,,407000901,,,
4070010,绿腐尸卡片,MonsterCard/UI_MonsterCard_Lvfushi.jpg,1,0=191=1000,7,,1,30000050=100=101,100000,4,80,0=191=100,,,,407001001,30000050=50,,
4070011,长老树精卡片,MonsterCard/UI_MonsterCard_Zhanglaoshujing.jpg,1,0=16=3,7,,1,30000050=100=101,100000,3,120,0=36=5,,,,407001101,30000050=50,,
4070012,兽人英雄卡片,MonsterCard/UI_MonsterCard_Shourenyingxiong.jpg,4,0=22=8|1=510019556=0,7,,1,,,3,450,0=65=300,,,,407001201,,,
4070013,梦魇卡片,MonsterCard/UI_MonsterCard_Mengyan.jpg,3,0=18=3|1=510019657=0,7,,1,30000051=200=201,1000000,4,420,0=27=12,,,,407001301,30000051=50,,
4070014,蓝鼠卡片,MonsterCard/UI_MonsterCard_Lanshu.jpg,3,0=27=15|0=36=15,7,,1,30000050=100=101,100000,5,10,0=47=50,,,,407001401,30000050=50,,
4070015,狂暴大脚熊卡片,MonsterCard/UI_MonsterCard_kuangbaodajiaoxiong.jpg,2,0=22=2|0=184=1000,7,,1,30000050=200=201,200000,5,20,0=184=100,,,,407001501,30000050=50,,
4070017,钢鬃巨熊卡片,MonsterCard/UI_MonsterCard_gangzongjuxiong.jpg,3,0=22=5|1=510026121=0,7,,1,30000051=400=401,2000000,2,280,0=48=100,,,,407001701,30000051=50,,
4070018,迷幻之王卡片,MonsterCard/UI_MonsterCard_Mihuanzhiwang.jpg,3,0=84=-1000|0=82=-1000|0=48=-500,7,,1,30000051=400=401,2000000,6,480,0=36=12,,,,407001801,30000051=50,,
4070019,飞行魔书卡片,MonsterCard/UI_MonsterCard_Feixingmoshu.jpg,2,0=16=1|0=90=200,7,,1,30000050=200=201,200000,5,150,0=90=100,,,,407001901,30000050=50,,
4070020,卡拉特小丑卡片,MonsterCard/UI_MonsterCard_Kalatexiaochou.jpg,2,0=16=2|0=49=200,7,,1,30000050=100=101,100000,5,40,0=36=5,,,,407002001,30000050=50,,
4070021,邪恶礼盒卡片,MonsterCard/UI_MonsterCard_xieelihe.jpg,2,0=16=2|1=510028747=0,7,,1,30000050=200=201,200000,4,160,0=36=5,,,9,407002101,30000050=50,,
4070022,钟塔守护者卡片,MonsterCard/UI_MonsterCard_zhongtashouhu.jpg,3,0=16=5|0=102=-300,7,,1,30000051=200=201,1000000,6,380,0=36=12,,,9,407002201,30000051=50,,
4070023,狂暴蜂兵卡片,MonsterCard/UI_MonsterCard_kuangbaofengbing.jpg,2,0=182=1000|0=22=2,7,,1,30000050=200=201,200000,6,120,0=182=100,,,9,407002301,30000050=50,,
4070024,时间观察者卡片,MonsterCard/UI_MonsterCard_timeguanchazhe.jpg,3,0=37=200|1=510030161=0,7,,1,30000051=400=401,2000000,6,530,0=36=12,,,9,407002401,30000051=50,,
4010082,卡拉蟹卡片,MonsterCard/UI_MonsterCard_KaLaXie.jpg,2,0=90=500,1,,1,30000050=400=401,400000,6,240,0=90=100,,,9,401008201,30000050=50,,
4010083,贝壳魔灵卡片,MonsterCard/UI_MonsterCard_BeiKeMoLing.jpg,3,0=37=1000|0=16=5,1,,1,30000051=200=201,1000000,6,400,0=37=100,,,9,401008301,30000051=50,,
4010084,海星卡片,MonsterCard/UI_MonsterCard_HaiXing.jpg,2,0=193=1000,1,,1,30000050=200=201,200000,6,130,0=193=100,,,9,401008401,30000050=50,,
4010085,流氓卡片,MonsterCard/UI_MonsterCard_LiuMangTouTou.jpg,2,0=59=700|1=510031070=0,1,,1,30000050=400=401,400000,6,320,0=59=100,,,9,401008501,30000050=50,,
4010086,奈利虫卡片,MonsterCard/UI_MonsterCard_NaiLiChong.jpg,3,0=65=1200,1,,1,30000051=400=401,2000000,6,490,0=65=100,,,9,401008601,30000051=50,,
4010087,流氓头目卡片,MonsterCard/UI_MonsterCard_LiuMang.jpg,3,0=59=1500|1=510030767=0,1,,1,30000051=400=401,2000000,6,560,0=59=100,,,9,401008701,30000051=50,,
4010088,半龙人卡片,MonsterCard/UI_MonsterCard_BanLongRen.jpg,4,0=174=1500|1=510030868=0,1,,1,,,7,130,0=174=300,,,9,401008801,,,
4020024,米杜沙卡片,MonsterCard/UI_MonsterCard_MiDuSha.jpg,2,0=48=500|0=214=1000,2,,1,30000050=400=401,400000,6,290,0=47=50,,,9,402002401,30000050=50,,
4030038,钟乳巨石怪卡片,MonsterCard/UI_MonsterCard_ZhongRuJuShi.jpg,2,0=264=2000|0=48=400,3,,1,30000050=200=201,200000,6,140,0=47=50,,,9,403003801,30000050=50,,
4030039,塔奥群卡卡片,MonsterCard/UI_MonsterCard_TaAoQunKa.jpg,4,0=48=10000|0=33=-4000|0=42=-4000,3,,1,,,6,670,0=48=300,,,9,403003901,,,
4030040,米杜沙女王卡片,MonsterCard/UI_MonsterCard_MiDuShaNvWang.jpg,3,0=214=1000|0=48=300|1=510031474=0,3,,1,30000051=400=401,2000000,6,590,0=214=200,,,9,403004001,30000051=50,,
4050020,奈吉鸟卡片,MonsterCard/UI_MonsterCard_NaiJiNiao.jpg,2,0=18=2|0=57=5,5,,1,30000050=200=201,200000,6,160,0=27=5,,,9,405002001,30000050=50,,
4050021,邪恶摩艾卡片,MonsterCard/UI_MonsterCard_XieEMoAi.jpg,2,0=68=400,5,,1,30000050=400=401,400000,6,340,0=36=5,,,9,405002101,30000050=50,,
4040027,鳄鱼人卡片,MonsterCard/UI_MonsterCard_EYuRen.jpg,2,0=256=700,4,,1,30000050=400=401,400000,6,360,0=256=100,,,9,404002701,30000050=50,,
4060040,绿变色龙卡片,MonsterCard/UI_MonsterCard_LvBianSeLong.jpg,2,0=176=300,6,,1,30000050=400=401,400000,6,350,0=176=100,,,9,406004001,30000050=50,,
4070025,愤怒钟乳巨石怪卡片,MonsterCard/UI_MonsterCard_FenNuJuShi.jpg,3,0=22=8|0=67=500,7,,1,30000051=400=401,2000000,6,570,0=27=12,,,9,407002501,30000051=50,,
5010063,封印的半龙人卡片,MonsterCard/UI_MonsterCard_BanLongRen.jpg,4,0=174=1500|1=510030969=0,1,,0,,,,,,,,9,501006301,,,
5030009,封印的塔奥群卡卡片,MonsterCard/UI_MonsterCard_TaAoQunKa.jpg,4,0=48=10000|0=33=-6000|0=42=-6000,3,,0,,,,,,,,9,503000901,,,
4010089,矿工魔卡片,MonsterCard/UI_MonsterCard_KuangGongMo_zn.jpg,3,0=66=800|1=510031777=0,1,,1,30000051=200=201,1000000,7,60,0=36=12,,,9,401008901,30000051=50,,
4010090,金属波利卡片,MonsterCard/UI_MonsterCard_JinShuBoLi_zn.jpg,3,0=28=800|1=510031878=0,1,,1,30000051=200=201,1000000,7,70,0=27=12,,,9,401009001,30000051=50,,
4010091,沙漠毒蝎卡片,MonsterCard/UI_MonsterCard_ShaMoDuXie_zn.jpg,3,0=28=800|1=510032181=0,1,,1,30000051=200=201,1000000,7,80,0=65=100,,,9,401009101,30000051=50,,
4010092,卡浩卡片,MonsterCard/UI_MonsterCard_KaHao_zn.jpg,3,1=510032282=0,1,,1,30000051=400=401,2000000,7,110,0=33=100,,,9,401009201,30000051=50,,
4010093,阿特罗斯卡片,MonsterCard/UI_MonsterCard_ATeLuoSi_zn.jpg,4,0=71=1000|1=510032383=0,1,,1,,,7,140,0=28=300,,,9,401009301,,,
4030041,魔羌卡片,MonsterCard/UI_MonsterCard_MoQiang_zn.jpg,2,0=48=400|1=510031676=0,3,,1,30000050=200=201,200000,7,10,0=67=100,,,9,403004101,30000050=50,,
4030042,七彩飞龙卡片,MonsterCard/UI_MonsterCard_QiCaiFeiLong_zn.jpg,2,0=48=400|0=184=1000,3,,1,30000050=200=201,200000,7,20,0=184=100,,,9,403004201,30000050=50,,
4040028,鸟人哈比卡片,MonsterCard/UI_MonsterCard_NiaoRenHaBi_zn.jpg,2,0=186=800|0=57=10,4,,1,30000050=400=401,400000,7,30,0=186=100,,,9,404002801,30000050=50,,
4040029,六翼哈比卡片,MonsterCard/UI_MonsterCard_LiuYiHaBi_zn.jpg,3,0=186=1500|1=510032484=0,4,,1,30000051=400=401,2000000,7,120,0=33=100,,,9,404002901,30000051=50,,
