BeginDay,DungeonLevel,DungeonPara_Normal,DungeonPara_Hard,DungeonPara_Single,WeaponLv,ArmourLv,CloakLv,ShoesLv,OrnamentLv,OffHandLv
开服天数[int],副本等级节点[int],副本难度系数_普通[float],副本难度系数_挑战[float],副本难度系数_单人[float],武器装备等级=武器精炼等级,盔甲装备等级=盔甲精炼等级,披风装备等级=披风精炼等级,鞋子装备等级=鞋子精炼等级,饰品装备等级=饰品精炼等级,副手装备等级=副手精炼等级
165,90,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
166,90,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
167,90,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
168,91,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
169,91,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
170,91,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
171,91,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
172,91,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
173,91,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
174,91,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
175,92,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
176,92,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
177,92,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
178,92,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
179,92,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
180,92,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
181,92,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
182,93,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
183,93,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
184,93,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
185,93,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
186,93,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
187,93,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
188,93,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
189,94,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
190,94,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
191,94,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
192,94,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
193,94,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
194,94,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
195,94,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
196,95,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
197,95,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
198,95,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
199,95,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
200,95,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
201,95,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
202,95,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
203,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
204,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
205,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
206,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
207,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
208,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
209,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
210,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
211,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
212,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
213,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
214,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
215,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
216,96,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
217,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
218,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
219,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
220,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
221,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
222,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
223,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
224,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
225,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
226,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
227,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
228,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
229,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
230,97,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
231,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
232,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
233,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
234,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
235,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
236,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
237,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
238,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
239,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
240,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
241,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
242,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
243,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
244,98,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
245,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
246,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
247,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
248,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
249,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
250,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
251,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
252,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
253,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
254,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
255,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
256,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
257,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
258,99,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
259,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
260,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
261,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
262,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
263,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
264,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
265,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
266,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
267,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
268,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
269,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
270,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
271,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
272,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
273,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
274,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
275,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
276,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
277,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
278,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
279,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
280,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
281,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
282,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
283,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
284,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
285,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
286,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
287,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
288,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
289,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
290,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
291,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
292,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
293,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
294,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
295,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
296,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
297,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
298,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
299,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
300,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
301,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
302,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
303,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
304,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
305,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
306,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
307,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
308,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
309,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
310,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
311,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
312,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
313,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
314,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
315,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
316,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
317,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
318,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
319,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
320,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
321,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
322,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
323,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
324,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
325,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
326,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
327,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
328,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
329,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
330,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
331,100,1,1,1,100=12|100=15|100=12,100=10|100=12|100=10,100=10|100=12|100=10,100=10|100=12|100=10,100=12|100=15|100=12,100=10|100=12|100=10
