ID,Name,ActionName,SearchMode,MaxTime,SpecialEffect,EffectParent,AudioPath
106010,约翰施法,NPC_M_YueHan_Attack_Loop,0,-1,,,
106011,约翰死亡,NPC_M_YueHan_Death_Loop,0,-1,,,
106012,小孩打滚,NPC_M_ShanSi_DaGun,0,-1,2690542,0,
106013,采集,CaiJi,,3,,,
106014,人鱼出场,ChuSheng,,-1,,,
106015,人鱼表演,Show,,-1,,,
106016,人鱼攻击,Attack,,-1,,,
106017,人鱼吟唱,Singing,,-1,,,
106018,坐地上,Alchemist_F_Zuo,0,-1,,,
106019,法师吟唱,Magician_F_Skill_Singing_02_Stick,0,-1,,,
106020,奈利虫攻击,Monster_NaiLiChong_Attack,0,-1,,,
106021,弓箭手射击,Archer_F_Skill_Attack_01_Bow,0,-1,,,
106022,舞娘跳舞,Dancer_F_Skill_HeZou01,0,-1,,,
106023,哭泣,NPC_F_LaiENaTe_KuQi,0,-1,,,
106024,舞娘心痛,NPC_F_LaiENaTe_XinTongDaoDi,0,-1,,,
106025,舞娘心痛倒地,NPC_F_LaiENaTe_DaoDiXunHuan,0,-1,,,
106026,坐着弹琴,NPC_M_FeiTeLiXi_ZuoDiTanQin,0,-1,,,
106027,自杀,NPC_F_YiShiKe_ZiSha,0,-1,,,
106028,自杀倒地,NPC_F_YiShiKe_ZiShaDaoDiXunHuan,0,-1,,,
106029,张开双臂,NPC_F_YiShiKe_ZhangKaiShuangBiBaoHu,0,-1,,,
106030,女泼水,Common_F_PoShuiDaNao,0,-1,,,
106031,男泼水,Common_M_PoShuiDaNao,0,-1,,,
106032,草莓时装待机,Fashion_F_CaoMei_Idle,0,-1,,,
106033,狗叫,Monster_ChaiQuan_1_Show,0,-1,,,
106034,乌鸦飞走,Monster_WuYa_Fly,0,3,,,
106035,林赛攻击,NPC_M_LinSai_Attack_01,0,-1,,,
106040,朱诺士兵说话,NPC_M_ZhuNuoShiBing_Talk_01,0,-1,,,
106041,女武神蓄力,Pet_AnTaXia_Run,0,99999,,,
106042,女武神爆发,Pet_AnTaXia_Release_01,0,99999,,,
106050,时空恶魔眩晕,Monster_ShiKongErMo_Stun,0,-1,,,
108000,探查梦魇层,CaiJi,,3,2692102,,
108001,查看,ChaKan,,3,,,
108002,查看,ChaKan,,3,,,
108003,男思考,SiKao,,3,,,
108004,男思考,SiKao,,3,,,
108005,探查密室大门,CaiJi,,3,,,
108006,打开密室大门,CaiJi,,3,2692103,,
108007,打开墓穴,PaoSa,,3,,,
108008,制作药剂,PeiZhiYaoJi,1,-1,2692107,2,
108009,希恩凡特说话,NPC_F_KeLiSiDiNa_Idle_Talk_01,0,-1,,,
108010,打开神秘遗迹,CaiJi,1,3,2692108,,
108011,宝妮说话动作,NPC_F_BaoNi_Talk,0,-1,,,
108012,打开笔记本,Common_M_ZhanBuShi,0,3,2692109,1,
108013,电视机静止,NPC_M_DianShiJi_Idle,0,-1,,,
108014,电视机活蹦乱跳,NPC_M_DianShiJi_Idle_Show_01,0,5,,,
108015,制作饼干,Common_M_PeiZhiYaoJi,0,3,120045,2,
107000,圣诞老人跪地,NPC_M_ShengDanLaoRen_ShuFuGuiDi,0,3,,,
107001,女武神腾空,NPC_F_WaErJiLiShiHua_ZhanChiErQi,0,3,,,
107002,p-3012被捕1,Common_M_BeiZhuaBu,0,-1,,,
107003,p-3012被捕2,Common_M_PaDiZhengZha,0,-1,,,
107004,迷幻之王出场,Monster_MiHuanZhiWang_ChuChang,0,-1,,,
107005,迷幻之王怒吼,Monster_MiHuanZhiWang_NuHou,0,-1,,,
109001,火山牛头犬打架,Pet_HuoShanNiuTouQuan_Release_01,0,-1,,,
109002,沙丘獭打架,Pet_ShuiLan_Release_01,0,-1,,,
109003,狐球show,Pet_Huqiu_Show_01,0,-1,,,
109004,沙漠獭獭唱歌,Pet_ShuiLan_Singing_01,0,-1,,,
109005,沙漠獭獭吹笛,Pet_ShuiLan_Release_01,0,-1,,,
109006,佩特拉show,NPC_F_PeiTeLa_Idle_Show_01,0,-1,,,
109000,周年庆烟花,Monster_Empty_Nil,0,-1,100084,0,
101000,调整药品,Alchemist_M_Skill_ZhiYao_Hide,0,-1,,,
300000,诗人慢独奏动作,Bard_M_Skill_DuZou01,0,-1,,,
300001,诗人快独奏动作,Bard_M_Skill_DuZou02,0,-1,,,
300002,舞娘慢跳舞动作,Dancer_F_Skill_DuZou01,0,-1,,,
300003,舞娘快跳舞动作,Dancer_F_Skill_DuZou02,0,-1,,,
300004,诗人合奏动作01,Bard_M_Skill_HeZou01,0,-1,,,
300005,诗人合奏动作02,Bard_M_Skill_HeZou02,0,-1,,,
300006,舞娘合奏动作01,Dancer_F_Skill_HeZou01,0,-1,,,
300007,舞娘合奏动作02,Dancer_F_Skill_HeZou02,0,-1,,,
300008,合奏释放动作,Sniper_M_Skill_Release_01_None,0,1,,,
300010,贤智者移动吟唱动作,Scholar_M_Skill_SingingRun_PiaoFu,0,-1,,,
300501,周年庆男托举,Common_M_TuoJu,0,-1,,,
300502,周年庆男托举动作,Common_M_TuoJu_Walk,0,-1,,,
300503,周年庆女托举,Common_F_TuoJu,0,-1,,,
300504,周年庆男托举动作,Common_F_TuoJu_Walk,0,-1,,,
