ID,CardLevel,CardQuality,LevelUpConsume,LevelUpAddAttr,CardRestoreConsume,CardBorder,CardEffect,CanUsePosition
297,17,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
298,18,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
299,19,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
300,20,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
301,21,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
302,22,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
303,23,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
304,24,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
305,25,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
306,26,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
307,27,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
308,28,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
309,29,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
310,30,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
311,0,3,0,0,0,UI_CardFrame_Big_purplecard_01.png,,3
312,1,3,30000050=80,0=48=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,3
313,2,3,30000050=80,0=48=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,3
314,3,3,30000050=80,0=48=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,3
315,4,3,30000050=80,0=48=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,3
316,5,3,30000050=80,0=48=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,3
317,6,3,30000050=200,0=48=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,3
318,7,3,30000050=200,0=48=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,3
319,8,3,30000050=200,0=48=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,3
320,9,3,30000050=200,0=48=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,3
321,10,3,30000050=200,0=48=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,3
322,11,3,30000050=400,0=48=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
323,12,3,30000050=400,0=48=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
324,13,3,30000050=400,0=48=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
325,14,3,30000050=400,0=48=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
326,15,3,30000050=400,0=48=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
327,16,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
328,17,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
329,18,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
330,19,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
331,20,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
332,21,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
333,22,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
334,23,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
335,24,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
336,25,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
337,26,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
338,27,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
339,28,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
340,29,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
341,30,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,3
342,0,4,0,0,0,UI_CardFrame_Big_orangecard_01.png,,3
343,1,4,30000050=80,0=48=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,3
344,2,4,30000050=80,0=48=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,3
345,3,4,30000050=80,0=48=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,3
346,4,4,30000050=80,0=48=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,3
347,5,4,30000050=80,0=48=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,3
348,6,4,30000050=200,0=48=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,3
349,7,4,30000050=200,0=48=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,3
350,8,4,30000050=200,0=48=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,3
351,9,4,30000050=200,0=48=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,3
352,10,4,30000050=200,0=48=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,3
353,11,4,30000050=400,0=48=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
354,12,4,30000050=400,0=48=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
355,13,4,30000050=400,0=48=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
356,14,4,30000050=400,0=48=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
357,15,4,30000050=400,0=48=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
358,16,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
359,17,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
360,18,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
361,19,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
362,20,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
363,21,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
364,22,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
365,23,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
366,24,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
367,25,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
368,26,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
369,27,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
370,28,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
371,29,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
372,30,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,3
373,0,1,0,0,0,UI_CardFrame_Big_greencard_01.png,,4
374,1,1,30000050=10,0=68=4,101=100000,UI_CardFrame_Big_greencard_01.png,,4
375,2,1,30000050=10,0=68=4,101=100000,UI_CardFrame_Big_greencard_01.png,,4
376,3,1,30000050=10,0=68=4,101=100000,UI_CardFrame_Big_greencard_01.png,,4
377,4,1,30000050=10,0=68=4,101=100000,UI_CardFrame_Big_greencard_01.png,,4
378,5,1,30000050=10,0=68=4,101=100000,UI_CardFrame_Big_greencard_01.png,,4
379,6,1,30000050=20,0=68=6,101=100000,UI_CardFrame_Big_greencard_02.png,,4
380,7,1,30000050=20,0=68=6,101=100000,UI_CardFrame_Big_greencard_02.png,,4
381,8,1,30000050=20,0=68=6,101=100000,UI_CardFrame_Big_greencard_02.png,,4
382,9,1,30000050=20,0=68=6,101=100000,UI_CardFrame_Big_greencard_02.png,,4
383,10,1,30000050=20,0=68=6,101=100000,UI_CardFrame_Big_greencard_02.png,,4
384,11,1,30000050=40,0=68=8,101=100000,UI_CardFrame_Big_greencard_03.png,,4
385,12,1,30000050=40,0=68=8,101=100000,UI_CardFrame_Big_greencard_03.png,,4
386,13,1,30000050=40,0=68=8,101=100000,UI_CardFrame_Big_greencard_03.png,,4
387,14,1,30000050=40,0=68=8,101=100000,UI_CardFrame_Big_greencard_03.png,,4
388,15,1,30000050=40,0=68=8,101=100000,UI_CardFrame_Big_greencard_03.png,,4
389,16,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
390,17,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
391,18,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
392,19,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
393,20,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
394,21,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
395,22,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
396,23,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
397,24,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
398,25,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
399,26,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
400,27,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
401,28,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
402,29,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
403,30,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,4
404,0,2,0,0,0,UI_CardFrame_Big_bluecard_01.png,,4
405,1,2,30000050=30,0=68=5,101=200000,UI_CardFrame_Big_bluecard_01.png,,4
406,2,2,30000050=30,0=68=5,101=200000,UI_CardFrame_Big_bluecard_01.png,,4
407,3,2,30000050=30,0=68=5,101=200000,UI_CardFrame_Big_bluecard_01.png,,4
408,4,2,30000050=30,0=68=5,101=200000,UI_CardFrame_Big_bluecard_01.png,,4
409,5,2,30000050=30,0=68=5,101=200000,UI_CardFrame_Big_bluecard_01.png,,4
410,6,2,30000050=90,0=68=10,101=200000,UI_CardFrame_Big_bluecard_02.png,,4
411,7,2,30000050=90,0=68=10,101=200000,UI_CardFrame_Big_bluecard_02.png,,4
412,8,2,30000050=90,0=68=10,101=200000,UI_CardFrame_Big_bluecard_02.png,,4
413,9,2,30000050=90,0=68=10,101=200000,UI_CardFrame_Big_bluecard_02.png,,4
414,10,2,30000050=90,0=68=10,101=200000,UI_CardFrame_Big_bluecard_02.png,,4
415,11,2,30000050=180,0=68=15,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
416,12,2,30000050=180,0=68=15,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
417,13,2,30000050=180,0=68=15,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
418,14,2,30000050=180,0=68=15,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
419,15,2,30000050=180,0=68=15,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
420,16,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
421,17,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
422,18,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
423,19,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
424,20,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
425,21,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
426,22,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
427,23,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
428,24,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
429,25,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
430,26,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
431,27,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
432,28,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
433,29,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
434,30,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,4
435,0,3,0,0,0,UI_CardFrame_Big_purplecard_01.png,,4
436,1,3,30000050=80,0=68=10,101=500000,UI_CardFrame_Big_purplecard_01.png,,4
437,2,3,30000050=80,0=68=10,101=500000,UI_CardFrame_Big_purplecard_01.png,,4
438,3,3,30000050=80,0=68=10,101=500000,UI_CardFrame_Big_purplecard_01.png,,4
439,4,3,30000050=80,0=68=10,101=500000,UI_CardFrame_Big_purplecard_01.png,,4
440,5,3,30000050=80,0=68=10,101=500000,UI_CardFrame_Big_purplecard_01.png,,4
441,6,3,30000050=200,0=68=16,101=500000,UI_CardFrame_Big_purplecard_02.png,,4
442,7,3,30000050=200,0=68=16,101=500000,UI_CardFrame_Big_purplecard_02.png,,4
443,8,3,30000050=200,0=68=16,101=500000,UI_CardFrame_Big_purplecard_02.png,,4
444,9,3,30000050=200,0=68=16,101=500000,UI_CardFrame_Big_purplecard_02.png,,4
445,10,3,30000050=200,0=68=16,101=500000,UI_CardFrame_Big_purplecard_02.png,,4
446,11,3,30000050=400,0=68=24,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
447,12,3,30000050=400,0=68=24,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
448,13,3,30000050=400,0=68=24,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
449,14,3,30000050=400,0=68=24,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
450,15,3,30000050=400,0=68=24,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
451,16,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
452,17,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
453,18,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
454,19,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
455,20,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
456,21,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
457,22,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
458,23,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
459,24,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
460,25,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
461,26,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
462,27,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
463,28,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
464,29,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
465,30,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,4
466,0,4,0,0,0,UI_CardFrame_Big_orangecard_01.png,,4
467,1,4,30000050=80,0=68=14,101=500000,UI_CardFrame_Big_orangecard_01.png,,4
468,2,4,30000050=80,0=68=14,101=500000,UI_CardFrame_Big_orangecard_01.png,,4
469,3,4,30000050=80,0=68=14,101=500000,UI_CardFrame_Big_orangecard_01.png,,4
470,4,4,30000050=80,0=68=14,101=500000,UI_CardFrame_Big_orangecard_01.png,,4
471,5,4,30000050=80,0=68=14,101=500000,UI_CardFrame_Big_orangecard_01.png,,4
472,6,4,30000050=200,0=68=20,101=500000,UI_CardFrame_Big_orangecard_02.png,,4
473,7,4,30000050=200,0=68=20,101=500000,UI_CardFrame_Big_orangecard_02.png,,4
474,8,4,30000050=200,0=68=20,101=500000,UI_CardFrame_Big_orangecard_02.png,,4
475,9,4,30000050=200,0=68=20,101=500000,UI_CardFrame_Big_orangecard_02.png,,4
476,10,4,30000050=200,0=68=20,101=500000,UI_CardFrame_Big_orangecard_02.png,,4
477,11,4,30000050=400,0=68=26,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
478,12,4,30000050=400,0=68=26,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
479,13,4,30000050=400,0=68=26,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
480,14,4,30000050=400,0=68=26,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
481,15,4,30000050=400,0=68=26,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
482,16,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
483,17,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
484,18,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
485,19,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
486,20,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
487,21,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
488,22,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
489,23,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
490,24,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
491,25,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
492,26,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
493,27,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
494,28,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
495,29,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
496,30,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,4
497,0,1,0,0,0,UI_CardFrame_Big_greencard_01.png,,5
498,1,1,30000050=10,0=67=4,101=100000,UI_CardFrame_Big_greencard_01.png,,5
499,2,1,30000050=10,0=67=4,101=100000,UI_CardFrame_Big_greencard_01.png,,5
500,3,1,30000050=10,0=67=4,101=100000,UI_CardFrame_Big_greencard_01.png,,5
501,4,1,30000050=10,0=67=4,101=100000,UI_CardFrame_Big_greencard_01.png,,5
502,5,1,30000050=10,0=67=4,101=100000,UI_CardFrame_Big_greencard_01.png,,5
503,6,1,30000050=20,0=67=6,101=100000,UI_CardFrame_Big_greencard_02.png,,5
504,7,1,30000050=20,0=67=6,101=100000,UI_CardFrame_Big_greencard_02.png,,5
505,8,1,30000050=20,0=67=6,101=100000,UI_CardFrame_Big_greencard_02.png,,5
506,9,1,30000050=20,0=67=6,101=100000,UI_CardFrame_Big_greencard_02.png,,5
507,10,1,30000050=20,0=67=6,101=100000,UI_CardFrame_Big_greencard_02.png,,5
508,11,1,30000050=40,0=67=8,101=100000,UI_CardFrame_Big_greencard_03.png,,5
509,12,1,30000050=40,0=67=8,101=100000,UI_CardFrame_Big_greencard_03.png,,5
510,13,1,30000050=40,0=67=8,101=100000,UI_CardFrame_Big_greencard_03.png,,5
511,14,1,30000050=40,0=67=8,101=100000,UI_CardFrame_Big_greencard_03.png,,5
512,15,1,30000050=40,0=67=8,101=100000,UI_CardFrame_Big_greencard_03.png,,5
513,16,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
514,17,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
515,18,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
516,19,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
517,20,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
518,21,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
519,22,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
520,23,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
521,24,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
522,25,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
523,26,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
524,27,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
525,28,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
526,29,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
527,30,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,5
528,0,2,0,0,0,UI_CardFrame_Big_bluecard_01.png,,5
529,1,2,30000050=30,0=67=5,101=200000,UI_CardFrame_Big_bluecard_01.png,,5
530,2,2,30000050=30,0=67=5,101=200000,UI_CardFrame_Big_bluecard_01.png,,5
531,3,2,30000050=30,0=67=5,101=200000,UI_CardFrame_Big_bluecard_01.png,,5
532,4,2,30000050=30,0=67=5,101=200000,UI_CardFrame_Big_bluecard_01.png,,5
533,5,2,30000050=30,0=67=5,101=200000,UI_CardFrame_Big_bluecard_01.png,,5
534,6,2,30000050=90,0=67=10,101=200000,UI_CardFrame_Big_bluecard_02.png,,5
535,7,2,30000050=90,0=67=10,101=200000,UI_CardFrame_Big_bluecard_02.png,,5
536,8,2,30000050=90,0=67=10,101=200000,UI_CardFrame_Big_bluecard_02.png,,5
537,9,2,30000050=90,0=67=10,101=200000,UI_CardFrame_Big_bluecard_02.png,,5
538,10,2,30000050=90,0=67=10,101=200000,UI_CardFrame_Big_bluecard_02.png,,5
539,11,2,30000050=180,0=67=15,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
540,12,2,30000050=180,0=67=15,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
541,13,2,30000050=180,0=67=15,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
542,14,2,30000050=180,0=67=15,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
543,15,2,30000050=180,0=67=15,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
544,16,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
545,17,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
546,18,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
547,19,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
548,20,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
549,21,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
550,22,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
551,23,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
552,24,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
553,25,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
554,26,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
555,27,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
556,28,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
557,29,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
558,30,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,5
559,0,3,0,0,0,UI_CardFrame_Big_purplecard_01.png,,5
560,1,3,30000050=80,0=67=10,101=500000,UI_CardFrame_Big_purplecard_01.png,,5
561,2,3,30000050=80,0=67=10,101=500000,UI_CardFrame_Big_purplecard_01.png,,5
562,3,3,30000050=80,0=67=10,101=500000,UI_CardFrame_Big_purplecard_01.png,,5
563,4,3,30000050=80,0=67=10,101=500000,UI_CardFrame_Big_purplecard_01.png,,5
564,5,3,30000050=80,0=67=10,101=500000,UI_CardFrame_Big_purplecard_01.png,,5
565,6,3,30000050=200,0=67=16,101=500000,UI_CardFrame_Big_purplecard_02.png,,5
566,7,3,30000050=200,0=67=16,101=500000,UI_CardFrame_Big_purplecard_02.png,,5
567,8,3,30000050=200,0=67=16,101=500000,UI_CardFrame_Big_purplecard_02.png,,5
568,9,3,30000050=200,0=67=16,101=500000,UI_CardFrame_Big_purplecard_02.png,,5
569,10,3,30000050=200,0=67=16,101=500000,UI_CardFrame_Big_purplecard_02.png,,5
570,11,3,30000050=400,0=67=24,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
571,12,3,30000050=400,0=67=24,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
572,13,3,30000050=400,0=67=24,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
573,14,3,30000050=400,0=67=24,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
574,15,3,30000050=400,0=67=24,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
575,16,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
576,17,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
577,18,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
578,19,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
579,20,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
580,21,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
581,22,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
582,23,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
583,24,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
584,25,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
585,26,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
586,27,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
587,28,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
588,29,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
589,30,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,5
590,0,4,0,0,0,UI_CardFrame_Big_orangecard_01.png,,5
591,1,4,30000050=80,0=67=14,101=500000,UI_CardFrame_Big_orangecard_01.png,,5
592,2,4,30000050=80,0=67=14,101=500000,UI_CardFrame_Big_orangecard_01.png,,5
593,3,4,30000050=80,0=67=14,101=500000,UI_CardFrame_Big_orangecard_01.png,,5
594,4,4,30000050=80,0=67=14,101=500000,UI_CardFrame_Big_orangecard_01.png,,5
595,5,4,30000050=80,0=67=14,101=500000,UI_CardFrame_Big_orangecard_01.png,,5
596,6,4,30000050=200,0=67=20,101=500000,UI_CardFrame_Big_orangecard_02.png,,5
