Id,,ThesaurusId,Property,PropertyDec,Quality,Activition,Pro,RandomType,ColourPro
273,法杖55,1002,0=200=500,4258,2,,50=50=5,1=1=500|1=1=100|1=1=50,
274,法杖55,1002,0=204=500,4259,2,,50=50=5,1=1=500|1=1=100|1=1=50,
275,法杖55,1002,1=400011001=pro=0=10000=skill=0=410108=attr1=0=283=value1=0=500|1=400011001=pro=0=10000=skill=0=410112=attr1=0=283=value1=0=500,4260,3,,50=50=5,1=1=500|1=1=100|1=1=50,
276,法杖55,1002,1=400011001=pro=0=10000=skill=0=400015=attr1=0=283=value1=0=500,4261,3,,50=50=5,1=1=500|1=1=100|1=1=50,
277,法杖55,1002,1=400011001=pro=0=10000=skill=0=400016=attr1=0=283=value1=0=500|1=400011001=pro=0=10000=skill=0=410103=attr1=0=283=value1=0=500|1=400011001=pro=0=10000=skill=0=400004=attr1=0=283=value1=0=500,4262,3,,50=50=5,1=1=500|1=1=100|1=1=50,
278,法杖70,1003,0=16=1|0=49=10,4263,1,,50=50=5,1=1=500|1=1=100|1=1=50,
279,法杖70,1003,0=16=1|0=36=4,4264,1,,50=50=5,1=1=500|1=1=100|1=1=50,
280,法杖70,1003,0=36=8,4265,2,,50=50=5,1=1=500|1=1=100|1=1=50,
281,法杖70,1003,0=193=500,4266,2,,50=50=5,1=1=500|1=1=100|1=1=50,
282,法杖70,1003,0=194=500,4267,2,,50=50=5,1=1=500|1=1=100|1=1=50,
283,法杖70,1003,0=200=500,4268,2,,50=50=5,1=1=500|1=1=100|1=1=50,
284,法杖70,1003,0=204=500,4269,2,,50=50=5,1=1=500|1=1=100|1=1=50,
285,法杖70,1003,1=400011001=pro=0=10000=skill=0=410108=attr1=0=283=value1=0=500|1=400011001=pro=0=10000=skill=0=410112=attr1=0=283=value1=0=500,4270,3,,50=50=5,1=1=500|1=1=100|1=1=50,
286,法杖70,1003,1=400011001=pro=0=10000=skill=0=400015=attr1=0=283=value1=0=500,4271,3,,50=50=5,1=1=500|1=1=100|1=1=50,
287,法杖70,1003,1=400011001=pro=0=10000=skill=0=400016=attr1=0=283=value1=0=500|1=400011001=pro=0=10000=skill=0=410103=attr1=0=283=value1=0=500|1=400011001=pro=0=10000=skill=0=400004=attr1=0=283=value1=0=500,4272,3,,50=50=5,1=1=500|1=1=100|1=1=50,
288,法杖70,1003,0=203=500,4273,3,,50=50=5,1=1=500|1=1=100|1=1=50,
289,矛25,1100,0=20=1,4485,1,,50=50=5,1=1=500|1=1=100|1=1=50,
290,矛25,1100,0=51=1,4486,1,,50=50=5,1=1=500|1=1=100|1=1=50,
291,矛25,1100,0=14=1,4487,1,,50=50=5,1=1=500|1=1=100|1=1=50,
292,矛25,1100,0=27=2,4488,1,,50=50=5,1=1=500|1=1=100|1=1=50,
293,矛25,1100,0=22=1,4489,1,,50=50=5,1=1=500|1=1=100|1=1=50,
294,矛25,1100,0=47=50,4490,1,,50=50=5,1=1=500|1=1=100|1=1=50,
295,矛25,1100,0=27=5,4491,2,,50=50=5,1=1=500|1=1=100|1=1=50,
296,矛40,1101,0=20=1|0=51=2,4279,1,,50=50=5,1=1=500|1=1=100|1=1=50,
297,矛40,1101,0=14=1|0=27=4,4280,1,,50=50=5,1=1=500|1=1=100|1=1=50,
298,矛40,1101,0=22=1|0=47=50,4281,1,,50=50=5,1=1=500|1=1=100|1=1=50,
299,矛40,1101,0=27=2|0=51=6,4282,1,,50=50=5,1=1=500|1=1=100|1=1=50,
300,矛40,1101,0=27=8,4283,2,,50=50=5,1=1=500|1=1=100|1=1=50,
301,矛40,1101,0=51=10,4284,2,,50=50=5,1=1=500|1=1=100|1=1=50,
302,矛40,1101,1=510018445=0,4285,2,,50=50=5,1=1=500|1=1=100|1=1=50,
303,矛55,1102,0=20=1|0=51=2,4286,1,,50=50=5,1=1=500|1=1=100|1=1=50,
304,矛55,1102,0=14=1|0=27=4,4287,1,,50=50=5,1=1=500|1=1=100|1=1=50,
305,矛55,1102,0=22=1|0=47=50,4288,1,,50=50=5,1=1=500|1=1=100|1=1=50,
306,矛55,1102,0=27=2|0=51=6,4289,1,,50=50=5,1=1=500|1=1=100|1=1=50,
307,矛55,1102,0=27=8,4290,2,,50=50=5,1=1=500|1=1=100|1=1=50,
308,矛55,1102,0=51=10,4291,2,,50=50=5,1=1=500|1=1=100|1=1=50,
309,矛55,1102,1=510018445=0,4292,2,,50=50=5,1=1=500|1=1=100|1=1=50,
310,矛55,1102,0=27=6|0=224=400,4293,3,,50=50=5,1=1=500|1=1=100|1=1=50,
311,矛70,1103,0=20=1|0=51=2,4294,1,,50=50=5,1=1=500|1=1=100|1=1=50,
312,矛70,1103,0=14=1|0=27=4,4295,1,,50=50=5,1=1=500|1=1=100|1=1=50,
313,矛70,1103,0=22=1|0=47=50,4296,1,,50=50=5,1=1=500|1=1=100|1=1=50,
314,矛70,1103,0=27=2|0=51=6,4297,1,,50=50=5,1=1=500|1=1=100|1=1=50,
315,矛70,1103,0=27=8,4298,2,,50=50=5,1=1=500|1=1=100|1=1=50,
316,矛70,1103,0=51=10,4299,2,,50=50=5,1=1=500|1=1=100|1=1=50,
317,矛70,1103,1=510018445=0,4300,2,,50=50=5,1=1=500|1=1=100|1=1=50,
318,矛70,1103,0=27=6|0=224=400,4301,3,,50=50=5,1=1=500|1=1=100|1=1=50,
319,矛70,1103,0=51=20|0=71=-500,4302,3,,50=50=5,1=1=500|1=1=100|1=1=50,
320,矛70,1103,0=203=500,4303,3,,50=50=5,1=1=500|1=1=100|1=1=50,
321,斧头25,1200,0=20=1,4492,1,,50=50=5,1=1=500|1=1=100|1=1=50,
322,斧头25,1200,0=51=1,4493,1,,50=50=5,1=1=500|1=1=100|1=1=50,
323,斧头25,1200,0=14=1,4494,1,,50=50=5,1=1=500|1=1=100|1=1=50,
324,斧头25,1200,0=27=2,4495,1,,50=50=5,1=1=500|1=1=100|1=1=50,
325,斧头25,1200,0=22=1,4496,1,,50=50=5,1=1=500|1=1=100|1=1=50,
326,斧头25,1200,0=47=50,4497,1,,50=50=5,1=1=500|1=1=100|1=1=50,
327,斧头25,1200,0=27=5,4498,2,,50=50=5,1=1=500|1=1=100|1=1=50,
328,斧头40,1201,0=20=1|0=51=2,4309,1,,50=50=5,1=1=500|1=1=100|1=1=50,
329,斧头40,1201,0=14=1|0=27=4,4310,1,,50=50=5,1=1=500|1=1=100|1=1=50,
330,斧头40,1201,0=22=1|0=47=50,4311,1,,50=50=5,1=1=500|1=1=100|1=1=50,
331,斧头40,1201,0=27=2|0=51=6,4312,1,,50=50=5,1=1=500|1=1=100|1=1=50,
332,斧头40,1201,0=27=8,4313,2,,50=50=5,1=1=500|1=1=100|1=1=50,
333,斧头40,1201,0=51=10,4314,2,,50=50=5,1=1=500|1=1=100|1=1=50,
334,斧头55,1202,0=20=1|0=51=2,4315,1,,50=50=5,1=1=500|1=1=100|1=1=50,
335,斧头55,1202,0=14=1|0=27=4,4316,1,,50=50=5,1=1=500|1=1=100|1=1=50,
336,斧头55,1202,0=22=1|0=47=50,4317,1,,50=50=5,1=1=500|1=1=100|1=1=50,
337,斧头55,1202,0=27=2|0=51=6,4318,1,,50=50=5,1=1=500|1=1=100|1=1=50,
338,斧头55,1202,0=27=8,4319,2,,50=50=5,1=1=500|1=1=100|1=1=50,
339,斧头55,1202,0=51=10,4320,2,,50=50=5,1=1=500|1=1=100|1=1=50,
340,斧头55,1202,0=55=4,4321,2,,50=50=5,1=1=500|1=1=100|1=1=50,
341,斧头55,1202,1=510018445=0,4322,2,,50=50=5,1=1=500|1=1=100|1=1=50,
342,斧头55,1202,0=55=2|1=400007001=jinglian=0=12=attr1=0=27=value1=0=10|1=400007001=jinglian=0=14=attr1=0=55=value1=0=2,4323,3,,50=50=5,1=1=500|1=1=100|1=1=50,
343,斧头70,1203,0=20=1|0=51=2,4324,1,,50=50=5,1=1=500|1=1=100|1=1=50,
344,斧头70,1203,0=14=1|0=27=4,4325,1,,50=50=5,1=1=500|1=1=100|1=1=50,
345,斧头70,1203,0=22=1|0=47=50,4326,1,,50=50=5,1=1=500|1=1=100|1=1=50,
346,斧头70,1203,0=27=2|0=51=6,4327,1,,50=50=5,1=1=500|1=1=100|1=1=50,
347,斧头70,1203,0=27=8,4328,2,,50=50=5,1=1=500|1=1=100|1=1=50,
348,斧头70,1203,0=51=10,4329,2,,50=50=5,1=1=500|1=1=100|1=1=50,
349,斧头70,1203,0=55=4,4330,2,,50=50=5,1=1=500|1=1=100|1=1=50,
350,斧头70,1203,1=510018445=0,4331,2,,50=50=5,1=1=500|1=1=100|1=1=50,
351,斧头70,1203,0=55=2|1=400007001=jinglian=0=12=attr1=0=27=value1=0=10|1=400007001=jinglian=0=14=attr1=0=55=value1=0=2,4332,3,,50=50=5,1=1=500|1=1=100|1=1=50,
352,斧头70,1203,0=27=6|0=224=400,4333,3,,50=50=5,1=1=500|1=1=100|1=1=50,
353,斧头70,1203,0=203=500,4334,3,,50=50=5,1=1=500|1=1=100|1=1=50,
354,短剑25,1300,0=14=1,4499,1,,50=50=5,1=1=500|1=1=100|1=1=50,
355,短剑25,1300,0=53=1,4500,1,,50=50=5,1=1=500|1=1=100|1=1=50,
356,短剑25,1300,0=27=2,4501,2,,50=50=5,1=1=500|1=1=100|1=1=50,
357,短剑25,1300,0=27=5,4502,2,,50=50=5,1=1=500|1=1=100|1=1=50,
358,短剑25,1300,0=51=1,4503,1,,50=50=5,1=1=500|1=1=100|1=1=50,
359,短剑40,1301,0=14=1|0=27=2,4339,1,,50=50=5,1=1=500|1=1=100|1=1=50,
360,短剑40,1301,0=18=1|0=53=1,4340,1,,50=50=5,1=1=500|1=1=100|1=1=50,
361,短剑40,1301,0=27=8,4341,2,,50=50=5,1=1=500|1=1=100|1=1=50,
362,短剑40,1301,0=51=10,4342,2,,50=50=5,1=1=500|1=1=100|1=1=50,
363,短剑40,1301,1=510018445=0,4343,2,,50=50=5,1=1=500|1=1=100|1=1=50,
364,短剑40,1301,0=27=6|1=400004001=pro=0=500=buffid=0=300301,4344,2,,50=50=5,1=1=500|1=1=100|1=1=50,
365,短剑55,1302,0=14=1|0=27=2,4345,1,,50=50=5,1=1=500|1=1=100|1=1=50,
366,短剑55,1302,0=18=1|0=53=1,4346,1,,50=50=5,1=1=500|1=1=100|1=1=50,
367,短剑55,1302,0=27=8,4347,2,,50=50=5,1=1=500|1=1=100|1=1=50,
368,短剑55,1302,0=51=10,4348,2,,50=50=5,1=1=500|1=1=100|1=1=50,
369,短剑55,1302,1=510018445=0,4349,2,,50=50=5,1=1=500|1=1=100|1=1=50,
370,短剑55,1302,0=27=6|1=400004001=pro=0=500=buffid=0=300301,4350,2,,50=50=5,1=1=500|1=1=100|1=1=50,
371,短剑55,1302,0=51=-16|0=71=300,4351,3,,50=50=5,1=1=500|1=1=100|1=1=50,
372,短剑70,1303,0=14=1|0=27=2,4352,1,,50=50=5,1=1=500|1=1=100|1=1=50,
373,短剑70,1303,0=18=1|0=53=1,4353,1,,50=50=5,1=1=500|1=1=100|1=1=50,
374,短剑70,1303,0=27=8,4354,2,,50=50=5,1=1=500|1=1=100|1=1=50,
375,短剑70,1303,0=51=10,4355,2,,50=50=5,1=1=500|1=1=100|1=1=50,
376,短剑70,1303,1=510018445=0,4356,2,,50=50=5,1=1=500|1=1=100|1=1=50,
377,短剑70,1303,0=27=6,4357,2,,50=50=5,1=1=500|1=1=100|1=1=50,
378,短剑70,1303,0=51=-16|0=71=300,4358,3,,50=50=5,1=1=500|1=1=100|1=1=50,
379,短剑70,1303,0=27=6|0=222=400,4359,3,,50=50=5,1=1=500|1=1=100|1=1=50,
380,短剑70,1303,0=203=500,4360,3,,50=50=5,1=1=500|1=1=100|1=1=50,
381,拳刃25,1400,0=14=1,4504,1,,50=50=5,1=1=500|1=1=100|1=1=50,
382,拳刃25,1400,0=27=2,4505,1,,50=50=5,1=1=500|1=1=100|1=1=50,
383,拳刃25,1400,0=53=1,4506,1,,50=50=5,1=1=500|1=1=100|1=1=50,
384,拳刃25,1400,0=24=1,4507,1,,50=50=5,1=1=500|1=1=100|1=1=50,
385,拳刃25,1400,0=55=1,4508,1,,50=50=5,1=1=500|1=1=100|1=1=50,
386,拳刃25,1400,0=27=5,4509,2,,50=50=5,1=1=500|1=1=100|1=1=50,
387,拳刃40,1401,0=14=1|0=27=2,4365,1,,50=50=5,1=1=500|1=1=100|1=1=50,
388,拳刃40,1401,0=18=1|0=53=1,4366,1,,50=50=5,1=1=500|1=1=100|1=1=50,
389,拳刃40,1401,0=24=1|0=55=1,4367,1,,50=50=5,1=1=500|1=1=100|1=1=50,
390,拳刃40,1401,0=27=8,4368,2,,50=50=5,1=1=500|1=1=100|1=1=50,
391,拳刃40,1401,0=27=6|1=400004001=pro=0=500=buffid=0=901301,4369,2,,50=50=5,1=1=500|1=1=100|1=1=50,
392,拳刃40,1401,0=51=-16|0=71=300,4370,3,,50=50=5,1=1=500|1=1=100|1=1=50,
393,拳刃55,1402,0=14=1|0=27=2,4371,1,,50=50=5,1=1=500|1=1=100|1=1=50,
394,拳刃55,1402,0=18=1|0=53=1,4372,1,,50=50=5,1=1=500|1=1=100|1=1=50,
395,拳刃55,1402,0=24=1|0=55=1,4373,1,,50=50=5,1=1=500|1=1=100|1=1=50,
396,拳刃55,1402,0=27=8,4374,2,,50=50=5,1=1=500|1=1=100|1=1=50,
397,拳刃55,1402,0=27=6|1=400004001=pro=0=500=buffid=0=901301,4375,2,,50=50=5,1=1=500|1=1=100|1=1=50,
398,拳刃55,1402,0=51=-16|0=71=300,4376,3,,50=50=5,1=1=500|1=1=100|1=1=50,
399,拳刃55,1402,0=55=4,4377,2,,50=50=5,1=1=500|1=1=100|1=1=50,
400,拳刃55,1402,0=59=300,4378,3,,50=50=5,1=1=500|1=1=100|1=1=50,
401,拳刃70,1403,0=14=1|0=27=2,4379,1,,50=50=5,1=1=500|1=1=100|1=1=50,
402,拳刃70,1403,0=18=1|0=53=1,4380,1,,50=50=5,1=1=500|1=1=100|1=1=50,
403,拳刃70,1403,0=24=1|0=55=1,4381,1,,50=50=5,1=1=500|1=1=100|1=1=50,
404,拳刃70,1403,0=27=8,4382,2,,50=50=5,1=1=500|1=1=100|1=1=50,
405,拳刃70,1403,0=27=6|1=400004001=pro=0=500=buffid=0=901301,4383,2,,50=50=5,1=1=500|1=1=100|1=1=50,
406,拳刃70,1403,0=51=-16|0=71=300,4384,3,,50=50=5,1=1=500|1=1=100|1=1=50,
407,拳刃70,1403,0=55=4,4385,2,,50=50=5,1=1=500|1=1=100|1=1=50,
408,拳刃70,1403,0=59=300,4386,3,,50=50=5,1=1=500|1=1=100|1=1=50,
409,拳刃70,1403,0=55=2|1=400007001=jinglian=0=12=attr1=0=27=value1=0=10|1=400007001=jinglian=0=14=attr1=0=55=value1=0=2,4387,3,,50=50=5,1=1=500|1=1=100|1=1=50,
410,拳刃70,1403,0=27=6|0=223=400,4388,3,,50=50=5,1=1=500|1=1=100|1=1=50,
411,拳刃70,1403,0=203=500,4389,3,,50=50=5,1=1=500|1=1=100|1=1=50,
412,钝器25,1500,0=20=1,4510,1,,50=50=5,1=1=500|1=1=100|1=1=50,
413,钝器25,1500,0=51=1,4511,1,,50=50=5,1=1=500|1=1=100|1=1=50,
414,钝器25,1500,0=14=1,4512,1,,50=50=5,1=1=500|1=1=100|1=1=50,
415,钝器25,1500,0=53=1,4513,1,,50=50=5,1=1=500|1=1=100|1=1=50,
416,钝器25,1500,0=55=1,4514,1,,50=50=5,1=1=500|1=1=100|1=1=50,
417,钝器25,1500,0=24=1,4515,1,,50=50=5,1=1=500|1=1=100|1=1=50,
418,钝器25,1500,0=27=5,4516,2,,50=50=5,1=1=500|1=1=100|1=1=50,
419,钝器40,1501,0=20=1|0=51=1,4395,1,,50=50=5,1=1=500|1=1=100|1=1=50,
420,钝器40,1501,0=14=1|0=27=2,4396,1,,50=50=5,1=1=500|1=1=100|1=1=50,
421,钝器40,1501,0=18=1|0=53=1,4397,1,,50=50=5,1=1=500|1=1=100|1=1=50,
422,钝器40,1501,0=24=1|0=55=1,4398,1,,50=50=5,1=1=500|1=1=100|1=1=50,
423,钝器40,1501,0=27=8,4399,2,,50=50=5,1=1=500|1=1=100|1=1=50,
424,钝器40,1501,0=51=6|0=53=2|1=410020001=0,4400,2,,50=50=5,1=1=500|1=1=100|1=1=50,
425,钝器40,1501,0=200=500,4401,3,,50=50=5,1=1=500|1=1=100|1=1=50,
426,钝器40,1501,0=204=500,4402,3,,50=50=5,1=1=500|1=1=100|1=1=50,
427,钝器55,1502,0=20=1|0=51=1,4403,1,,50=50=5,1=1=500|1=1=100|1=1=50,
428,钝器55,1502,0=14=1|0=27=2,4404,1,,50=50=5,1=1=500|1=1=100|1=1=50,
429,钝器55,1502,0=18=1|0=53=1,4405,1,,50=50=5,1=1=500|1=1=100|1=1=50,
430,钝器55,1502,0=24=1|0=55=1,4406,1,,50=50=5,1=1=500|1=1=100|1=1=50,
431,钝器55,1502,0=27=8,4407,2,,50=50=5,1=1=500|1=1=100|1=1=50,
432,钝器55,1502,0=51=6|0=53=2|1=410020001=0,4408,2,,50=50=5,1=1=500|1=1=100|1=1=50,
433,钝器55,1502,0=200=500,4409,3,,50=50=5,1=1=500|1=1=100|1=1=50,
434,钝器55,1502,0=204=500,4410,3,,50=50=5,1=1=500|1=1=100|1=1=50,
435,钝器55,1502,0=55=4,4411,2,,50=50=5,1=1=500|1=1=100|1=1=50,
436,钝器55,1502,0=59=300,4412,3,,50=50=5,1=1=500|1=1=100|1=1=50,
437,钝器70,1503,0=20=1|0=51=1,4413,1,,50=50=5,1=1=500|1=1=100|1=1=50,
438,钝器70,1503,0=14=1|0=27=2,4414,1,,50=50=5,1=1=500|1=1=100|1=1=50,
439,钝器70,1503,0=18=1|0=53=1,4415,1,,50=50=5,1=1=500|1=1=100|1=1=50,
440,钝器70,1503,0=24=1|0=55=1,4416,1,,50=50=5,1=1=500|1=1=100|1=1=50,
441,钝器70,1503,0=27=8,4417,2,,50=50=5,1=1=500|1=1=100|1=1=50,
442,钝器70,1503,0=51=6|0=53=2|1=410020001=0,4418,2,,50=50=5,1=1=500|1=1=100|1=1=50,
443,钝器70,1503,0=200=500,4419,3,,50=50=5,1=1=500|1=1=100|1=1=50,
444,钝器70,1503,0=204=500,4420,3,,50=50=5,1=1=500|1=1=100|1=1=50,
445,钝器70,1503,0=55=4,4421,2,,50=50=5,1=1=500|1=1=100|1=1=50,
446,钝器70,1503,0=59=300,4422,3,,50=50=5,1=1=500|1=1=100|1=1=50,
447,钝器70,1503,0=55=2|1=400007001=jinglian=0=12=attr1=0=27=value1=0=10|1=400007001=jinglian=0=14=attr1=0=55=value1=0=2,4423,3,,50=50=5,1=1=500|1=1=100|1=1=50,
448,钝器70,1503,0=203=500,4424,3,,50=50=5,1=1=500|1=1=100|1=1=50,
449,盾牌25,1600,0=32=2,4000,1,,500=500=50,1=1=500|1=1=100|1=1=50,
450,铠甲25,1601,0=22=1|0=47=25,4027,1,,50=50=5,1=1=500|1=1=100|1=1=50,
451,披肩25,1602,0=41=2,4067,1,,50=50=5,1=1=500|1=1=100|1=1=50,
452,头盔25,1603,0=49=20,4094,1,,50=50=5,1=1=500|1=1=100|1=1=50,
453,鞋子25,1604,0=78=500,4116,1,,50=50=5,1=1=500|1=1=100|1=1=50,
454,饰品25,1605,0=22=1,4064,1,,50=50=5,1=1=500|1=1=100|1=1=50,
455,剑25,1606,0=20=1|0=51=1,4179,1,,50=50=5,1=1=500|1=1=100|1=1=50,
456,弓25,1607,0=18=1|0=53=1,4118,1,,50=50=5,1=1=500|1=1=100|1=1=50,
457,法杖25,1608,0=16=1|0=49=10,4093,1,,50=50=5,1=1=500|1=1=100|1=1=50,
458,矛25,1609,0=20=1|0=51=1,4179,1,,50=50=5,1=1=500|1=1=100|1=1=50,
459,斧头25,1610,0=20=1|0=51=1,4179,1,,50=50=5,1=1=500|1=1=100|1=1=50,
460,短剑25,1611,0=14=1|0=27=2,4026,1,,50=50=5,1=1=500|1=1=100|1=1=50,
461,拳刃25,1612,0=14=1|0=27=2,4026,1,,50=50=5,1=1=500|1=1=100|1=1=50,
462,钝器25,1613,0=20=1|0=51=1,4179,1,,50=50=5,1=1=500|1=1=100|1=1=50,
