VehicleQuality,Attr1,Attr2,Attr3,Attr4,Attr5
433,0=27=155,0=36=155,0=47=1033,0=28=440,0=37=440
434,0=27=155,0=36=155,0=47=1035,0=28=440,0=37=440
435,0=27=156,0=36=156,0=47=1036,0=28=440,0=37=440
436,0=27=156,0=36=156,0=47=1038,0=28=440,0=37=440
437,0=27=156,0=36=156,0=47=1040,0=28=440,0=37=440
438,0=27=156,0=36=156,0=47=1042,0=28=440,0=37=440
439,0=27=157,0=36=157,0=47=1044,0=28=440,0=37=440
440,0=27=157,0=36=157,0=47=1046,0=28=440,0=37=440
441,0=27=157,0=36=157,0=47=1048,0=28=440,0=37=440
442,0=27=158,0=36=158,0=47=1050,0=28=440,0=37=440
443,0=27=158,0=36=158,0=47=1051,0=28=440,0=37=440
444,0=27=158,0=36=158,0=47=1053,0=28=440,0=37=440
445,0=27=158,0=36=158,0=47=1055,0=28=440,0=37=440
446,0=27=159,0=36=159,0=47=1057,0=28=450,0=37=450
447,0=27=159,0=36=159,0=47=1059,0=28=450,0=37=450
448,0=27=159,0=36=159,0=47=1061,0=28=450,0=37=450
449,0=27=160,0=36=160,0=47=1063,0=28=450,0=37=450
450,0=27=160,0=36=160,0=47=1064,0=28=450,0=37=450
451,0=27=160,0=36=160,0=47=1066,0=28=450,0=37=450
452,0=27=160,0=36=160,0=47=1068,0=28=450,0=37=450
453,0=27=161,0=36=161,0=47=1070,0=28=450,0=37=450
454,0=27=161,0=36=161,0=47=1072,0=28=450,0=37=450
455,0=27=161,0=36=161,0=47=1074,0=28=450,0=37=450
456,0=27=161,0=36=161,0=47=1076,0=28=450,0=37=450
457,0=27=162,0=36=162,0=47=1078,0=28=450,0=37=450
458,0=27=162,0=36=162,0=47=1079,0=28=450,0=37=450
459,0=27=162,0=36=162,0=47=1081,0=28=460,0=37=460
460,0=27=163,0=36=163,0=47=1083,0=28=460,0=37=460
461,0=27=163,0=36=163,0=47=1085,0=28=460,0=37=460
462,0=27=163,0=36=163,0=47=1087,0=28=460,0=37=460
463,0=27=163,0=36=163,0=47=1089,0=28=460,0=37=460
464,0=27=164,0=36=164,0=47=1091,0=28=460,0=37=460
465,0=27=164,0=36=164,0=47=1092,0=28=460,0=37=460
466,0=27=164,0=36=164,0=47=1094,0=28=460,0=37=460
467,0=27=165,0=36=165,0=47=1096,0=28=460,0=37=460
468,0=27=165,0=36=165,0=47=1098,0=28=460,0=37=460
469,0=27=165,0=36=165,0=47=1100,0=28=460,0=37=460
470,0=27=165,0=36=165,0=47=1102,0=28=460,0=37=460
471,0=27=166,0=36=166,0=47=1104,0=28=460,0=37=460
472,0=27=166,0=36=166,0=47=1106,0=28=470,0=37=470
473,0=27=166,0=36=166,0=47=1107,0=28=470,0=37=470
474,0=27=167,0=36=167,0=47=1109,0=28=470,0=37=470
475,0=27=167,0=36=167,0=47=1111,0=28=470,0=37=470
476,0=27=167,0=36=167,0=47=1113,0=28=470,0=37=470
477,0=27=167,0=36=167,0=47=1115,0=28=470,0=37=470
478,0=27=168,0=36=168,0=47=1117,0=28=470,0=37=470
479,0=27=168,0=36=168,0=47=1119,0=28=470,0=37=470
480,0=27=168,0=36=168,0=47=1120,0=28=470,0=37=470
481,0=27=169,0=36=169,0=47=1122,0=28=470,0=37=470
482,0=27=169,0=36=169,0=47=1124,0=28=470,0=37=470
483,0=27=169,0=36=169,0=47=1126,0=28=470,0=37=470
484,0=27=169,0=36=169,0=47=1128,0=28=470,0=37=470
485,0=27=170,0=36=170,0=47=1130,0=28=480,0=37=480
486,0=27=170,0=36=170,0=47=1132,0=28=480,0=37=480
487,0=27=170,0=36=170,0=47=1134,0=28=480,0=37=480
488,0=27=171,0=36=171,0=47=1135,0=28=480,0=37=480
489,0=27=171,0=36=171,0=47=1137,0=28=480,0=37=480
490,0=27=171,0=36=171,0=47=1139,0=28=480,0=37=480
491,0=27=171,0=36=171,0=47=1141,0=28=480,0=37=480
492,0=27=172,0=36=172,0=47=1143,0=28=480,0=37=480
493,0=27=172,0=36=172,0=47=1145,0=28=480,0=37=480
494,0=27=172,0=36=172,0=47=1147,0=28=480,0=37=480
495,0=27=172,0=36=172,0=47=1148,0=28=480,0=37=480
496,0=27=173,0=36=173,0=47=1150,0=28=480,0=37=480
497,0=27=173,0=36=173,0=47=1152,0=28=480,0=37=480
498,0=27=173,0=36=173,0=47=1154,0=28=490,0=37=490
499,0=27=174,0=36=174,0=47=1156,0=28=490,0=37=490
500,0=27=174,0=36=174,0=47=1158,0=28=490,0=37=490
501,0=27=174,0=36=174,0=47=1160,0=28=490,0=37=490
502,0=27=174,0=36=174,0=47=1162,0=28=490,0=37=490
503,0=27=175,0=36=175,0=47=1163,0=28=490,0=37=490
504,0=27=175,0=36=175,0=47=1165,0=28=490,0=37=490
505,0=27=175,0=36=175,0=47=1167,0=28=490,0=37=490
506,0=27=176,0=36=176,0=47=1169,0=28=490,0=37=490
507,0=27=176,0=36=176,0=47=1171,0=28=490,0=37=490
508,0=27=176,0=36=176,0=47=1173,0=28=490,0=37=490
509,0=27=176,0=36=176,0=47=1175,0=28=490,0=37=490
510,0=27=177,0=36=177,0=47=1176,0=28=490,0=37=490
511,0=27=177,0=36=177,0=47=1178,0=28=500,0=37=500
512,0=27=177,0=36=177,0=47=1180,0=28=500,0=37=500
513,0=27=178,0=36=178,0=47=1182,0=28=500,0=37=500
514,0=27=178,0=36=178,0=47=1184,0=28=500,0=37=500
515,0=27=178,0=36=178,0=47=1186,0=28=500,0=37=500
516,0=27=178,0=36=178,0=47=1188,0=28=500,0=37=500
517,0=27=179,0=36=179,0=47=1190,0=28=500,0=37=500
518,0=27=179,0=36=179,0=47=1191,0=28=500,0=37=500
519,0=27=179,0=36=179,0=47=1193,0=28=500,0=37=500
520,0=27=180,0=36=180,0=47=1195,0=28=500,0=37=500
521,0=27=180,0=36=180,0=47=1197,0=28=500,0=37=500
522,0=27=180,0=36=180,0=47=1199,0=28=500,0=37=500
523,0=27=180,0=36=180,0=47=1201,0=28=510,0=37=510
524,0=27=181,0=36=181,0=47=1203,0=28=510,0=37=510
525,0=27=181,0=36=181,0=47=1204,0=28=510,0=37=510
526,0=27=181,0=36=181,0=47=1206,0=28=510,0=37=510
527,0=27=182,0=36=182,0=47=1208,0=28=510,0=37=510
528,0=27=182,0=36=182,0=47=1210,0=28=510,0=37=510
529,0=27=182,0=36=182,0=47=1212,0=28=510,0=37=510
530,0=27=182,0=36=182,0=47=1214,0=28=510,0=37=510
531,0=27=183,0=36=183,0=47=1216,0=28=510,0=37=510
532,0=27=183,0=36=183,0=47=1218,0=28=510,0=37=510
533,0=27=183,0=36=183,0=47=1219,0=28=510,0=37=510
534,0=27=183,0=36=183,0=47=1221,0=28=510,0=37=510
535,0=27=184,0=36=184,0=47=1223,0=28=510,0=37=510
536,0=27=184,0=36=184,0=47=1225,0=28=520,0=37=520
537,0=27=184,0=36=184,0=47=1227,0=28=520,0=37=520
538,0=27=185,0=36=185,0=47=1229,0=28=520,0=37=520
539,0=27=185,0=36=185,0=47=1231,0=28=520,0=37=520
540,0=27=185,0=36=185,0=47=1232,0=28=520,0=37=520
541,0=27=185,0=36=185,0=47=1234,0=28=520,0=37=520
542,0=27=186,0=36=186,0=47=1236,0=28=520,0=37=520
543,0=27=186,0=36=186,0=47=1238,0=28=520,0=37=520
544,0=27=186,0=36=186,0=47=1240,0=28=520,0=37=520
545,0=27=187,0=36=187,0=47=1242,0=28=520,0=37=520
546,0=27=187,0=36=187,0=47=1244,0=28=520,0=37=520
547,0=27=187,0=36=187,0=47=1246,0=28=520,0=37=520
548,0=27=187,0=36=187,0=47=1247,0=28=520,0=37=520
549,0=27=188,0=36=188,0=47=1249,0=28=530,0=37=530
550,0=27=188,0=36=188,0=47=1251,0=28=530,0=37=530
551,0=27=188,0=36=188,0=47=1253,0=28=530,0=37=530
552,0=27=189,0=36=189,0=47=1255,0=28=530,0=37=530
553,0=27=189,0=36=189,0=47=1257,0=28=530,0=37=530
554,0=27=189,0=36=189,0=47=1259,0=28=530,0=37=530
555,0=27=189,0=36=189,0=47=1260,0=28=530,0=37=530
556,0=27=190,0=36=190,0=47=1262,0=28=530,0=37=530
557,0=27=190,0=36=190,0=47=1264,0=28=530,0=37=530
558,0=27=190,0=36=190,0=47=1266,0=28=530,0=37=530
559,0=27=191,0=36=191,0=47=1268,0=28=530,0=37=530
560,0=27=191,0=36=191,0=47=1270,0=28=530,0=37=530
561,0=27=191,0=36=191,0=47=1272,0=28=530,0=37=530
562,0=27=191,0=36=191,0=47=1274,0=28=540,0=37=540
563,0=27=192,0=36=192,0=47=1275,0=28=540,0=37=540
564,0=27=192,0=36=192,0=47=1277,0=28=540,0=37=540
565,0=27=192,0=36=192,0=47=1279,0=28=540,0=37=540
566,0=27=193,0=36=193,0=47=1281,0=28=540,0=37=540
567,0=27=193,0=36=193,0=47=1283,0=28=540,0=37=540
568,0=27=193,0=36=193,0=47=1285,0=28=540,0=37=540
569,0=27=193,0=36=193,0=47=1287,0=28=540,0=37=540
570,0=27=194,0=36=194,0=47=1288,0=28=540,0=37=540
571,0=27=194,0=36=194,0=47=1290,0=28=540,0=37=540
572,0=27=194,0=36=194,0=47=1292,0=28=540,0=37=540
573,0=27=194,0=36=194,0=47=1294,0=28=540,0=37=540
574,0=27=195,0=36=195,0=47=1296,0=28=540,0=37=540
575,0=27=195,0=36=195,0=47=1298,0=28=550,0=37=550
576,0=27=195,0=36=195,0=47=1300,0=28=550,0=37=550
577,0=27=196,0=36=196,0=47=1302,0=28=550,0=37=550
578,0=27=196,0=36=196,0=47=1303,0=28=550,0=37=550
579,0=27=196,0=36=196,0=47=1305,0=28=550,0=37=550
580,0=27=196,0=36=196,0=47=1307,0=28=550,0=37=550
581,0=27=197,0=36=197,0=47=1309,0=28=550,0=37=550
582,0=27=197,0=36=197,0=47=1311,0=28=550,0=37=550
583,0=27=197,0=36=197,0=47=1313,0=28=550,0=37=550
584,0=27=198,0=36=198,0=47=1315,0=28=550,0=37=550
585,0=27=198,0=36=198,0=47=1316,0=28=550,0=37=550
586,0=27=198,0=36=198,0=47=1318,0=28=550,0=37=550
587,0=27=198,0=36=198,0=47=1320,0=28=550,0=37=550
588,0=27=199,0=36=199,0=47=1322,0=28=560,0=37=560
589,0=27=199,0=36=199,0=47=1324,0=28=560,0=37=560
590,0=27=199,0=36=199,0=47=1326,0=28=560,0=37=560
591,0=27=200,0=36=200,0=47=1328,0=28=560,0=37=560
592,0=27=200,0=36=200,0=47=1330,0=28=560,0=37=560
593,0=27=200,0=36=200,0=47=1331,0=28=560,0=37=560
594,0=27=200,0=36=200,0=47=1333,0=28=560,0=37=560
595,0=27=201,0=36=201,0=47=1335,0=28=560,0=37=560
596,0=27=201,0=36=201,0=47=1337,0=28=560,0=37=560
597,0=27=201,0=36=201,0=47=1339,0=28=560,0=37=560
598,0=27=202,0=36=202,0=47=1341,0=28=560,0=37=560
599,0=27=202,0=36=202,0=47=1343,0=28=560,0=37=560
600,0=27=202,0=36=202,0=47=1344,0=28=560,0=37=560
601,0=27=202,0=36=202,0=47=1346,0=28=570,0=37=570
602,0=27=202,0=36=202,0=47=1347,0=28=570,0=37=570
603,0=27=203,0=36=203,0=47=1348,0=28=570,0=37=570
604,0=27=203,0=36=203,0=47=1349,0=28=570,0=37=570
605,0=27=203,0=36=203,0=47=1350,0=28=570,0=37=570
606,0=27=203,0=36=203,0=47=1351,0=28=570,0=37=570
607,0=27=203,0=36=203,0=47=1352,0=28=570,0=37=570
608,0=27=203,0=36=203,0=47=1353,0=28=570,0=37=570
609,0=27=204,0=36=204,0=47=1355,0=28=570,0=37=570
610,0=27=204,0=36=204,0=47=1356,0=28=570,0=37=570
611,0=27=204,0=36=204,0=47=1357,0=28=570,0=37=570
612,0=27=204,0=36=204,0=47=1358,0=28=570,0=37=570
613,0=27=204,0=36=204,0=47=1359,0=28=570,0=37=570
614,0=27=204,0=36=204,0=47=1360,0=28=570,0=37=570
615,0=27=205,0=36=205,0=47=1361,0=28=570,0=37=570
616,0=27=205,0=36=205,0=47=1362,0=28=570,0=37=570
617,0=27=205,0=36=205,0=47=1364,0=28=570,0=37=570
618,0=27=205,0=36=205,0=47=1365,0=28=570,0=37=570
619,0=27=205,0=36=205,0=47=1366,0=28=570,0=37=570
620,0=27=205,0=36=205,0=47=1367,0=28=570,0=37=570
621,0=27=206,0=36=206,0=47=1368,0=28=570,0=37=570
622,0=27=206,0=36=206,0=47=1369,0=28=580,0=37=580
623,0=27=206,0=36=206,0=47=1370,0=28=580,0=37=580
624,0=27=206,0=36=206,0=47=1371,0=28=580,0=37=580
625,0=27=206,0=36=206,0=47=1372,0=28=580,0=37=580
626,0=27=206,0=36=206,0=47=1374,0=28=580,0=37=580
627,0=27=207,0=36=207,0=47=1375,0=28=580,0=37=580
628,0=27=207,0=36=207,0=47=1376,0=28=580,0=37=580
629,0=27=207,0=36=207,0=47=1377,0=28=580,0=37=580
630,0=27=207,0=36=207,0=47=1378,0=28=580,0=37=580
631,0=27=207,0=36=207,0=47=1379,0=28=580,0=37=580
632,0=27=207,0=36=207,0=47=1380,0=28=580,0=37=580
633,0=27=208,0=36=208,0=47=1381,0=28=580,0=37=580
634,0=27=208,0=36=208,0=47=1383,0=28=580,0=37=580
635,0=27=208,0=36=208,0=47=1384,0=28=580,0=37=580
636,0=27=208,0=36=208,0=47=1385,0=28=580,0=37=580
637,0=27=208,0=36=208,0=47=1386,0=28=580,0=37=580
638,0=27=208,0=36=208,0=47=1387,0=28=580,0=37=580
639,0=27=209,0=36=209,0=47=1388,0=28=580,0=37=580
640,0=27=209,0=36=209,0=47=1389,0=28=580,0=37=580
641,0=27=209,0=36=209,0=47=1390,0=28=580,0=37=580
642,0=27=209,0=36=209,0=47=1392,0=28=580,0=37=580
643,0=27=209,0=36=209,0=47=1393,0=28=590,0=37=590
644,0=27=209,0=36=209,0=47=1394,0=28=590,0=37=590
645,0=27=210,0=36=210,0=47=1395,0=28=590,0=37=590
646,0=27=210,0=36=210,0=47=1396,0=28=590,0=37=590
647,0=27=210,0=36=210,0=47=1397,0=28=590,0=37=590
648,0=27=210,0=36=210,0=47=1398,0=28=590,0=37=590
649,0=27=210,0=36=210,0=47=1399,0=28=590,0=37=590
650,0=27=210,0=36=210,0=47=1400,0=28=590,0=37=590
651,0=27=211,0=36=211,0=47=1402,0=28=590,0=37=590
652,0=27=211,0=36=211,0=47=1403,0=28=590,0=37=590
653,0=27=211,0=36=211,0=47=1404,0=28=590,0=37=590
654,0=27=211,0=36=211,0=47=1405,0=28=590,0=37=590
655,0=27=211,0=36=211,0=47=1406,0=28=590,0=37=590
656,0=27=212,0=36=212,0=47=1407,0=28=590,0=37=590
657,0=27=212,0=36=212,0=47=1408,0=28=590,0=37=590
658,0=27=212,0=36=212,0=47=1409,0=28=590,0=37=590
659,0=27=212,0=36=212,0=47=1411,0=28=590,0=37=590
660,0=27=212,0=36=212,0=47=1412,0=28=590,0=37=590
661,0=27=212,0=36=212,0=47=1413,0=28=590,0=37=590
662,0=27=213,0=36=213,0=47=1414,0=28=590,0=37=590
663,0=27=213,0=36=213,0=47=1415,0=28=590,0=37=590
664,0=27=213,0=36=213,0=47=1416,0=28=590,0=37=590
665,0=27=213,0=36=213,0=47=1417,0=28=600,0=37=600
666,0=27=213,0=36=213,0=47=1418,0=28=600,0=37=600
667,0=27=213,0=36=213,0=47=1420,0=28=600,0=37=600
668,0=27=214,0=36=214,0=47=1421,0=28=600,0=37=600
669,0=27=214,0=36=214,0=47=1422,0=28=600,0=37=600
670,0=27=214,0=36=214,0=47=1423,0=28=600,0=37=600
671,0=27=214,0=36=214,0=47=1424,0=28=600,0=37=600
672,0=27=214,0=36=214,0=47=1425,0=28=600,0=37=600
673,0=27=214,0=36=214,0=47=1426,0=28=600,0=37=600
674,0=27=215,0=36=215,0=47=1427,0=28=600,0=37=600
675,0=27=215,0=36=215,0=47=1428,0=28=600,0=37=600
676,0=27=215,0=36=215,0=47=1430,0=28=600,0=37=600
677,0=27=215,0=36=215,0=47=1431,0=28=600,0=37=600
678,0=27=215,0=36=215,0=47=1432,0=28=600,0=37=600
679,0=27=215,0=36=215,0=47=1433,0=28=600,0=37=600
680,0=27=216,0=36=216,0=47=1434,0=28=600,0=37=600
681,0=27=216,0=36=216,0=47=1435,0=28=600,0=37=600
682,0=27=216,0=36=216,0=47=1436,0=28=600,0=37=600
683,0=27=216,0=36=216,0=47=1437,0=28=600,0=37=600
684,0=27=216,0=36=216,0=47=1439,0=28=600,0=37=600
685,0=27=216,0=36=216,0=47=1440,0=28=600,0=37=600
686,0=27=217,0=36=217,0=47=1441,0=28=610,0=37=610
687,0=27=217,0=36=217,0=47=1442,0=28=610,0=37=610
688,0=27=217,0=36=217,0=47=1443,0=28=610,0=37=610
689,0=27=217,0=36=217,0=47=1444,0=28=610,0=37=610
690,0=27=217,0=36=217,0=47=1445,0=28=610,0=37=610
691,0=27=217,0=36=217,0=47=1446,0=28=610,0=37=610
692,0=27=218,0=36=218,0=47=1448,0=28=610,0=37=610
693,0=27=218,0=36=218,0=47=1449,0=28=610,0=37=610
694,0=27=218,0=36=218,0=47=1450,0=28=610,0=37=610
695,0=27=218,0=36=218,0=47=1451,0=28=610,0=37=610
696,0=27=218,0=36=218,0=47=1452,0=28=610,0=37=610
697,0=27=218,0=36=218,0=47=1453,0=28=610,0=37=610
698,0=27=219,0=36=219,0=47=1454,0=28=610,0=37=610
699,0=27=219,0=36=219,0=47=1455,0=28=610,0=37=610
700,0=27=219,0=36=219,0=47=1456,0=28=610,0=37=610
701,0=27=219,0=36=219,0=47=1458,0=28=610,0=37=610
702,0=27=219,0=36=219,0=47=1459,0=28=610,0=37=610
703,0=27=219,0=36=219,0=47=1460,0=28=610,0=37=610
704,0=27=220,0=36=220,0=47=1461,0=28=610,0=37=610
705,0=27=220,0=36=220,0=47=1462,0=28=610,0=37=610
706,0=27=220,0=36=220,0=47=1463,0=28=610,0=37=610
707,0=27=220,0=36=220,0=47=1464,0=28=610,0=37=610
708,0=27=220,0=36=220,0=47=1465,0=28=620,0=37=620
709,0=27=220,0=36=220,0=47=1467,0=28=620,0=37=620
710,0=27=221,0=36=221,0=47=1468,0=28=620,0=37=620
711,0=27=221,0=36=221,0=47=1469,0=28=620,0=37=620
712,0=27=221,0=36=221,0=47=1470,0=28=620,0=37=620
713,0=27=221,0=36=221,0=47=1471,0=28=620,0=37=620
714,0=27=221,0=36=221,0=47=1472,0=28=620,0=37=620
715,0=27=221,0=36=221,0=47=1473,0=28=620,0=37=620
716,0=27=222,0=36=222,0=47=1474,0=28=620,0=37=620
717,0=27=222,0=36=222,0=47=1476,0=28=620,0=37=620
718,0=27=222,0=36=222,0=47=1477,0=28=620,0=37=620
719,0=27=222,0=36=222,0=47=1478,0=28=620,0=37=620
720,0=27=222,0=36=222,0=47=1479,0=28=620,0=37=620
721,0=27=222,0=36=222,0=47=1480,0=28=620,0=37=620
722,0=27=223,0=36=223,0=47=1481,0=28=620,0=37=620
723,0=27=223,0=36=223,0=47=1482,0=28=620,0=37=620
724,0=27=223,0=36=223,0=47=1483,0=28=620,0=37=620
725,0=27=223,0=36=223,0=47=1484,0=28=620,0=37=620
726,0=27=223,0=36=223,0=47=1486,0=28=620,0=37=620
727,0=27=223,0=36=223,0=47=1487,0=28=620,0=37=620
728,0=27=224,0=36=224,0=47=1488,0=28=620,0=37=620
729,0=27=224,0=36=224,0=47=1489,0=28=630,0=37=630
730,0=27=224,0=36=224,0=47=1490,0=28=630,0=37=630
731,0=27=224,0=36=224,0=47=1491,0=28=630,0=37=630
732,0=27=224,0=36=224,0=47=1492,0=28=630,0=37=630
733,0=27=224,0=36=224,0=47=1493,0=28=630,0=37=630
734,0=27=225,0=36=225,0=47=1495,0=28=630,0=37=630
735,0=27=225,0=36=225,0=47=1496,0=28=630,0=37=630
736,0=27=225,0=36=225,0=47=1497,0=28=630,0=37=630
737,0=27=225,0=36=225,0=47=1498,0=28=630,0=37=630
738,0=27=225,0=36=225,0=47=1499,0=28=630,0=37=630
739,0=27=225,0=36=225,0=47=1500,0=28=630,0=37=630
740,0=27=226,0=36=226,0=47=1501,0=28=630,0=37=630
741,0=27=226,0=36=226,0=47=1502,0=28=630,0=37=630
742,0=27=226,0=36=226,0=47=1504,0=28=630,0=37=630
743,0=27=226,0=36=226,0=47=1505,0=28=630,0=37=630
744,0=27=226,0=36=226,0=47=1506,0=28=630,0=37=630
745,0=27=226,0=36=226,0=47=1507,0=28=630,0=37=630
746,0=27=227,0=36=227,0=47=1508,0=28=630,0=37=630
747,0=27=227,0=36=227,0=47=1509,0=28=630,0=37=630
748,0=27=227,0=36=227,0=47=1510,0=28=630,0=37=630
749,0=27=227,0=36=227,0=47=1511,0=28=630,0=37=630
750,0=27=227,0=36=227,0=47=1512,0=28=630,0=37=630
751,0=27=227,0=36=227,0=47=1514,0=28=640,0=37=640
752,0=27=228,0=36=228,0=47=1515,0=28=640,0=37=640
753,0=27=228,0=36=228,0=47=1516,0=28=640,0=37=640
754,0=27=228,0=36=228,0=47=1517,0=28=640,0=37=640
755,0=27=228,0=36=228,0=47=1518,0=28=640,0=37=640
756,0=27=228,0=36=228,0=47=1519,0=28=640,0=37=640
757,0=27=228,0=36=228,0=47=1520,0=28=640,0=37=640
758,0=27=229,0=36=229,0=47=1521,0=28=640,0=37=640
759,0=27=229,0=36=229,0=47=1523,0=28=640,0=37=640
760,0=27=229,0=36=229,0=47=1524,0=28=640,0=37=640
761,0=27=229,0=36=229,0=47=1525,0=28=640,0=37=640
762,0=27=229,0=36=229,0=47=1526,0=28=640,0=37=640
763,0=27=229,0=36=229,0=47=1527,0=28=640,0=37=640
764,0=27=230,0=36=230,0=47=1528,0=28=640,0=37=640
765,0=27=230,0=36=230,0=47=1529,0=28=640,0=37=640
766,0=27=230,0=36=230,0=47=1530,0=28=640,0=37=640
767,0=27=230,0=36=230,0=47=1532,0=28=640,0=37=640
768,0=27=230,0=36=230,0=47=1533,0=28=640,0=37=640
769,0=27=230,0=36=230,0=47=1534,0=28=640,0=37=640
770,0=27=231,0=36=231,0=47=1535,0=28=640,0=37=640
771,0=27=231,0=36=231,0=47=1536,0=28=640,0=37=640
772,0=27=231,0=36=231,0=47=1537,0=28=650,0=37=650
773,0=27=231,0=36=231,0=47=1538,0=28=650,0=37=650
774,0=27=231,0=36=231,0=47=1539,0=28=650,0=37=650
775,0=27=231,0=36=231,0=47=1540,0=28=650,0=37=650
776,0=27=232,0=36=232,0=47=1542,0=28=650,0=37=650
777,0=27=232,0=36=232,0=47=1543,0=28=650,0=37=650
778,0=27=232,0=36=232,0=47=1544,0=28=650,0=37=650
779,0=27=232,0=36=232,0=47=1545,0=28=650,0=37=650
780,0=27=232,0=36=232,0=47=1546,0=28=650,0=37=650
781,0=27=233,0=36=233,0=47=1547,0=28=650,0=37=650
782,0=27=233,0=36=233,0=47=1548,0=28=650,0=37=650
783,0=27=233,0=36=233,0=47=1549,0=28=650,0=37=650
784,0=27=233,0=36=233,0=47=1551,0=28=650,0=37=650
785,0=27=233,0=36=233,0=47=1552,0=28=650,0=37=650
786,0=27=233,0=36=233,0=47=1553,0=28=650,0=37=650
787,0=27=234,0=36=234,0=47=1554,0=28=650,0=37=650
788,0=27=234,0=36=234,0=47=1555,0=28=650,0=37=650
789,0=27=234,0=36=234,0=47=1556,0=28=650,0=37=650
790,0=27=234,0=36=234,0=47=1557,0=28=650,0=37=650
791,0=27=234,0=36=234,0=47=1558,0=28=650,0=37=650
792,0=27=234,0=36=234,0=47=1560,0=28=650,0=37=650
793,0=27=235,0=36=235,0=47=1561,0=28=660,0=37=660
794,0=27=235,0=36=235,0=47=1562,0=28=660,0=37=660
795,0=27=235,0=36=235,0=47=1563,0=28=660,0=37=660
796,0=27=235,0=36=235,0=47=1564,0=28=660,0=37=660
797,0=27=235,0=36=235,0=47=1565,0=28=660,0=37=660
798,0=27=235,0=36=235,0=47=1566,0=28=660,0=37=660
799,0=27=236,0=36=236,0=47=1567,0=28=660,0=37=660
800,0=27=236,0=36=236,0=47=1568,0=28=660,0=37=660
801,0=27=236,0=36=236,0=47=1570,0=28=660,0=37=660
802,0=27=236,0=36=236,0=47=1571,0=28=660,0=37=660
803,0=27=236,0=36=236,0=47=1572,0=28=660,0=37=660
804,0=27=236,0=36=236,0=47=1573,0=28=660,0=37=660
805,0=27=237,0=36=237,0=47=1574,0=28=660,0=37=660
806,0=27=237,0=36=237,0=47=1575,0=28=660,0=37=660
807,0=27=237,0=36=237,0=47=1576,0=28=660,0=37=660
808,0=27=237,0=36=237,0=47=1577,0=28=660,0=37=660
809,0=27=237,0=36=237,0=47=1579,0=28=660,0=37=660
810,0=27=237,0=36=237,0=47=1580,0=28=660,0=37=660
811,0=27=238,0=36=238,0=47=1581,0=28=660,0=37=660
812,0=27=238,0=36=238,0=47=1582,0=28=660,0=37=660
813,0=27=238,0=36=238,0=47=1583,0=28=660,0=37=660
814,0=27=238,0=36=238,0=47=1584,0=28=660,0=37=660
815,0=27=238,0=36=238,0=47=1585,0=28=670,0=37=670
816,0=27=238,0=36=238,0=47=1586,0=28=670,0=37=670
817,0=27=239,0=36=239,0=47=1588,0=28=670,0=37=670
818,0=27=239,0=36=239,0=47=1589,0=28=670,0=37=670
819,0=27=239,0=36=239,0=47=1590,0=28=670,0=37=670
820,0=27=239,0=36=239,0=47=1591,0=28=670,0=37=670
821,0=27=239,0=36=239,0=47=1592,0=28=670,0=37=670
822,0=27=239,0=36=239,0=47=1593,0=28=670,0=37=670
823,0=27=240,0=36=240,0=47=1594,0=28=670,0=37=670
824,0=27=240,0=36=240,0=47=1595,0=28=670,0=37=670
825,0=27=240,0=36=240,0=47=1596,0=28=670,0=37=670
826,0=27=240,0=36=240,0=47=1598,0=28=670,0=37=670
827,0=27=240,0=36=240,0=47=1599,0=28=670,0=37=670
828,0=27=240,0=36=240,0=47=1600,0=28=670,0=37=670
829,0=27=241,0=36=241,0=47=1601,0=28=670,0=37=670
830,0=27=241,0=36=241,0=47=1602,0=28=670,0=37=670
831,0=27=241,0=36=241,0=47=1603,0=28=670,0=37=670
832,0=27=241,0=36=241,0=47=1604,0=28=670,0=37=670
833,0=27=241,0=36=241,0=47=1605,0=28=670,0=37=670
834,0=27=241,0=36=241,0=47=1607,0=28=670,0=37=670
835,0=27=242,0=36=242,0=47=1608,0=28=670,0=37=670
836,0=27=242,0=36=242,0=47=1609,0=28=680,0=37=680
837,0=27=242,0=36=242,0=47=1610,0=28=680,0=37=680
838,0=27=242,0=36=242,0=47=1611,0=28=680,0=37=680
839,0=27=242,0=36=242,0=47=1612,0=28=680,0=37=680
840,0=27=242,0=36=242,0=47=1613,0=28=680,0=37=680
841,0=27=243,0=36=243,0=47=1614,0=28=680,0=37=680
842,0=27=243,0=36=243,0=47=1616,0=28=680,0=37=680
843,0=27=243,0=36=243,0=47=1617,0=28=680,0=37=680
844,0=27=243,0=36=243,0=47=1618,0=28=680,0=37=680
845,0=27=243,0=36=243,0=47=1619,0=28=680,0=37=680
846,0=27=243,0=36=243,0=47=1620,0=28=680,0=37=680
847,0=27=244,0=36=244,0=47=1621,0=28=680,0=37=680
848,0=27=244,0=36=244,0=47=1622,0=28=680,0=37=680
849,0=27=244,0=36=244,0=47=1623,0=28=680,0=37=680
850,0=27=244,0=36=244,0=47=1624,0=28=680,0=37=680
851,0=27=244,0=36=244,0=47=1626,0=28=680,0=37=680
852,0=27=244,0=36=244,0=47=1627,0=28=680,0=37=680
853,0=27=245,0=36=245,0=47=1628,0=28=680,0=37=680
854,0=27=245,0=36=245,0=47=1629,0=28=680,0=37=680
855,0=27=245,0=36=245,0=47=1630,0=28=680,0=37=680
