Id,SkillUuid,Level,NameDesign,Desc,Name,IsIP,TargetType,SkillTargetRangeType,SkillRangeType,SkillHatedType,SkillType,SkillDamType,IsAffectedASPD,ASPDPercent,IsAffectedASPDExtra,IsAoe,PushInterupt,SkillAttr,IsKnockBack,Length,IsRangeAttrImpact,IsRangeWeaponAttrImpact,WeaponTypeLimit,SecondWeaponTypeLimit,Limits,IsDisableCD,EffectExIDs,SkillPanelPos,SpePreSkillRequired,LinkAutoAtack,IsChangeColor,ChangeColor,InteruptSkill,IsUseArrow,IconEx,LimitScene,LimitSceneType,NeedEffectRange,IsEffectExStandalone,IsPassive,AutoBattlePRI,SkillEffectElementEnergy,EnergyTips,AnimationType,SingingAnimation,PreSkillRequired,SkillTypeIcon,Atlas,Icon,SkillDataPath,AITreeName,SkillDesc,SkillDescAdd,SimpleSkillDesc,ActiveCardDesc,AllowUI,LocalizationArea,Skill_Text,SkillID,SkillEffectNum,AttackCount,CreateBuff,PVEDamageRadio,PVEStaticDam,PVEFloatSingingTime,PVEFixSingingTime,PVECoolTime,PVEGroupCoolTimeType,PVEGroupCoolTime,PVPDamageRadio,PVPStaticDam,PVPFloatSingingTime,PVPFixSingingTime,PVPCoolTime,PVPGroupCoolTimeType,PVPGroupCoolTime,LowRange,FarRange,HatredToTarget,HatredPercentToTarget,HatredToMe,HatredPercentToMe,SkillCost,SkillElementEnergy,BattleVehicle,EffectShape,EffectRange,BreakHiding,AshByLua,CostDesc,SkillDescRep,CreateGroupBuff,Hatredcoefficient,SkillTriggerID,PVEConfigData,PVPConfigData,ServerUUIDData,CostSpiritSpheres,ScriptParameter,SkillScriptPrefix,SkillScriptPostfix,SkillGroupID
50001801,500018,1,毒性爆发,,毒性爆发,0,4,2,0,1,0,1,0,,0,1,1,5,0,0,,,,,,0,,,,1,0,,,,,,,1,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_duxingbaofa.png,Player_Thief,AutoBattle_Player_Thief_DuXingBaoFa,在指定区域内释放毒雾，对范围内最多10只魔物造成<color=$$Yellow$$>{0}</color>%毒属性物理伤害，若毒雾内有任意目标附带【施毒】的中毒效果，则范围内所有最多10只魔物都获得<color=$$Yellow$$>Lv{1}</color>【施毒】的中毒效果，效果持续<color=$$Yellow$$>{2}</color>秒,,,,,,盗贼,500018,1,10|10|1,301301=0|301301=0|301301=10000,0|11000|0,,0,0,0,1,2,0|11000|0,,0,0,0,1,1,0,5,100,,,,7=20,,0,1,2,,0,,110|1|10,,,,,,Player_Thief|Player_Thief_DuXingBaoFa|0|0|0,,,Player_Thief_DuXingBaoFa,,500018
50001802,500018,2,毒性爆发,,毒性爆发,0,4,2,0,1,0,1,0,,0,1,1,5,0,0,,,,,,0,,,,1,0,,,,,,,1,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_duxingbaofa.png,Player_Thief,AutoBattle_Player_Thief_DuXingBaoFa,在指定区域内释放毒雾，对范围内最多10只魔物造成<color=$$Yellow$$>{0}</color>%毒属性物理伤害，若毒雾内有任意目标附带【施毒】的中毒效果，则范围内所有最多10只魔物都获得<color=$$Yellow$$>Lv{1}</color>【施毒】的中毒效果，效果持续<color=$$Yellow$$>{2}</color>秒,,,,,,盗贼,500018,1,10|10|1,301301=0|301301=0|301301=10000,0|12000|0,,0,0,0,1,2,0|12000|0,,0,0,0,1,1,0,5,100,,,,7=20,,0,1,2,,0,,120|2|12,,,,,,Player_Thief|Player_Thief_DuXingBaoFa|0|0|0,,,Player_Thief_DuXingBaoFa,,500018
50001803,500018,3,毒性爆发,,毒性爆发,0,4,2,0,1,0,1,0,,0,1,1,5,0,0,,,,,,0,,,,1,0,,,,,,,1,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_duxingbaofa.png,Player_Thief,AutoBattle_Player_Thief_DuXingBaoFa,在指定区域内释放毒雾，对范围内最多10只魔物造成<color=$$Yellow$$>{0}</color>%毒属性物理伤害，若毒雾内有任意目标附带【施毒】的中毒效果，则范围内所有最多10只魔物都获得<color=$$Yellow$$>Lv{1}</color>【施毒】的中毒效果，效果持续<color=$$Yellow$$>{2}</color>秒,,,,,,盗贼,500018,1,10|10|1,301301=0|301301=0|301301=10000,0|13000|0,,0,0,0,1,2,0|13000|0,,0,0,0,1,1,0,5,100,,,,7=20,,0,1,2,,0,,130|3|14,,,,,,Player_Thief|Player_Thief_DuXingBaoFa|0|0|0,,,Player_Thief_DuXingBaoFa,,500018
50001804,500018,4,毒性爆发,,毒性爆发,0,4,2,0,1,0,1,0,,0,1,1,5,0,0,,,,,,0,,,,1,0,,,,,,,1,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_duxingbaofa.png,Player_Thief,AutoBattle_Player_Thief_DuXingBaoFa,在指定区域内释放毒雾，对范围内最多10只魔物造成<color=$$Yellow$$>{0}</color>%毒属性物理伤害，若毒雾内有任意目标附带【施毒】的中毒效果，则范围内所有最多10只魔物都获得<color=$$Yellow$$>Lv{1}</color>【施毒】的中毒效果，效果持续<color=$$Yellow$$>{2}</color>秒,,,,,,盗贼,500018,1,10|10|1,301301=0|301301=0|301301=10000,0|14000|0,,0,0,0,1,2,0|14000|0,,0,0,0,1,1,0,5,100,,,,7=20,,0,1,2,,0,,140|4|16,,,,,,Player_Thief|Player_Thief_DuXingBaoFa|0|0|0,,,Player_Thief_DuXingBaoFa,,500018
50001805,500018,5,毒性爆发,,毒性爆发,0,4,2,0,1,0,1,0,,0,1,1,5,0,0,,,,,,0,,,,1,0,,,,,,,1,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_duxingbaofa.png,Player_Thief,AutoBattle_Player_Thief_DuXingBaoFa,在指定区域内释放毒雾，对范围内最多10只魔物造成<color=$$Yellow$$>{0}</color>%毒属性物理伤害，若毒雾内有任意目标附带【施毒】的中毒效果，则范围内所有最多10只魔物都获得<color=$$Yellow$$>Lv{1}</color>【施毒】的中毒效果，效果持续<color=$$Yellow$$>{2}</color>秒,,,,,,盗贼,500018,1,10|10|1,301301=0|301301=0|301301=10000,0|15000|0,,0,0,0,1,2,0|15000|0,,0,0,0,1,1,0,5,100,,,,7=20,,0,1,2,,0,,150|5|18,,,,,,Player_Thief|Player_Thief_DuXingBaoFa|0|0|0,,,Player_Thief_DuXingBaoFa,,500018
50001806,500018,6,毒性爆发,,毒性爆发,0,4,2,0,1,0,1,0,,0,1,1,5,0,0,,,,,,0,,,,1,0,,,,,,,1,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_duxingbaofa.png,Player_Thief,AutoBattle_Player_Thief_DuXingBaoFa,在指定区域内释放毒雾，对范围内最多10只魔物造成<color=$$Yellow$$>{0}</color>%毒属性物理伤害，若毒雾内有任意目标附带【施毒】的中毒效果，则范围内所有最多10只魔物都获得<color=$$Yellow$$>Lv{1}</color>【施毒】的中毒效果，效果持续<color=$$Yellow$$>{2}</color>秒,,,,,,盗贼,500018,1,10|10|1,301301=0|301301=0|301301=10000,0|16000|0,,0,0,0,1,2,0|16000|0,,0,0,0,1,1,0,5,100,,,,7=25,,0,1,2,,0,,160|6|20,,,,,,Player_Thief|Player_Thief_DuXingBaoFa|0|0|0,,,Player_Thief_DuXingBaoFa,,500018
50001807,500018,7,毒性爆发,,毒性爆发,0,4,2,0,1,0,1,0,,0,1,1,5,0,0,,,,,,0,,,,1,0,,,,,,,1,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_duxingbaofa.png,Player_Thief,AutoBattle_Player_Thief_DuXingBaoFa,在指定区域内释放毒雾，对范围内最多10只魔物造成<color=$$Yellow$$>{0}</color>%毒属性物理伤害，若毒雾内有任意目标附带【施毒】的中毒效果，则范围内所有最多10只魔物都获得<color=$$Yellow$$>Lv{1}</color>【施毒】的中毒效果，效果持续<color=$$Yellow$$>{2}</color>秒,,,,,,盗贼,500018,1,10|10|1,301301=0|301301=0|301301=10000,0|17000|0,,0,0,0,1,2,0|17000|0,,0,0,0,1,1,0,5,100,,,,7=25,,0,1,2,,0,,170|7|22,,,,,,Player_Thief|Player_Thief_DuXingBaoFa|0|0|0,,,Player_Thief_DuXingBaoFa,,500018
50001808,500018,8,毒性爆发,,毒性爆发,0,4,2,0,1,0,1,0,,0,1,1,5,0,0,,,,,,0,,,,1,0,,,,,,,1,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_duxingbaofa.png,Player_Thief,AutoBattle_Player_Thief_DuXingBaoFa,在指定区域内释放毒雾，对范围内最多10只魔物造成<color=$$Yellow$$>{0}</color>%毒属性物理伤害，若毒雾内有任意目标附带【施毒】的中毒效果，则范围内所有最多10只魔物都获得<color=$$Yellow$$>Lv{1}</color>【施毒】的中毒效果，效果持续<color=$$Yellow$$>{2}</color>秒,,,,,,盗贼,500018,1,10|10|1,301301=0|301301=0|301301=10000,0|18000|0,,0,0,0,1,2,0|18000|0,,0,0,0,1,1,0,5,100,,,,7=25,,0,1,2,,0,,180|8|24,,,,,,Player_Thief|Player_Thief_DuXingBaoFa|0|0|0,,,Player_Thief_DuXingBaoFa,,500018
50001809,500018,9,毒性爆发,,毒性爆发,0,4,2,0,1,0,1,0,,0,1,1,5,0,0,,,,,,0,,,,1,0,,,,,,,1,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_duxingbaofa.png,Player_Thief,AutoBattle_Player_Thief_DuXingBaoFa,在指定区域内释放毒雾，对范围内最多10只魔物造成<color=$$Yellow$$>{0}</color>%毒属性物理伤害，若毒雾内有任意目标附带【施毒】的中毒效果，则范围内所有最多10只魔物都获得<color=$$Yellow$$>Lv{1}</color>【施毒】的中毒效果，效果持续<color=$$Yellow$$>{2}</color>秒,,,,,,盗贼,500018,1,10|10|1,301301=0|301301=0|301301=10000,0|19000|0,,0,0,0,1,2,0|19000|0,,0,0,0,1,1,0,5,100,,,,7=25,,0,1,2,,0,,190|9|26,,,,,,Player_Thief|Player_Thief_DuXingBaoFa|0|0|0,,,Player_Thief_DuXingBaoFa,,500018
50001810,500018,10,毒性爆发,,毒性爆发,0,4,2,0,1,0,1,0,,0,1,1,5,0,0,,,,,,0,,,,1,0,,,,,,,1,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_duxingbaofa.png,Player_Thief,AutoBattle_Player_Thief_DuXingBaoFa,在指定区域内释放毒雾，对范围内最多10只魔物造成<color=$$Yellow$$>{0}</color>%毒属性物理伤害，若毒雾内有任意目标附带【施毒】的中毒效果，则范围内所有最多10只魔物都获得<color=$$Yellow$$>Lv{1}</color>【施毒】的中毒效果，效果持续<color=$$Yellow$$>{2}</color>秒,,,,,,盗贼,500018,1,10|10|1,301301=0|301301=0|301301=10000,0|20000|0,,0,0,0,1,2,0|20000|0,,0,0,0,1,1,0,5,100,,,,7=25,,0,1,2,,0,,200|10|28,,,,,,Player_Thief|Player_Thief_DuXingBaoFa|0|0|0,,,Player_Thief_DuXingBaoFa,,500018
50001401,500014,1,黑暗瞬间（新手副本）,,黑暗瞬间,1,4,3,0,1,0,1,0,,0,1,1,0,1,0,,,,,,0,,,,1,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_HeiAnShunJian.png,Player_Thief,,,,,,,,新手副本（盗贼1）,500014,1,999,,65000,0,0,0,5,1,1,40000,0,0,0,5,1,1,0,5,1,,,,,,0,0,0,,0,,400,,,,,,Player_Thief|Player_Thief_HeiAnShunJian|0|0|0,,,Player_Thief_HeiAnShunJian,,500014
50001501,500015,1,音速投掷（新手副本）,,音速投掷,1,4,0,0,1,0,1,0,,0,0,1,0,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_YinSuTouZhi.png,Player_Thief,,,,,,,,新手副本（盗贼1）,500015,1,1,,80000,0,0,0,4,1,1,65000,0,0,0,3,1,1,0,1.5,1,,,,,,0,0,0,,0,,800,,,,,,Player_Thief|Player_Thief_YinSuTouZhi|0|0|0,,,Player_Thief_YinSuTouZhi,,500015
50001601,500016,1,深红切割（新手副本）,,深红切割,0,4,0,0,1,0,1,0,,0,0,1,0,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_ShenHongQieGe.png,Player_Thief,,,,,,,,新手副本（盗贼1）,500016,1,1,,140000,,0,0,5,1,1,140000,,0,0,5,1,1,0,3,1,,,,,,0,0,0,,0,,1400,,,,,,Player_Thief|Player_Thief_ShiZiZhan|0|0|0,,,Player_Thief_ShiZiZhan,,500016
50001701,500017,1,隐匿,,隐匿,1,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Thief,UI_Icon_Skill_Thief_YinNi.png,Player_Thief,,立即进入隐身状态，持续30秒，持续时间内难以被敌方目标看见，同时自身每<color=$$Yellow$$>{0}</color>秒消耗1点SP,,,,,,新手副本（盗贼1）,500017,1,1,300101=10000,0,,0,0,15,1,1,0,,0,0,15,1,1,0,1,1,,,,,,0,0,0,,0,,14,,,,,,Player_Thief|Player_Thief_YinNi|0|0|0,,,Player_Thief_YinNi,,500017
50001901,500019,1,普通攻击（盗贼）（新手副本）,,攻击,1,4,0,0,1,0,0,1,,1,0,1,0,0,0,,,,,,1,,1=1,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Common,UI_Icon_Skill_Common_GongJi.png,Player_Thief,,,,,,,,新手副本（盗贼1）,500019,1,1,,10000,40,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,1,,,,,,0,0,0,,0,,100,,,,,,Player_Thief|Player_Thief_GongJi_1|0|0|0,,,Player_Thief_GongJi_1,0=3|1=3,500019
50002001,500020,1,闪避护盾（新手副本）,,闪避护盾,1,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,1=5,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Thief,UI_Icon_Skill_Thief_ShanBiHuDun.png,Player_Thief,,,,,,,,新手副本（盗贼1）,500020,1,1,300601=10000,0,,0,0,30,0,0,0,,0,0,30,0,0,0,1,100,,,,7=15,,0,0,0,,0,,10|3,,,,,,Player_Thief|Player_Thief_ShanBiHuDun|0|0|0,,,Player_Thief_ShanBiHuDun,,500020
50002101,500021,1,伏击（新手副本）,,伏击,1,4,0,0,1,0,1,0,,0,0,1,0,1,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_fuji.png,Player_Thief,,,,,,,,新手副本（盗贼10）,500021,1,1,,30000,,0,0,5,1,1,30000,,0,0,5,1,1,0,1.5,100,,,,7=32,,0,0,0,,0,,300,,,,,,Player_Thief|Player_Thief_FuJi|0|0|0,,,Player_Thief_FuJi,,500021
50002301,500023,1,装死起身,,起身,0,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,1,,,50000301,,,,,0,,0,0,,,0,0,,2,Skill_Common,UI_Icon_Skill_Common_QiSheng.png,Player_Thief,,解除假死状态,,,,,,盗贼,500023,1,1,900201=10000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,0,0,,0,,,,,,,,Player_Thief|Player_Thief_ZhuangSiQiShen|0|0|0,,,Player_Thief_ZhuangSiQiShen,,500023
50002401,500024,1,施毒,,施毒,1,4,0,0,1,0,1,1,0.25,1,0,1,5,0,0,,,,,,0,,1=2,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_shidu.png,Player_Thief,AutoBattle_Player_Thief_ShiDu,对指定单体目标造成<color=$$Yellow$$>{0}</color>*(人物等级-10)+50毒属性物理伤害(人物等级最多计45级)，并有<color=$$Yellow$$>{1}</color>%几率使目标中毒：每秒受到<color=$$Yellow$$>{2}</color>%最大血量伤害，持续<color=$$Yellow$$>{3}</color>秒，若目标血量降低至<color=$$Yellow$$>{4}</color>%，中毒状态则不再生效,中毒概率和持续时间受体质和幸运属性值影响,对指定敌方目标造成毒属性物理伤害,,,,盗贼,500024,1,1,300301=2400,0,22,0,0,0,1,1,0,22,0,0,0,1,1,0,1.5,100,,,,7=12,,0,0,0,,0,,22|24|1|10|35,,,,,,Player_Thief|Player_Thief_ShiDu|0|0|0,,,Player_Thief_ShiDu,,500024
50002402,500024,2,施毒,,施毒,1,4,0,0,1,0,1,1,0.25,1,0,1,5,0,0,,,,,,0,,1=2,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_shidu.png,Player_Thief,AutoBattle_Player_Thief_ShiDu,对指定单体目标造成<color=$$Yellow$$>{0}</color>*(人物等级-10)+50毒属性物理伤害(人物等级最多计45级)，并有<color=$$Yellow$$>{1}</color>%几率使目标中毒：每秒受到<color=$$Yellow$$>{2}</color>%最大血量伤害，持续<color=$$Yellow$$>{3}</color>秒，若目标血量降低至<color=$$Yellow$$>{4}</color>%，中毒状态则不再生效,中毒概率和持续时间受体质和幸运属性值影响,对指定敌方目标造成毒属性物理伤害,,,,盗贼,500024,1,1,300302=2800,0,24,0,0,0,1,1,0,24,0,0,0,1,1,0,1.5,100,,,,7=12,,0,0,0,,0,,24|28|1|12|35,,,,,,Player_Thief|Player_Thief_ShiDu|0|0|0,,,Player_Thief_ShiDu,,500024
50002403,500024,3,施毒,,施毒,1,4,0,0,1,0,1,1,0.25,1,0,1,5,0,0,,,,,,0,,1=2,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_shidu.png,Player_Thief,AutoBattle_Player_Thief_ShiDu,对指定单体目标造成<color=$$Yellow$$>{0}</color>*(人物等级-10)+50毒属性物理伤害(人物等级最多计45级)，并有<color=$$Yellow$$>{1}</color>%几率使目标中毒：每秒受到<color=$$Yellow$$>{2}</color>%最大血量伤害，持续<color=$$Yellow$$>{3}</color>秒，若目标血量降低至<color=$$Yellow$$>{4}</color>%，中毒状态则不再生效,中毒概率和持续时间受体质和幸运属性值影响,对指定敌方目标造成毒属性物理伤害,,,,盗贼,500024,1,1,300303=3200,0,26,0,0,0,1,1,0,26,0,0,0,1,1,0,1.5,100,,,,7=12,,0,0,0,,0,,26|32|1|14|30,,,,,,Player_Thief|Player_Thief_ShiDu|0|0|0,,,Player_Thief_ShiDu,,500024
50002404,500024,4,施毒,,施毒,1,4,0,0,1,0,1,1,0.25,1,0,1,5,0,0,,,,,,0,,1=2,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_shidu.png,Player_Thief,AutoBattle_Player_Thief_ShiDu,对指定单体目标造成<color=$$Yellow$$>{0}</color>*(人物等级-10)+50毒属性物理伤害(人物等级最多计45级)，并有<color=$$Yellow$$>{1}</color>%几率使目标中毒：每秒受到<color=$$Yellow$$>{2}</color>%最大血量伤害，持续<color=$$Yellow$$>{3}</color>秒，若目标血量降低至<color=$$Yellow$$>{4}</color>%，中毒状态则不再生效,中毒概率和持续时间受体质和幸运属性值影响,对指定敌方目标造成毒属性物理伤害,,,,盗贼,500024,1,1,300304=3600,0,28,0,0,0,1,1,0,28,0,0,0,1,1,0,1.5,100,,,,7=12,,0,0,0,,0,,28|36|1|16|30,,,,,,Player_Thief|Player_Thief_ShiDu|0|0|0,,,Player_Thief_ShiDu,,500024
50002405,500024,5,施毒,,施毒,1,4,0,0,1,0,1,1,0.25,1,0,1,5,0,0,,,,,,0,,1=2,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_shidu.png,Player_Thief,AutoBattle_Player_Thief_ShiDu,对指定单体目标造成<color=$$Yellow$$>{0}</color>*(人物等级-10)+50毒属性物理伤害(人物等级最多计45级)，并有<color=$$Yellow$$>{1}</color>%几率使目标中毒：每秒受到<color=$$Yellow$$>{2}</color>%最大血量伤害，持续<color=$$Yellow$$>{3}</color>秒，若目标血量降低至<color=$$Yellow$$>{4}</color>%，中毒状态则不再生效,中毒概率和持续时间受体质和幸运属性值影响,对指定敌方目标造成毒属性物理伤害,,,,盗贼,500024,1,1,300305=4000,0,30,0,0,0,1,1,0,30,0,0,0,1,1,0,1.5,100,,,,7=12,,0,0,0,,0,,30|40|1|18|25,,,,,,Player_Thief|Player_Thief_ShiDu|0|0|0,,,Player_Thief_ShiDu,,500024
50002406,500024,6,施毒,,施毒,1,4,0,0,1,0,1,1,0.25,1,0,1,5,0,0,,,,,,0,,1=2,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_shidu.png,Player_Thief,AutoBattle_Player_Thief_ShiDu,对指定单体目标造成<color=$$Yellow$$>{0}</color>*(人物等级-10)+50毒属性物理伤害(人物等级最多计45级)，并有<color=$$Yellow$$>{1}</color>%几率使目标中毒：每秒受到<color=$$Yellow$$>{2}</color>%最大血量伤害，持续<color=$$Yellow$$>{3}</color>秒，若目标血量降低至<color=$$Yellow$$>{4}</color>%，中毒状态则不再生效,中毒概率和持续时间受体质和幸运属性值影响,对指定敌方目标造成毒属性物理伤害,,,,盗贼,500024,1,1,300306=4400,0,32,0,0,0,1,1,0,32,0,0,0,1,1,0,1.5,100,,,,7=12,,0,0,0,,0,,32|44|2|20|25,,,,,,Player_Thief|Player_Thief_ShiDu|0|0|0,,,Player_Thief_ShiDu,,500024
50002407,500024,7,施毒,,施毒,1,4,0,0,1,0,1,1,0.25,1,0,1,5,0,0,,,,,,0,,1=2,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_shidu.png,Player_Thief,AutoBattle_Player_Thief_ShiDu,对指定单体目标造成<color=$$Yellow$$>{0}</color>*(人物等级-10)+50毒属性物理伤害(人物等级最多计45级)，并有<color=$$Yellow$$>{1}</color>%几率使目标中毒：每秒受到<color=$$Yellow$$>{2}</color>%最大血量伤害，持续<color=$$Yellow$$>{3}</color>秒，若目标血量降低至<color=$$Yellow$$>{4}</color>%，中毒状态则不再生效,中毒概率和持续时间受体质和幸运属性值影响,对指定敌方目标造成毒属性物理伤害,,,,盗贼,500024,1,1,300307=4800,0,34,0,0,0,1,1,0,34,0,0,0,1,1,0,1.5,100,,,,7=12,,0,0,0,,0,,34|48|2|22|20,,,,,,Player_Thief|Player_Thief_ShiDu|0|0|0,,,Player_Thief_ShiDu,,500024
50002408,500024,8,施毒,,施毒,1,4,0,0,1,0,1,1,0.25,1,0,1,5,0,0,,,,,,0,,1=2,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_shidu.png,Player_Thief,AutoBattle_Player_Thief_ShiDu,对指定单体目标造成<color=$$Yellow$$>{0}</color>*(人物等级-10)+50毒属性物理伤害(人物等级最多计45级)，并有<color=$$Yellow$$>{1}</color>%几率使目标中毒：每秒受到<color=$$Yellow$$>{2}</color>%最大血量伤害，持续<color=$$Yellow$$>{3}</color>秒，若目标血量降低至<color=$$Yellow$$>{4}</color>%，中毒状态则不再生效,中毒概率和持续时间受体质和幸运属性值影响,对指定敌方目标造成毒属性物理伤害,,,,盗贼,500024,1,1,300308=5200,0,36,0,0,0,1,1,0,36,0,0,0,1,1,0,1.5,100,,,,7=12,,0,0,0,,0,,36|52|2|24|20,,,,,,Player_Thief|Player_Thief_ShiDu|0|0|0,,,Player_Thief_ShiDu,,500024
50002409,500024,9,施毒,,施毒,1,4,0,0,1,0,1,1,0.25,1,0,1,5,0,0,,,,,,0,,1=2,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_shidu.png,Player_Thief,AutoBattle_Player_Thief_ShiDu,对指定单体目标造成<color=$$Yellow$$>{0}</color>*(人物等级-10)+50毒属性物理伤害(人物等级最多计45级)，并有<color=$$Yellow$$>{1}</color>%几率使目标中毒：每秒受到<color=$$Yellow$$>{2}</color>%最大血量伤害，持续<color=$$Yellow$$>{3}</color>秒，若目标血量降低至<color=$$Yellow$$>{4}</color>%，中毒状态则不再生效,中毒概率和持续时间受体质和幸运属性值影响,对指定敌方目标造成毒属性物理伤害,,,,盗贼,500024,1,1,300309=5600,0,38,0,0,0,1,1,0,38,0,0,0,1,1,0,1.5,100,,,,7=12,,0,0,0,,0,,38|56|2|26|15,,,,,,Player_Thief|Player_Thief_ShiDu|0|0|0,,,Player_Thief_ShiDu,,500024
50002410,500024,10,施毒,,施毒,1,4,0,0,1,0,1,1,0.25,1,0,1,5,0,0,,,,,,0,,1=2,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_shidu.png,Player_Thief,AutoBattle_Player_Thief_ShiDu,对指定单体目标造成<color=$$Yellow$$>{0}</color>*(人物等级-10)+50毒属性物理伤害(人物等级最多计45级)，并有<color=$$Yellow$$>{1}</color>%几率使目标中毒：每秒受到<color=$$Yellow$$>{2}</color>%最大血量伤害，持续<color=$$Yellow$$>{3}</color>秒，若目标血量降低至<color=$$Yellow$$>{4}</color>%，中毒状态则不再生效,中毒概率和持续时间受体质和幸运属性值影响,对指定敌方目标造成毒属性物理伤害,,,,盗贼,500024,1,1,300310=6000,0,40,0,0,0,1,1,0,40,0,0,0,1,1,0,1.5,100,,,,7=12,,0,0,0,,0,,40|60|2|28|15,,,,,,Player_Thief|Player_Thief_ShiDu|0|0|0,,,Player_Thief_ShiDu,,500024
50002501,500025,1,诡诈把戏,,诡诈把戏,0,1,3,0,1,0,1,0,,0,1,1,0,0,0,,,,,,0,,2=1,,0,0,,,,,,,1,,0,0,,,0,0,50001001=5=1,0,Skill_Thief,UI_Icon_Skill_Thief_GuiZhaBaXi.png,Player_Thief,AutoBattle_Player_Thief_GuiZhaBaXi,伤害周围最多10只魔物，并造成<color=$$Yellow$$>{0}</color>%+<color=$$Yellow$$>{1}</color>无属性物理伤害,,对范围内敌方目标造成无属性物理伤害,,,,盗贼,500025,1,10,,12000,50,0,0,3,1,1,12000,0,0,0,3,1,1,0,3,100,,,,7=11,,0,0,0,,0,,120|50,,,,,,Player_Thief|Player_Thief_DaoShan|0|0|0,,,Player_Thief_DaoShan,0=1|1=1|16=1,500025
50002502,500025,2,诡诈把戏,,诡诈把戏,0,1,3,0,1,0,1,0,,0,1,1,0,0,0,,,,,,0,,2=1,,0,0,,,,,,,1,,0,0,,,0,0,50001001=5=1,0,Skill_Thief,UI_Icon_Skill_Thief_GuiZhaBaXi.png,Player_Thief,AutoBattle_Player_Thief_GuiZhaBaXi,伤害周围最多10只魔物，并造成<color=$$Yellow$$>{0}</color>%+<color=$$Yellow$$>{1}</color>无属性物理伤害,,对范围内敌方目标造成无属性物理伤害,,,,盗贼,500025,1,10,,14000,100,0,0,3,1,1,14000,0,0,0,3,1,1,0,3,100,,,,7=12,,0,0,0,,0,,140|100,,,,,,Player_Thief|Player_Thief_DaoShan|0|0|0,,,Player_Thief_DaoShan,0=1|1=1|16=1,500025
50002503,500025,3,诡诈把戏,,诡诈把戏,0,1,3,0,1,0,1,0,,0,1,1,0,0,0,,,,,,0,,2=1,,0,0,,,,,,,1,,0,0,,,0,0,50001001=5=1,0,Skill_Thief,UI_Icon_Skill_Thief_GuiZhaBaXi.png,Player_Thief,AutoBattle_Player_Thief_GuiZhaBaXi,伤害周围最多10只魔物，并造成<color=$$Yellow$$>{0}</color>%+<color=$$Yellow$$>{1}</color>无属性物理伤害,,对范围内敌方目标造成无属性物理伤害,,,,盗贼,500025,1,10,,16000,150,0,0,3,1,1,16000,0,0,0,3,1,1,0,3,100,,,,7=13,,0,0,0,,0,,160|150,,,,,,Player_Thief|Player_Thief_DaoShan|0|0|0,,,Player_Thief_DaoShan,0=1|1=1|16=1,500025
