PackId,GroupContent,GroupWeight,GuarantGroup,GuarantLimit,txt,PackName,ProbabilityShows,ShowItemQuality,JobLimit,LevelLimit,ServerDaylLimit,GenderLimit,BindInfo
500021,4060011=1|4020011=1|4020012=1|4060008=1|4010045=1|4040007=1|4030011=1|4060009=1|4040018=1|4040019=1|4030014=1|4010032=1|4040012=1|4010049=1|4030009=1|4060020=1|4050004=1|4040013=1|4010051=1|4040002=1|4040011=1|4010052=1|4040020=1|4060021=1|4060015=1|4060017=1|4050008=1|4060023=1|4010039=1|4060018=1|4020014=1|4060024=1|4060025=1|4050012=1|4040022=1|4060026=1|4060027=1|4040023=1|4020016=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
500022,4060001=1|4010012=1|4010019=1|4010044=1|4060014=1|4010014=1|4070011=1|4010009=1|4030017=1|4050002=1|4060010=1|4020013=1|4070010=1|4020005=1|4060022=1|4020006=1|4070014=1|4020015=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
500023,4010006=1|4010004=1|4010007=1|4010015=1|4010013=1|4010038=1|4010047=1|4010033=1|4010035=1|4010055=1,1|1|1|1|1|1|1|1|1|1,,,,,0,2|2|2|2|2|2|2|2|2|2,,,,,0|0|0|0|0|0|0|0|0|0
500024,4020003=1|4040017=1|4010030=1|4070005=1|4010029=1|4010027=1|4010025=1|4060016=1|4010026=1|4030013=1|4030020=1|4030015=1|4070013=1|4010031=1|4030021=1|4040021=1|4030012=1|4030016=1|4070002=1|4010056=1|4070008=1|4020010=1|4010010=1|4010046=1|4010040=1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,,,,,0,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100210,1080084=1|1100023=1|1070195=1|100211=-1|1090064=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|50|50|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100211,100212=-1|100213=-1,,,,,,,3|3,,,,,
100212,1010061=1,,,,,,,3,,,,1,
100213,1010062=1,,,,,,,3,,,,2,
100220,1070308=1|1090092=1|1100050=1|100221=-1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100221,100222=-1|100223=-1,,,,,,,3|3,,,,,
100222,1010101=1,,,,,,,3,,,,1,
100223,1010102=1,,,,,,,3,,,,2,
100230,1070310=1|1100051=1|1100052=1|100231=-1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100231,100232=-1|100233=-1,,,,,,,3|3,,,,,
100232,1010103=1,,,,,,,3,,,,1,
100233,1010104=1,,,,,,,3,,,,2,
100240,1100015=1|1090062=1|1070115=1|1021057=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100250,1070307=1|1100049=1|100251=-1|1020003=1|1021047=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|50|50|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100251,100252=-1|100253=-1,,,,,,,3|3,,,,,
100252,1010099=1,,,,,,,3,,,,1,
100253,1010100=1,,,,,,,3,,,,2,
100260,1070316=1|1100058=1|1080105=1|1021056=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100270,1070313=1|1100055=1|100271=-1|1080104=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100271,100272=-1|100273=-1,,,,,,,3|3,,,,,
100272,1010107=1,,,,,,,3,,,,1,
100273,1010108=1,,,,,,,3,,,,2,
100280,1070319=1|100281=-1|100284=-1|1021060=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100281,100282=-1|100283=-1,,,,,,,3|3,,,,,
100282,1100062=1,,,,,,,3,,,,1,
100283,1100061=1,,,,,,,3,,,,2,
100284,100285=-1|100286=-1,,,,,,,3|3,,,,,
100285,1010115=1,,,,,,,3,,,,1,
100286,1010116=1,,,,,,,3,,,,2,
100290,1070321=1|1080114=1|1100064=1|100291=-1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100291,100292=-1|100293=-1,,,,,,,3|3,,,,,
100292,1010117=1,,,,,,,3,,,,1,
100293,1010118=1,,,,,,,3,,,,2,
100300,1070324=1|1100066=1|1010119=1010120=1|1021065=1|1090051=1|1080057=1|1070094=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,日本12月扭蛋3,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,
100310,1100030=1|1070274=1|1090061=1|1021063=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,日本12月扭蛋4,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,
100320,1020003=1|1010053=1010054=1|1010061=1010062=1|1070193=1|1021046=1|1021041=1|1010074=1010075=1|1010033=1010034=1|1020031=1|1020030=1|1010068=1010069=1|1090064=1|1021047=1|1010005=1010006=1|1010059=1010060=1|1100021=1|1010088=1010089=1|1070296=1|1070297=1|1090088=1|1070186=1|1100010=1|1100028=1|1020024=1|1100018=1|1100027=1|1100004=1|1100002=1|1070300=1|1100044=1|1010091=1010092=1|1021054=1|1090050=1|1090089=1|1100014=1|1021051=1|1010093=1010094=1|1070301=1|1080099=1|1021044=1|1070188=1|1100024=1|1080084=1|1100023=1|1070195=1|1070308=1|1010101=1010102=1|1100050=1|1090092=1|1070310=1|1100051=1|1100052=1|1010103=1010104=1|1100015=1|1070115=1|1090062=1|1021057=1|1070307=1|1100049=1|1010099=1010100=1|1070316=1|1100058=1|1080105=1|1021056=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,稀有扭蛋（日本）,,0,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,,,,,
100330,1070332=1|1100070=1|1010127=1010128=1|1021062=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,日本1月扭蛋1,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,
100340,1070334=1070335=1|1080121=1|1100036=1|1010131=1010132=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,日本1月扭蛋2,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,
100350,1070333=1|1080120=1|1100071=1|1010129=1010130=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,日本1月扭蛋3,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,
100360,1070317=1|1080109=1|1100063=1|1021052=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,日本1月扭蛋4,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,
140000,1080084=1|1100023=1|140001=-1|1090088=1|1070250=1|1080078=1|1070251=1|1070177=1|1070176=1|1070169=1|1080038=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,北美开服扭蛋1,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
140001,140002=-1|140003=-1,,,,,,,3|3,,,,,
140002,1010061=1,,,,,,,3,,,,1,
140003,1010062=1,,,,,,,3,,,,2,
140010,1020024=1|1100024=1|140011=-1|1090064=1|1070253=1|1080086=1|1070276=1|1090071=1|1080078=1|1070169=1|1080038=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,北美开服扭蛋2,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
140011,140012=-1|140013=-1,,,,,,,3|3,,,,,
140012,1010068=1,,,,,,,3,,,,1,
140013,1010069=1,,,,,,,3,,,,2,
140020,1010101=1010102=1|1070308=1|1090092=1|1100050=1|1090093=1|1080119=1|1070276=1|1090071=1|1080078=1|1070169=1|1080038=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,北美开服扭蛋3,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,
140030,1010049=1010050=1|1100016=1|1070324=1|1021065=1|1070094=1|1080057=1|1090051=1|1080119=1|1080078=1|1070169=1|1080038=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,北美开服扭蛋4,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,
140040,1010088=1010089=1|1070297=1|1100002=1|1100004=1|1080113=1|1070177=1|1070176=1|1080119=1|1080078=1|1070169=1|1080038=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,北美扭蛋5,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,
140050,1070300=1|1100044=1|1010091=1010092=1|1021054=1|1100032=1|1070276=1|1090071=1|1080119=1|1080078=1|1070169=1|1080038=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,北美扭蛋6,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,
160000,1070324=1|1100066=1|1010119=1010120=1|1021065=1|1080057=1|1070208=1|1080119=1|1070249=1|1070251=1|1070250=1|1090060=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,韩国第1期扭蛋（圣诞）,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
160010,1070338=1070339=1|1090103=1|1100075=1|1010137=1010138=1|1080113=1|1100032=1|1080119=1|1070249=1|1070251=1|1070250=1|1090060=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,韩国第2期扭蛋（韩服）,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
300010,300011=-1|300012=-1|300013=-1,20|70|10,,,,,0,1|2|3,,,,,
300011,221011=1|221021=1|221031=1|221041=1|221051=1|222011=1|222021=1|222031=1|222041=1|222051=1|223011=1|223021=1|223031=1|223041=1|223051=1|224011=1|224021=1|224031=1|224041=1|224051=1|225011=1|225021=1|225031=1|225041=1|225051=1|226011=1|226021=1|226031=1|226041=1|226051=1|227011=1|227021=1|227031=1|227041=1|227051=1|228011=1|228021=1|228031=1|228041=1|228051=1|229011=1|229021=1|229031=1|229041=1|229051=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,
300012,221012=1|221022=1|221032=1|221042=1|221052=1|222012=1|222022=1|222032=1|222042=1|222052=1|223012=1|223022=1|223032=1|223042=1|223052=1|224012=1|224022=1|224032=1|224042=1|224052=1|225012=1|225022=1|225032=1|225042=1|225052=1|226012=1|226022=1|226032=1|226042=1|226052=1|227012=1|227022=1|227032=1|227042=1|227052=1|228012=1|228022=1|228032=1|228042=1|228052=1|229012=1|229022=1|229032=1|229042=1|229052=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,,,,,
300013,221013=1|221023=1|221033=1|221043=1|221053=1|222013=1|222023=1|222033=1|222043=1|222053=1|223013=1|223023=1|223033=1|223043=1|223053=1|224013=1|224023=1|224033=1|224043=1|224053=1|225013=1|225023=1|225033=1|225043=1|225053=1|226013=1|226023=1|226033=1|226043=1|226053=1|227013=1|227023=1|227033=1|227043=1|227053=1|228013=1|228023=1|228033=1|228043=1|228053=1|229013=1|229023=1|229033=1|229043=1|229053=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,,,,,
300020,300021=-1|300022=-1|300023=-1,20|70|10,,,,,0,1|2|3,,,,,
300021,231011=1|231021=1|231031=1|231041=1|231051=1|232011=1|232021=1|232031=1|232041=1|232051=1|233011=1|233021=1|233031=1|233041=1|233051=1|234011=1|234021=1|234031=1|234041=1|234051=1|235011=1|235021=1|235031=1|235041=1|235051=1|236011=1|236021=1|236031=1|236041=1|236051=1|237011=1|237021=1|237031=1|237041=1|237051=1|238011=1|238021=1|238031=1|238041=1|238051=1|239011=1|239021=1|239031=1|239041=1|239051=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,
300022,231012=1|231022=1|231032=1|231042=1|231052=1|232012=1|232022=1|232032=1|232042=1|232052=1|233012=1|233022=1|233032=1|233042=1|233052=1|234012=1|234022=1|234032=1|234042=1|234052=1|235012=1|235022=1|235032=1|235042=1|235052=1|236012=1|236022=1|236032=1|236042=1|236052=1|237012=1|237022=1|237032=1|237042=1|237052=1|238012=1|238022=1|238032=1|238042=1|238052=1|239012=1|239022=1|239032=1|239042=1|239052=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,,,,,
300023,231013=1|231023=1|231033=1|231043=1|231053=1|232013=1|232023=1|232033=1|232043=1|232053=1|233013=1|233023=1|233033=1|233043=1|233053=1|234013=1|234023=1|234033=1|234043=1|234053=1|235013=1|235023=1|235033=1|235043=1|235053=1|236013=1|236023=1|236033=1|236043=1|236053=1|237013=1|237023=1|237033=1|237043=1|237053=1|238013=1|238023=1|238033=1|238043=1|238053=1|239013=1|239023=1|239033=1|239043=1|239053=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,,,,,
300030,300031=-1|300032=-1|300033=-1,20|70|10,,,,,0,1|2|3,,,,,
300031,241011=1|241021=1|241031=1|241041=1|241051=1|242011=1|242021=1|242031=1|242041=1|242051=1|243011=1|243021=1|243031=1|243041=1|243051=1|244011=1|244021=1|244031=1|244041=1|244051=1|245011=1|245021=1|245031=1|245041=1|245051=1|246011=1|246021=1|246031=1|246041=1|246051=1|247011=1|247021=1|247031=1|247041=1|247051=1|248011=1|248021=1|248031=1|248041=1|248051=1|249011=1|249021=1|249031=1|249041=1|249051=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,
300032,241012=1|241022=1|241032=1|241042=1|241052=1|242012=1|242022=1|242032=1|242042=1|242052=1|243012=1|243022=1|243032=1|243042=1|243052=1|244012=1|244022=1|244032=1|244042=1|244052=1|245012=1|245022=1|245032=1|245042=1|245052=1|246012=1|246022=1|246032=1|246042=1|246052=1|247012=1|247022=1|247032=1|247042=1|247052=1|248012=1|248022=1|248032=1|248042=1|248052=1|249012=1|249022=1|249032=1|249042=1|249052=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,,,,,
300033,241013=1|241023=1|241033=1|241043=1|241053=1|242013=1|242023=1|242033=1|242043=1|242053=1|243013=1|243023=1|243033=1|243043=1|243053=1|244013=1|244023=1|244033=1|244043=1|244053=1|245013=1|245023=1|245033=1|245043=1|245053=1|246013=1|246023=1|246033=1|246043=1|246053=1|247013=1|247023=1|247033=1|247043=1|247053=1|248013=1|248023=1|248033=1|248043=1|248053=1|249013=1|249023=1|249033=1|249043=1|249053=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,,,,,
300040,300041=-1|300042=-1|300043=-1,20|70|10,,,,,0,1|2|3,,,,,
300041,251011=1|251021=1|251031=1|251041=1|251051=1|252011=1|252021=1|252031=1|252041=1|252051=1|253011=1|253021=1|253031=1|253041=1|253051=1|254011=1|254021=1|254031=1|254041=1|254051=1|255011=1|255021=1|255031=1|255041=1|255051=1|256011=1|256021=1|256031=1|256041=1|256051=1|257011=1|257021=1|257031=1|257041=1|257051=1|258011=1|258021=1|258031=1|258041=1|258051=1|259011=1|259021=1|259031=1|259041=1|259051=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,
300042,251012=1|251022=1|251032=1|251042=1|251052=1|252012=1|252022=1|252032=1|252042=1|252052=1|253012=1|253022=1|253032=1|253042=1|253052=1|254012=1|254022=1|254032=1|254042=1|254052=1|255012=1|255022=1|255032=1|255042=1|255052=1|256012=1|256022=1|256032=1|256042=1|256052=1|257012=1|257022=1|257032=1|257042=1|257052=1|258012=1|258022=1|258032=1|258042=1|258052=1|259012=1|259022=1|259032=1|259042=1|259052=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,,,,,
